title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Sir,2018,https://en.wikipedia.org/wiki/Sir_(2018_film),SIR,Rohena Gera,"Tillotama Shome, Vivek Gomber",,US$ 1.3 million ,PVR Pictures[1],Platoon One Films,018 Indian Hindi-Language Romantic Drama
Angrezi Mein Kehte Hain,2018,https://en.wikipedia.org/wiki/Angrezi_Mein_Kehte_Hain_(film),Angrezi Mein Kehte Hain,Harish Vyas,"Sanjay Mishra, Pankaj Tripathi, Brijendra Kala, Ekavali Khanna, Anshuman Jha, Shivani Raghuvanshi",,,Panorama Studios,,017 Indian Hindi-Language Romantic Drama
High Jack,2018,https://en.wikipedia.org/wiki/High_Jack_(film),High Jack,Akarsh Khurana,"Sumeet Vyas, Mantra, Sonnalli Seygall",,₹ 0.34 crore ,,,2018 Indian Hindi-Language Comedy Stoner
Panchaali,2018,https://en.wikipedia.org/wiki/Muktha_Srinivasan,Muktha Srinivasan,,,,,,,Was An Indian
Bhavesh Joshi,2018,https://en.wikipedia.org/wiki/Bhavesh_Joshi_Superhero,Bhavesh Joshi Superhero,Vikramaditya Motwane,"Harshvardhan Kapoor, Nishikant Kamat, Priyanshu Painyuli, Ashish Verma",₹ 21 crore ,₹ 4.75 crore ,Reliance EntertainmentEros International,Phantom Films,Vigilante Superhero Action
Veere Di Wedding,2018,https://en.wikipedia.org/wiki/Veere_Di_Wedding,Veere Di Wedding,Shashanka Ghosh,"Kareena Kapoor Khan, Sonam Kapoor, Swara Bhasker, Shikha Talsania",₹ 42 crore ,₹ 139 crore ,Zee Studios,,Female Buddy Comedy
Phamous,2018,https://en.wikipedia.org/wiki/Phamous,Phamous,Karan Lalit Butani,"Jimmy Sheirgill, Shriya Saran, Kay Kay Menon, Pankaj Tripathi, Jackie Shroff, Mahie Gill",,,AA Films,,An Indian Hindi-Language Romantic Crime
AA BB KK,2018,https://en.wikipedia.org/wiki/Aa_Bb_Kk,Aa Bb Kk,Ramkumar Shedge,"Mythili Patwardhan, Sahil Joshi",,,,,S A 2018 Indian Marathi-Language Feature
Lust Stories,2018,https://en.wikipedia.org/wiki/Lust_Stories,Lust Stories,Anurag KashyapZoya AkhtarDibakar BanerjeeKaran Johar,"Radhika Apte, Bhumi Pednekar, Neil Bhoopalam, Manisha Koirala, Kiara Advani, Vicky Kaushal, Akash Thosar, Neha Dhupia",,,Netflix,,S A 2018 Indian Hindi-Language Anthology
Race 3,2018,https://en.wikipedia.org/wiki/Race_3,Race 3,Remo D'Souza,"Anil Kapoor, Salman Khan, Bobby Deol, Jacqueline Fernandez, Daisy Shah, Saqib Saleem",₹ 150−180 crore ,est. ₹295–303 crore ,Salman Khan FilmsTips IndustriesYash Raj FilmsPhars Film,,Neo-Noir Action Crime
Love Sonia,2018,https://en.wikipedia.org/wiki/Love_Sonia,Love Sonia,Tabrez Noorani,"Mrunal Thakur, Freida Pinto, Demi Moore, Mark Duplass, Manoj Bajpayee, Rajkummar Rao, Richa Chadda, Riya Sisodiya, Anupam Kher, Adil Hussain, Sai Tamhankar, Sunny Pawar",,,Zee Studios,,Ia Is A 2018 Indian Hindi-Language Drama
T for Taj Mahal,2018,https://en.wikipedia.org/wiki/Taj_Mahal_(1999_film),Taj Mahal,Bharathiraja,"Manoj, Riya Sen",,,,Janani Cine Arts,999 Indian Tamil-Language Romantic Drama
Sanju,2018,https://en.wikipedia.org/wiki/Sanju,Sanju,Rajkumar Hirani,Ranbir Kapoor,₹ 96 crore ,₹ 587 crore ,Fox Star Studios,,Biographical Comedy Drama
Hanuman vs. Mahiravana,2018,https://en.wikipedia.org/wiki/Hanuman_vs_Mahiravana,Hanuman vs Mahiravana,Ezhil Vendan,,,,Yash Raj Films,Green Gold Animation[1]Gamaya Inc,Dventure 2D And 3D Stereoscopic Animated
Soorma,2018,https://en.wikipedia.org/wiki/Soorma_(film),Soorma,Shaad Ali,"Diljit Dosanjh, Taapsee Pannu, Angad Bedi",₹ 31 crore ,₹ 48 crore ,Sony Pictures Releasing,,Biographical Sports Drama
Teri Bhabhi Hai Pagle,2018,https://en.wikipedia.org/wiki/Teri_Bhabhi_Hai_Pagle,Teri Bhabhi Hai Pagle,Vinod Tiwari,"Krushna Abhishek, Rajneesh Duggal, Deepshikha Nagpal, Mukul Dev, Sunil Pal, Nazia Hussain",,,Zee Music Company,Nostrum Entertainment,2018 Indian Hindi-Language Action Comedy
Dhadak,2018,https://en.wikipedia.org/wiki/Dhadak,Dhadak,Shashank Khaitan,"Ishaan Khatter, Janhvi Kapoor",₹ 41 crore ,est. ₹ 112.98 crore ,Zee Studios through Cinekorn Entertainment andPVR Pictures(India)Zee Studios International(Overseas),,Is A 2018 Indian Hindi-Language Romance
Nawabzaade,2018,https://en.wikipedia.org/wiki/Nawabzaade,Nawabzaade,Jayesh Pradhan,"Raghav Juyal, Punit Pathak, Dharmesh Yelande, Isha Rikhi",,₹ 4.05 crore ,AA Films,,18 Indian Hindi-Language Romantic Comedy
Saheb Biwi Aur Gangster 3,2018,"https://en.wikipedia.org/wiki/Saheb,_Biwi_Aur_Gangster_3",Saheb Biwi Aur Gangster 3,Tigmanshu Dhulia,"Sanjay Dutt, Jimmy Sheirgill, Mahi Gill, Chitrangada Singh, Soha Ali Khan",₹28 crore ,₹10.20 crore ,Raju Chadha,,Is A 2018 Indian Crime Thriller
Karwaan,2018,https://en.wikipedia.org/wiki/Karwaan,Karwaan,Akarsh Khurana,"Dulquer Salmaan, Irrfan Khan, Mithila Palkar",₹230 million ,₹264.2 million ,Prateek Entertainments,,Indian Hindi-Language Road Comedy-Drama
Mulk,2018,https://en.wikipedia.org/wiki/Mulk_(film),Mulk,Anubhav Sinha,"Rishi Kapoor, Taapsee Pannu",₹ 19 crore ,₹28.33 crore ,Zee Studios,,The
Redrum,2018,https://en.wikipedia.org/wiki/Redrum_(2018_film),Redrum,Dhruv SachdevSaurabh Bali,"Shakil Akhtar Imf, Saeeda Imtiaz, Tom Alter, Pawan Nagpal",,"est. ₹ 4.00 lakh (US$4,700) ",,,Psychological Thriller
Gold,2018,https://en.wikipedia.org/wiki/Gold_(2018_film),Gold,Reema Kagti,"Akshay Kumar, Mouni Roy, Kunal Kapoor, Amit Sadh, Vineet K. Singh, Sunny Kaushal, Nikita Dutta",₹61 crore,₹158 crore ,AA Films,Excel Entertainment,2018 Indian Hindi-Language Period Sports
