title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Aadmi,1968,https://en.wikipedia.org/wiki/Aadmi_(1968_film),Aadmi,A. Bhimsingh,"Dilip Kumar, Waheeda Rehman, Manoj Kumar, Simi Garewal, Pran",,,,,Aadmi Is A 1968 Indian Hindi Drama
Sadhu Aur Shaitaan,1968,https://en.wikipedia.org/wiki/Sadhu_Aur_Shaitaan,Sadhu Aur Shaitaan,A. Bhimsingh,"Mehmood, Bharathi, Kishore Kumar, Om Prakash, Pran",,,,,Is A 1968 Hindi Action Comedy
Aashirwad,1968,https://en.wikipedia.org/wiki/Aashirwad_(film),Aashirwad,Hrishikesh Mukherjee,"Ashok Kumar, Veena (actress), Sanjeev Kumar, Sumita Sanyal",,,,,Is A 1968 Bollywood
Aulad,1968,https://en.wikipedia.org/wiki/Aulad_(1968_film),Aulad,Kundan Kumar,"Jeetendra, Babita",,,,Kundan Films,Is A 1968 Hindi-Language Drama
Anokhi Raat,1968,https://en.wikipedia.org/wiki/Anokhi_Raat,Anokhi Raat,Asit Sen,"Sanjeev Kumar, Zaheeda Hussain, Parikshit Sahni",,,L. B. Films,,Is A 1968 Hindi
Gauri,1968,https://en.wikipedia.org/wiki/Gauri_(1968_film),Gauri,A. Bhimsingh,"Sunil Dutt, Sanjeev Kumar, Nutan, Mumtaz",,,,Sivaji Films P. Ltd.,Gauri Is A 1968 Hindi
Shikar,1968,https://en.wikipedia.org/wiki/Shikar_(1968_film),Shikar,Atma Ram,"Dharmendra, Asha Parekh",,,,,Is A 1968 Hindi Thriller
Parivar,1968,https://en.wikipedia.org/wiki/Parivar_(1967_film),Parivaar,Kewal P Kashyap,"Jeetendra, Nanda",,,,K.P.K. Movies,Is A 1967 Indian Hindi-Language Drama
Khilari,1968,https://en.wikipedia.org/wiki/Saeed_Jaffrey,Saeed JaffreyOBE,,,,,,,His Career Covered
Abhilasha,1968,https://en.wikipedia.org/wiki/Abhilasha_(1968_film),Abhilasha,Amit Bose,"Meena Kumari, Sanjay Khan, Nanda, Rehman",,,,,Abhilasha Is A 1968 Bollywood Romantic
