title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Choked,2020,https://en.wikipedia.org/wiki/Choked_(film),Choked,Anurag Kashyap,"Saiyami Kher, Roshan Mathew, Amruta Subhash, Rajshri Deshpande",,,Netflix,,Is A 2020 Indian Hindi-Language Drama
Chintu Ka Birthday,2020,https://en.wikipedia.org/wiki/Chintu_Ka_Birthday,Chintu Ka Birthday,Devanshu SinghSatyanshu Singh,"Vinay Pathak, Tillotama Shome, Seema Pahwa, Bisha Chaturvedi, Vedant Chibber, Reginald L. Barnes, Nate Scholz",,,ZEE5,First Draft Entertainment,S An  Indian Hindi-Language Comedy Drama
Gulabo Sitabo,2020,https://en.wikipedia.org/wiki/Gulabo_Sitabo,Gulabo Sitabo,Shoojit Sircar,"Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jaffar",,,Amazon Prime Video,,2020 Indian Hindi-Language Comedy Drama
Home Stories,2020,https://en.wikipedia.org/wiki/Welcome_Home_(2020_film),Welcome Home,Pushkar Mahabal,"Kashmira Irani, Swarda Thigale, Boloram Das, Shashi Bhushan, Tina Bhatia",,,SonyLIV,,20 Indian Hindi-Language Horror Thriller
Chaman Bahaar,2020,https://en.wikipedia.org/wiki/Chaman_Bahaar,Chaman Bahaar,Apurva Dhar Badgaiyann,"Jitendra Kumar, Ritika Badiani, Bhuvan Arora, Dhirendra Tiwari, Alam Khan",,,Netflix,,Ar Is A 2020 Indian Hindi-Language Drama
Faasle,2020,https://en.wikipedia.org/wiki/Shivkumar_Sharma,Shivkumar Sharma,,,,,,,I And Composed Music For Such Hit Indian
Jannat House,2020,https://en.wikipedia.org/wiki/Jannat_Zubair_Rahmani,Jannat Zubair Rahmani,,,,,,,S In Hindi-Language Television Shows And
Bulbbul,2020,https://en.wikipedia.org/wiki/Bulbbul,Bulbbul,Anvita Dutt,"Tripti Dimri, Avinash Tiwary, Paoli Dam, Rahul Bose, Parambrata Chatterjee",,,Netflix,Clean Slate Filmz,2020 Indian Hindi-Language Period Horror
Hawayein,2020,https://en.wikipedia.org/wiki/Hawayein_(film),Hawayein,Amitoj Mann,"Babbu Mann, Mahi Gill, Ammtoje Mann",,,Baldev Bhatti,,Is A 2003 Indian Drama
Kaash,2020,https://en.wikipedia.org/wiki/Kaash,Kaash,Mahesh Bhatt,"Jackie Shroff, Dimple Kapadia, Master Makrand, Anupam Kher",,,Yokohama Productions,Yokohama Productions,Kaash Is A 1987 Bollywood
Virgin Bhanupriya,2020,https://en.wikipedia.org/wiki/Virgin_Bhanupriya,Virgin Bhanupriya,Ajay Lohan,Urvashi Rautela,,,ZEE5,Dhariwal Films,2020 Indian Hindi-Language Comedy Drama
Gunjan Saxena: The Kargil Girl,2020,https://en.wikipedia.org/wiki/Gunjan_Saxena:_The_Kargil_Girl,Gunjan Saxena: The Kargil Girl,Sharan Sharma,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi",,,Netflix,,Biographical Drama
Azaad,2020,https://en.wikipedia.org/wiki/Azaad_(1955_film),Azaad,S. M. Sriramulu Naidu,"Dilip Kumar, Meena Kumari",,,Pakshiraja Studios,Pakshiraja Studios,1955 Indian Hindi-Language Action Comedy
Dil Bechara,2020,https://en.wikipedia.org/wiki/Dil_Bechara,Dil Bechara,Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi",est. ₹ 25–30 crore ,,Disney+ Hotstar,Fox Star Studios,Coming-Of-Age Tragedy Romance
Yaara,2020,https://en.wikipedia.org/wiki/Yaara,Yaara,Tigmanshu Dhulia,"Vidyut Jammwal, Shruti Haasan, Amit Sadh, Vijay Varma, Kenny Basumatary, Ankur Vikal",,,ZEE5,,2020 Indian Hindi-Language Crime Action
Raat Akeli Hai,2020,https://en.wikipedia.org/wiki/Raat_Akeli_Hai,Raat Akeli Hai,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Shweta Tripathi, Aditya Srivastava, Tigmanshu Dhulia, Shivani Raghuvanshi",,,Netflix,,020 Indian Hindi-Language Thriller Drama
Lootcase,2020,https://en.wikipedia.org/wiki/Lootcase,Lootcase,Rajesh A Krishnan,"Kunal Khemu, Rasika Dugal, Vijay Raaz, Ranvir Shorey, Gajraj Rao",,,Disney+ Hotstar,,Is A 2020 Indian Black Comedy Crime
Shakuntala Devi,2020,https://en.wikipedia.org/wiki/Shakuntala_Devi_(film),Shakuntala Devi,Anu Menon,"Vidya Balan, Jisshu Sengupta, Sanya Malhotra, Amit Sadh",,,Amazon Prime Video,,Biographical Drama
Pareeksha,2020,https://en.wikipedia.org/wiki/Pareeksha_(2019_film),Pareeksha,Prakash Jha,"Adil Hussain, Priyanka Bose, Sanjay Suri, Shourya Deep, Shubham Jha",,,ZEE5,Prakash Jha Productions,St Is A 2020 Indian Hindi-Language Drama
Indu in a Burkha,2020,https://en.wikipedia.org/wiki/Neha_Rana,Neha Rana,,,,,,,Neha Played The Lead Role In The Hindi
Khuda Haafiz,2020,https://en.wikipedia.org/wiki/Khuda_Haafiz,Khuda Haafiz,Faruk Kabir,"Vidyut Jammwal, Shivaleeka Oberoi, Annu Kapoor, Shiv Panditt, Aahana Kumra, Sougata Ghosh",,,Disney+ Hotstar,Panorama Studios,20 Indian Hindi-Language Action Thriller
The Hidden Strike,2020,https://en.wikipedia.org/wiki/Vedita_Pratap_Singh,Vedita Pratap Singh,,,,,,,Her First
Veera,2020,https://en.wikipedia.org/wiki/Hari_Hara_Veera_Mallu:_Part_1,Hari Hara Veera Mallu: Part 1,Krish JagarlamudiA. M. Jyothi Krishna[1],"Pawan Kalyan, Bobby Deol, Nidhhi Agerwal, Nargis Fakhri, Nora Fatehi",₹250 crore ,,see below,Mega Surya Production,Telugu-Language Period Action-Adventure
Filmi Raasleela,2020,https://en.wikipedia.org/wiki/Nagada_Sang_Dhol,"""Nagada Sang Dhol""",,,,,,,Is A Garba Song From The 2013 Hindi
Class of '83,2020,https://en.wikipedia.org/wiki/Class_of_'83,Class of '83,Atul Sabharwal,Bobby Deol,,,Netflix,Red Chillies Entertainment,020 Indian Hindi-Language Crime Thriller
Mee Raqsam,2020,https://en.wikipedia.org/wiki/Mee_Raqsam,Mee Raqsam,Baba Azmi,"Naseeruddin Shah, Aditi Subedi, Danish Husain, Shraddha Kaul, Rakesh Chaturvedi Om",,,ZEE5,AZMI Pictures Pvt Ltd.,The
