title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Pad Gaye Pange,2024,https://en.wikipedia.org/wiki/Pad_Gaye_Pange,Pad Gaye Pange,Santosh Kumar,"Samarpan Singh, Faisal Malik, Rajesh Sharma, Rajpal Yadav, Rrajesh Yadav",,,,,E Is A 2024 Indian Hindi-Language Comedy
Superboys of Malegaon,2024,https://en.wikipedia.org/wiki/Superboys_of_Malegaon,Superboys of Malegaon,Reema Kagti,"Adarsh Gourav, Vineet Kumar Singh, Shashank Arora, Anuj Singh Duhan",,est. ₹5.35 crore ,Amazon MGM Studios[2],,Coming-Of-Age Drama
Visfot,2024,https://en.wikipedia.org/wiki/Visfot,Visfot,Kookie Gulati,"Fardeen Khan, Riteish Deshmukh, Priya Bapat, Krystle D'Souza",,,JioCinema,White Feather Films,024 Indian Hindi-Language Crime Thriller
Sector 36,2024,https://en.wikipedia.org/wiki/Sector_36,Sector 36,Aditya Nimbalkar,"Vikrant Massey, Deepak Dobriyal, Akash Khurana, Darshan Jariwala",,,Netflix,,024 Indian Hindi-Language Crime Thriller
Yudhra,2024,https://en.wikipedia.org/wiki/Yudhra,Yudhra,Ravi Udyawar,"Siddhant Chaturvedi, Malavika Mohanan, Raghav Juyal",₹50 crore ,est. ₹11.31 crore ,AA Films,Excel Entertainment,24 Indian Hindi-Language Action Thriller
Jo Tera Hai Woh Mera Hai,2024,https://en.wikipedia.org/wiki/Jo_Tera_Hai_Woh_Mera_Hai,Jo Tera Hai Woh Mera Hai,Raj Trivedi,"Paresh Rawal, Amit Sial, Faisal Malik, Sonali Kulkarni, Sonnalli Seygall, Jatin Sarin",,,JioCinema,,2024 Indian Hindi-Language Comedy Drama
Bal Naren,2024,https://en.wikipedia.org/wiki/Bal_Naren,Bal Naren,Pawan Nagpal,"Yagya Bhasin, Bidita Bag, Rajneesh Duggal, Govind Namdev, Vindu Dara Singh, Lokesh Mittal",,,,Soham Rockstar Entertainment,Bal Naren Is An Indian Hindi-Language
"Love, Sitara",2024,"https://en.wikipedia.org/wiki/Love,_Sitara","Love, Sitara",Vandana Kataria,"Sobhita Dhulipala, Rajeev Siddhartha",,,ZEE5,RSVP Movies,Ra Is A 2024 Indian Hindi-Language Drama
Amar Prem Ki Prem Kahani,2024,https://en.wikipedia.org/wiki/Amar_Prem_Ki_Prem_Kahani,Amar Prem Ki Prem Kahani,Hardik Gajjar,"Sunny Singh, Aditya Seal, Pranutan Bahl",,,JioCinema,,Is A 2024 Indian Hindi-Language Drama
Jigra,2024,https://en.wikipedia.org/wiki/Jigra,Jigra,Vasan Bala,"Alia Bhatt, Vedang Raina",est. ₹80 crore ,est. ₹55.05 crore ,Viacom18 Studios,,24 Indian Hindi-Language Action Thriller
