title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Chaar Din Ki Chandni,2012,https://en.wikipedia.org/wiki/Chaar_Din_Ki_Chandni,Chaar Din Ki Chandni,Samir Karnik,"Kulraj Randhawa, Tusshar Kapoor",,,,Top Angle Productions,Is A 2012 Hindi Romantic Comedy
Zindagi Tere Naam,2012,https://en.wikipedia.org/wiki/Zindagi_Tere_Naam,Zindagi Tere Naam,Ashu Trikha,"Mithun Chakraborty, Ranjeeta, Dalip Tahil, Goldy, Ashish Sharma, Supriya Karnik",,,,,Is A 2012 Indian Hindi-Language Romance
Love Possible,2012,https://en.wikipedia.org/wiki/Ishq_(2012_film),Ishq,Vikram Kumar,"Nithiin, Nithya Menen, Ajay, Sindhu Tolani",₹ 7.8 crore,est. ₹ 20 crore,,Shresht Movies,12 Indian Telugu-Language Romantic Drama
Agent Vinod,2012,https://en.wikipedia.org/wiki/Agent_Vinod_(2012_film),Agent Vinod,Sriram Raghavan,"Saif Ali Khan, Kareena Kapoor",₹ 600 million (equivalent to ₹ 1.0 billion or US$12 million in 2023) ,₹ 730 million (equivalent to ₹ 1.2 billion or US$15 million in 2023) ,,,Neo-Noir Action Spy
Blood Money,2012,https://en.wikipedia.org/wiki/Blood_Money_(2012_film),Blood Money,Vishal Mahadkar,"Kunal Khemu, Amrita Puri, Manish Chaudhari",₹90 million,₹120 million,Viacom 18 Motion Pictures,Vishesh Films,12 Indian Hindi-Language Action Thriller
Bumboo,2012,https://en.wikipedia.org/wiki/Bumboo,Bumboo,Jagdish Rajpurohit,"Kavin Dave, Sharat Saxena, Sanjay Mishra",,₹ 0.39 crore ,Jumping Tomato Marketing Pvt ltd,,Is A 2012 Bollywood Black Comedy
Housefull 2,2012,https://en.wikipedia.org/wiki/Housefull_2,Housefull 2: The Dirty Dozen,Sajid Khan,"Rishi Kapoor, Randhir Kapoor, Mithun Chakraborty, Akshay Kumar, John Abraham, Riteish Deshmukh, Shreyas Talpade, Asin, Jacqueline Fernandez, Shazahn Padamsee, Zareen Khan, Boman Irani",₹ 60–64 crore ,est. ₹ 186 crore ,Eros International,Nadiadwala Grandson Entertainment,2012 Indian Hindi-Language Action Comedy
Chhodo Kal Ki Baatein,2012,https://en.wikipedia.org/wiki/Chhodo_Kal_Ki_Baatein,Chhodo Kal Ki Baatein,Pramod Joshi,"Anupam Kher, Sachin Khedekar",,,,,Is An Indian Hindi-Language Comedy
Bittoo Boss,2012,https://en.wikipedia.org/wiki/Bittoo_Boss,Bittoo Boss,Supavitra Babul,"Pulkit Samrat, Amita Pathak",,"₹ 20 million (US$240,000)(net)",Viacom 18 Motion Pictures,Viacom 18 Motion Pictures,S Is A 2012 Indian Hindi-Language Comedy
Ab Hoga Dharna Unlimited,2012,https://en.wikipedia.org/wiki/Ab_Hoga_Dharna_Unlimited,Ab Hoga Dharna Unlimited,Deepak Tanwar,"Saurabh Malik, Rekha Rana, Omkar Das Manikpuri, Sunil Pal, Ehsaan Qureshi",,,,,Is A 2012 Bollywood Comedy-Drama
Vicky Donor,2012,https://en.wikipedia.org/wiki/Vicky_Donor,Vicky Donor,Shoojit Sircar[1][2],"Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia",₹ 4 crore ,est. ₹ 68.32 crore ,Eros Entertainment,,12 Indian Hindi-Language Romantic Comedy
Hate Story,2012,https://en.wikipedia.org/wiki/Hate_Story,Hate Story,Vivek Agnihotri,"Nikhil Dwivedi, Gulshan Devaiya, Paoli Dam, Mohan Kapoor, Joy Sengupta",₹ 9 crore ,est. ₹ 16.43 crore ,ASA Productions and EnterprisesRajvi Entertainment Pvt. Ltd.Dhanraj Films Pvt. Ltd.,BVG Films (a division of ASA),12 Indian Hindi-Language Erotic Thriller
Life Ki Toh Lag Gayi,2012,https://en.wikipedia.org/wiki/Life_Ki_Toh_Lag_Gayi,Life Ki Toh Lag Gayi,Rakesh Mehta,"Ranvir Shorey, Kay Kay Menon, Manu Rishi, Jackie Shroff, Neha Bhasin, Neeraj Vora, Sharat Saxena, Tom Alter, Asrani",,₹ 0.32 crore ,,,H Lag Gayi Is A 2012 Indian Black Comedy
Tezz,2012,https://en.wikipedia.org/wiki/Tezz,Tezz,Priyadarshan,"Anil Kapoor, Ajay Devgn, Kangana Ranaut, Sameera Reddy, Boman Irani",₹52 crore ,₹26 crore ,Venus Worldwide Entertainment,Venus Records & Tapes,12 Indian Hindi-Language Action Thriller
Jannat 2,2012,https://en.wikipedia.org/wiki/Jannat_2,Jannat 2,Kunal Deshmukh,"Emraan Hashmi, Randeep Hooda, Esha Gupta",,₹ 63.09 crore ,Fox Star Studios,Vishesh Films,012 Indian Hindi-Language Crime Thriller
Ishaqzaade,2012,https://en.wikipedia.org/wiki/Ishaqzaade,Ishaqzaade,Habib Faisal,"Arjun Kapoor, Parineeti Chopra",,,Yash Raj Films,Yash Raj Films,012 Indian Hindi-Language Romantic Drama
Dangerous Ishq,2012,https://en.wikipedia.org/wiki/Divya_Dutta,Divya Dutta,,,,,,,Received Accolades Including A National
Department,2012,https://en.wikipedia.org/wiki/Department_(film),Department,Ram Gopal Varma,"Amitabh Bachchan, Sanjay Dutt, Rana Daggubati, Vijay Raaz, Abhimanyu Singh, Deepak Tijori, Lakshmi Manchu, Anjana Sukhani, Madhu Shalini",₹ 320 million (US$3.8 million) ,₹ 190.5 million (US$2.3 million) ,Viacom18 Motion PicturesWave Cinemas[1],,T Is A 2012 Indian Hindi-Language Action
Chhota Bheem and the Curse of Damyaan,2012,https://en.wikipedia.org/wiki/Chhota_Bheem_and_the_Curse_of_Damyaan_(2012_film),Chhota Bheem and The Curse Of Damyaan,Rajiv Chilaka,,₹4.50 crore ,₹5.51 crore ,PVR Pictures,Green Gold Animation,Animated Fantasy Action Adventure
Gangs of Wasseypur,2012,https://en.wikipedia.org/wiki/Gangs_of_Wasseypur_–_Part_1,Gangs of Wasseypur – Part 1,Anurag Kashyap,"Manoj Bajpayee, Richa Chadda, Reema Sen, Piyush Mishra, Nawazuddin Siddiqui, Jaideep Ahlawat, Vineet Kumar Singh, Pankaj Tripathi, Jameel Khan, Huma Qureshi, Anurita Jha, Tigmanshu Dhulia",₹ 9.2 crore (US$1.72 million) ,est. ₹35.13 crore ,Viacom18 Motion Pictures,,Epic Black Comedy Crime
