title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Phir Wohi Dil Laya Hoon,1963,https://en.wikipedia.org/wiki/Phir_Wohi_Dil_Laya_Hoon,Phir Wohi Dil Laya Hoon,Nasir Hussain,"Joy Mukherjee, Asha Parekh, Pran",,,,,Is A 1963 Indian Hindi-Language
Yeh Rastey Hain Pyar Ke,1963,https://en.wikipedia.org/wiki/Yeh_Rastey_Hain_Pyar_Ke,Yeh Rastey Hain Pyar Ke,R. K. Nayyar,"Sunil Dutt, Leela Naidu, Ashok Kumar",,,,,Is A 1963 Hindi Crime Drama
Shikari,1963,https://en.wikipedia.org/wiki/Shikari_(1963_film),Shikari,Mohammed Hussain,"Ajit, Ragini, Helen",,,,Eagle Films,Is A 1963 Indian Hindi-Language
Ek Raaz,1963,https://en.wikipedia.org/wiki/Vijay_Raaz,Vijay Raaz,,,,,,,Who Predominantly Appears In Hindi
Grahasti,1963,https://en.wikipedia.org/wiki/Grahasti_(film),Grahasti,Kishore Sahu,"Ashok Kumar, Manoj Kumar, Rajshree, Nirupa Roy, Mehmood",,,Rajshri Productions,Gemini Pictures,Is A 1963 Indian Hindi-Language Drama
Gehra Daag,1963,https://en.wikipedia.org/wiki/Gehra_Daag,Gehra Daag,O. P. Ralhan,"Rajendra Kumar, Mala Sinha",,,,,Romantic Crime Drama
Nartakee,1963,https://en.wikipedia.org/wiki/Nartaki_(1963_film),Nartakee,Nitin Bose,"Nanda, Sunil Dutt, Om Prakash, Agha",,,,Film Bharati,Is A 1963 Indian Social
Sehra,1963,https://en.wikipedia.org/wiki/Sehra_(film),Sehra,V. Shantaram,"Sandhya, Prashant, Lalita Pawar, Manmohan Krishan, Mumtaz",,,,Rajkamal Kalamandir,Is A 1963 Hindi Romantic Family Drama
Mujhe Jeene Do,1963,https://en.wikipedia.org/wiki/Mujhe_Jeene_Do_(1963_film),Mujhe Jeene Do,Moni Bhattacharjee,"Sunil Dutt, Waheeda Rehman",,,,Ajanta Arts,Is A 1963 Indian Hindi
Rustom-E-Baghdad,1963,https://en.wikipedia.org/wiki/Rustom-E-Baghdad,Rustom-E-Baghdad,B.J. Patel,"Dara Singh, Chandrashekhar",,,,Hanna Films,Stom-E-Baghdad Is A 1963 Bollywood Drama
Meri Surat Teri Ankhen,1963,https://en.wikipedia.org/wiki/Meri_Surat_Teri_Ankhen,Meri Surat Teri Ankhen,R.K. Rakhan,"Ashok Kumar, Asha Parekh, Pradeep Kumar",,,,Gee Pee Films,Is A 1963 Bollywood Drama
Pyaar Kiya To Darna Kya,1963,https://en.wikipedia.org/wiki/Pyaar_Kiya_To_Darna_Kya_(1963_film),Pyaar Kiya To Darna Kya,B. S. Ranga,"Prithviraj Kapoor, Shammi Kapoor, B. Saroja Devi",,,,Vikram Productions,A Is A Black And White 1963 Indian Hindi
Cobra Girl,1963,https://en.wikipedia.org/wiki/Mahipal,Mahipal,,,,,,,Who Worked In Bollywood Mostly In Stunt
Shaheed Bhagat Singh,1963,https://en.wikipedia.org/wiki/Shaheed_(1965_film),Shaheed,S. Ram Sharma,"Manoj Kumar, Prem Chopra, Anant Purushottam Marathe",,,,,Is A 1965 Patriotic
Kinare Kinare,1963,https://en.wikipedia.org/wiki/Kinare_Kinare,Kinare Kinare,Chetan Anand,"Dev Anand, Meena Kumari, Chetan Anand, Sunder, Kammo, Madhu, Ravikant",,,,Apollo Arts,Is A 1963 Indian Hindi-Language
Yeh Dil Kisko Doon,1963,https://en.wikipedia.org/wiki/Yeh_Dil_Kisko_Doon,Yeh Dil Kisko Doon,Kanak Mishra,"Shashi Kapoor, Ragini, Agha, Jeevan, Anwar",,,,Bindu Kala Mandir,Doon Is A 1963 Bollywood Romantic Comedy
Ek Dil Sau Afsane,1963,https://en.wikipedia.org/wiki/Ek_Dil_Sau_Afsane,Ek Dil Sao Afsane,R.C. Talwar,"Raj Kapoor, Waheeda Rehman, Lalita Pawar, Sulochana Chatterjee, Mridula Rani, Mehar Banu, Jagdish Raj",,,Talwar Films,,Dil Sao Afsane Is A 1963 Hindi Romantic
Awara Badal,1964,https://en.wikipedia.org/wiki/Awaara,Awaara,Raj Kapoor,"Prithviraj Kapoor, Nargis, Raj Kapoor, Leela Chitnis, K. N. Singh, Shashi Kapoor",,est. ₹15.6 crore,R.K. Films,,Is A 1951 Indian Crime Drama
Daal Me Kala,1964,https://en.wikipedia.org/wiki/Daal_Me_Kala,Daal Me Kala,Satyen Bose,,,,,Roop Rangam,Daal Mein Kala Is A 1964 Hindi-Language
Woh Kaun Thi?,1964,https://en.wikipedia.org/wiki/Woh_Kaun_Thi?,Woh Kaun Thi?,Raj Khosla,"Sadhana, Manoj Kumar, K.N. Singh, Helen, Prem Chopra",,,Prithvi Pictures,,4 Indian Hindi-Language Mystery Thriller
Char Dervesh,1964,https://en.wikipedia.org/wiki/Char_Dervesh,Char Dervesh,Homi Wadia,"Feroz Khan, Sayeeda Khan, Naaz",,,,Basant Studios,964 Indian Hindi-Language Action Fantasy
Suhagan,1964,https://en.wikipedia.org/wiki/Woh_Kaun_Thi?,Woh Kaun Thi?,Raj Khosla,"Sadhana, Manoj Kumar, K.N. Singh, Helen, Prem Chopra",,,Prithvi Pictures,,4 Indian Hindi-Language Mystery Thriller
Bahurani,1964,https://en.wikipedia.org/wiki/Guru_Dutt,Guru Dutt,,,,,,,Was An Indian
Sangam,1964,https://en.wikipedia.org/wiki/Mera_Naam_Joker,Mera Naam Joker,Raj Kapoor,"Raj Kapoor, Simi Garewal, Rishi Kapoor, Kseniya Ryabinkina, Padmini, Manoj Kumar, Dharmendra, Dara Singh, Rajendra Kumar",,USSR : est. ₹ 168.1 million (equivalent to ₹ 8.3 billion or US$98 million in 2023),R. K. Films,R. K. Films,Is A 1970 Indian  Romantic Drama
Shehar Aur Sapna,1964,https://en.wikipedia.org/wiki/Shehar_Aur_Sapna,Shehar Aur Sapna,Khwaja Ahmad Abbas,"Dilip Raj, Nana Palsikar, David, .",,,,,Is A 1963 Hindi
Mr. X in Bombay,1964,https://en.wikipedia.org/wiki/Mr._X_in_Bombay,Mr. X in Bombay,Shantilal Soni,"Kishore Kumar, Kumkum, Madan Puri",,,,,4 Indian Science Fiction Romantic Comedy
Rajkumar,1964,https://en.wikipedia.org/wiki/Rajkumar_(1964_film),Rajkumar,K. Shankar,"Prithviraj Kapoor, Shammi Kapoor, Sadhana, Pran",,,,,Is A 1964 Hindi
Dosti,1964,https://en.wikipedia.org/wiki/Dosti_(1964_film),Dosti,Satyen Bose,"Sudhir Kumar Sawant, Sushil Kumar Somaya, Sanjay Khan",,₹ 2 crore ,Rajshri Productions,,Is A 1964 Indian Hindi-Language Drama
Cha Cha Cha,1964,https://en.wikipedia.org/wiki/Cha_Cha_Cha_(1964_film),Cha Cha Cha,Chandrashekhar,"Chandrashekhar, Helen",,,,,Cha Cha Cha Is An Indian Romance
Kashmir Ki Kali,1964,https://en.wikipedia.org/wiki/Kashmir_Ki_Kali,Kashmir Ki Kali,Shakti Samanta,"Shammi Kapoor, Sharmila Tagore, Pran, Nazir Hussain",,,Shakti Films,,Is A 1964 Indian Hindi-Language Romance
Leader,1964,https://en.wikipedia.org/wiki/Leader_(1964_film),Leader,Ram Mukherjee,"Dilip Kumar, Vyjayanthimala, Jayant",,,,,64 Indian Hindi-Language Political Drama
Haqeeqat,1964,https://en.wikipedia.org/wiki/Haqeeqat_(1964_film),Haqeeqat,Chetan Anand,"Dharmendra, Balraj Sahni, Priya Rajvansh, Sanjay Khan, Vijay Anand, Jayant, Sudhir",,,Himalaya Films,,S A 1964 Indian Hindi-Language War-Drama
The Fog,1964,https://en.wikipedia.org/wiki/Kohra_(1964_film),Kohraa,Biren Nag,"Waheeda Rehman, Biswajeet, Lalita Pawar",,,,Geetanjali Films,64 Indian Hindi-Language Horror Thriller
Aao Pyar Karen,1964,https://en.wikipedia.org/wiki/Hasrat_Jaipuri,Hasrat Jaipuri,,,,,,,He Was Also A Renowned
Sharabi,1964,https://en.wikipedia.org/wiki/Sharabi_(1964_film),Sharabi,Raj Rishi,"Madhubala, Dev Anand",,est. ₹ 4 million ,,,Is A 1964 Hindi-Language Drama
Pooja Ke Phool,1964,https://en.wikipedia.org/wiki/Pooja_Ke_Phool,Pooja Ke Phool,A. Bhimsingh,"Ashok Kumar, Dharmendra, Mala Sinha, Nimmi, Sandhya Roy, Pran",,,,,The
Ziddi,1964,https://en.wikipedia.org/wiki/Ziddi_(1964_film),Ziddi,Pramod Chakravorty,"Joy Mukherjee, Asha Parekh, Mehmood Ali",,,,,Is A 1964 Hindi
Ayee Milan Ki Bela,1964,https://en.wikipedia.org/wiki/Ayee_Milan_Ki_Bela,Ayee Milan Ki Bela,Mohan Kumar,"Rajendra Kumar, Saira Banu, Dharmendra",,,,,Is A 1964 Indian Hindi
Sanjh Aur Savera,1964,https://en.wikipedia.org/wiki/Sanjh_Aur_Savera,Sanjh Aur Savera,Hrishikesh Mukherjee,,,,,S.J. Films,Is A 1964 Bollywood Romantic Drama
Aap Ki Parchhaiyan,1964,https://en.wikipedia.org/wiki/Aap_Ki_Parchhaiyan,Aap Ki Parchhaiyan,Mohan Kumar,"Dharmendra, Shashikala, Om Prakash, Supriya Choudhury",,,,,Is A 1964 Bollywood
Jahan Ara,1964,https://en.wikipedia.org/wiki/Jahan_Ara_(film),Jahan Ara,Vinod Kumar,"Bharat Bhushan, Mala Sinha",,"₹ 1,10,00,000 ",Light and Shade,,Jahan Ara Is The 1964 Indian Hindi Debut
Door Gagan Ki Chhaon Men,1964,https://en.wikipedia.org/wiki/Door_Gagan_Ki_Chhaon_Mein,Door Gagan Ki Chhaon Mein,Kishore Kumar,"Kishore Kumar, Supriya Devi, Amit Kumar",,,,Kishore Films,Is A 1964 Indian Hindi-Language Drama
Apne Huye Paraye,1964,https://en.wikipedia.org/wiki/Apne_Huye_Paraye,Apne Huye Paraye,Ajit Chakraborty,"Manoj Kumar, Mala Sinha",,,,,E Huye Paraye Is A 1964 Indian Bollywood
Ishaara,1964,https://en.wikipedia.org/wiki/Ishaara_(1964_film),Ishaara,K. Amarnath,"Joy Mukherjee, Vyjayanthimala",,,,,Is A 1964 Indian
Chitralekha,1964,https://en.wikipedia.org/wiki/Chitralekha_(1964_film),Chitralekha,Kidar Sharma,"Ashok Kumar, Pradeep Kumar, Meena Kumari, Mehmood",,,,,4 Indian Hindi-Language Historical Drama
Yaadein,1964,https://en.wikipedia.org/wiki/Yaadein_(1964_film),Yaadein,Sunil Dutt,"Sunil Dutt, Nargis Dutt",,,,,Is A 1964 Black And White Hindi
Door Ki Awaz,1964,https://en.wikipedia.org/wiki/Kishore_Kumar,Kishore Kumar,,,,,,,In A Poll Conducted By The
Ganga Ki Lahren,1964,https://en.wikipedia.org/wiki/Ganga_Ki_Lahren,Ganga Ki Lahren,Devi Sharma,"Kishore Kumar, Aruna Irani, Dharmendra, Savitri",,,,,Is A 1964 Hindi Drama
Phoolon Ki Sej,1964,https://en.wikipedia.org/wiki/Phoolon_Ki_Sej,Phoolon Ki Sej,Inder Raj Anand,"Ashok Kumar, Manoj Kumar, Vyjayanthimala","₹ 45,00,000 (1964)","₹ 90,00,000 (1964) ₹ 68.42 crore (US$8.1 million) (2010)",Anjali PicturesRajshri Productions,,Is A 1964 Indian Hindi-Language Social
Zindagi,1964,https://en.wikipedia.org/wiki/Zindagi_(1964_film),Zindagi,Ramanand Sagar,"Prithviraj Kapoor, Rajendra Kumar, Vyjayanthimala, Raaj Kumar",,,Gemini Pictures,,Is A 1964 Indian Hindi-Language
April Fool,1964,https://en.wikipedia.org/wiki/April_Fool_(1964_film),April Fool,Subodh Mukherji,"Biswajeet, Saira Banu",,,,,Il Fool Is A 1964 Indian Romantic Comedy
Shehnai,1964,https://en.wikipedia.org/wiki/Shehnai_(1964_film),Shehnai,S. D. Narang,"Biswajeet, Rajshree, Nirupa Roy, Rehman, Johnny Walker, Parveen Chowdhry, Veena",,,,,Hnai Is A 1964 Indian Hindi Family Drama
Dulha Dulhan,1964,https://en.wikipedia.org/wiki/Dulha_Dulhan,Dulha Dulhan,Ravindra Dave,"Raj Kapoor, Sadhana Shivdasani, K. N. Singh",,,,,Dulha Dulhan Is A 1964 Indian Bollywood
