title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Miss Khiladi-The Perfect Player,2016,https://en.wikipedia.org/wiki/Akshay_Kumar,Akshay Kumar,,,,,,,Is An Indian Actor And
Biwi. Com,2016,"https://en.wikipedia.org/wiki/Saheb,_Biwi_Aur_Gangster_3",Saheb Biwi Aur Gangster 3,Tigmanshu Dhulia,"Sanjay Dutt, Jimmy Sheirgill, Mahi Gill, Chitrangada Singh, Soha Ali Khan",₹28 crore ,₹10.20 crore ,Raju Chadha,,Is A 2018 Indian Crime Thriller
My Father Iqbal,2016,https://en.wikipedia.org/wiki/Suzad_Iqbal_Khan,Suzad Iqbal Khan,,,,,,,Suzad Iqbal Khan Is An Indian Writer And
Trapped,2016,https://en.wikipedia.org/wiki/Trapped_(2016_Hindi_film),Trapped,Vikramaditya Motwane,"Rajkummar Rao, Geetanjali Thapa","₹ 5 crore (US$590,000) ",₹ 30 crore (US$3.5 million) ,Reliance Entertainment,Phantom Films,Trapped Is A 2016 Indian Survival Drama
Lipstick Under My Burkha,2016,https://en.wikipedia.org/wiki/Lipstick_Under_My_Burkha,Lipstick Under My Burkha,Alankrita Shrivastava,"Ratna Pathak, Konkona Sen Sharma, Aahana Kumra, Plabita Borthakur",₹ 6 Crore ,₹ 26.68Crore ,ALT Entertainment,Prakash Jha Productions,2016 Indian Hindi-Language Black Comedy
Ae Dil Hai Mushkil,2016,https://en.wikipedia.org/wiki/Ae_Dil_Hai_Mushkil,Ae Dil Hai Mushkil,Karan Johar,"Ranbir Kapoor, Anushka Sharma, Aishwarya Rai Bachchan",₹50 crore,₹239.67 crore ,Fox Star Studios(India)Magic Cloud Media & Entertainment(Overseas),Dharma Productions,Musical Romantic Drama
Shivaay,2016,https://en.wikipedia.org/wiki/Shivaay,Shivaay,Ajay Devgn,"Ajay Devgn, Sayyeshaa, Erika Kaar, Abigail Eames, Vir Das, Girish Karnad, Saurabh Shukla",₹ 125 crore ,est. ₹ 148.91 crore ,Reliance Entertainment,,16 Indian Hindi-Language Action Thriller
Pinky Beauty Parlour,2016,https://en.wikipedia.org/wiki/Pinky_Beauty_Parlour,Pinky Beauty Parlour,Akshay Singh,"Sulagna Panigrahi, Khushboo Gupta,, Akshay Singh",,,,,Uty Parlour Is A 2023 Hindi Drama-Comedy
Moh Maya Money,2016,https://en.wikipedia.org/wiki/Moh_Maya_Money,Moh Maya Money,Munish Bhardwaj,"Ranvir Shorey, Neha Dhupia, Devendra Chauhan, Vidushi Mehra, Ashwath Bhatt",,,,Delhi Talkies,Is A 2016 Indian Hindi-Language Heist
Crd,2016,https://en.wikipedia.org/wiki/CRD_(film),CRD,Kranti Kanade,"Mrinmayee Godbole, Vinay Sharma, Saurabh Saraswat, Abhay Mahajan, Isha Keskar, Geetika Tyagi, Mohit Takalkar",$0.8 million,,,,Crd Is A 2016 Drama-Romance Indian
Mahayoddha Rama,2016,https://en.wikipedia.org/wiki/Mahayoddha_Rama,Mahayoddha Rama,Rohit Vaid,"Kunal Kapoor, Jimmy Shergill, Mouni Roy, Gulshan Grover",,,,Contiloe Entertainment,Is A 2016 Indian Hindi-Language Animated
Rock on 2,2016,https://en.wikipedia.org/wiki/Rock_On_2,Rock On 2,Shujaat Saudagar,"Arjun Rampal, Farhan Akhtar, Shraddha Kapoor, Purab Kohli, Prachi Desai, Shashank Arora",₹ 45 crore (US$5.3 million) ,₹ 15.70 crore (US$1.9 million) ,Eros International,Excel Entertainment,2016 Indian Hindi-Language Musical Drama
Dongri Ka Raja,2016,https://en.wikipedia.org/wiki/Dongri_Ka_Raja,Dongri ka Raja,Hadi Ali Abrar,"Ronit Roy, Ashmit Patel, Gashmeer Mahajani, Reecha Sinha",,,TORQUE,,Li Abrar And Produced By Ps Chhatwal And
Yeh Hai Lollipop,2016,https://en.wikipedia.org/wiki/Ohanna_Shivanand,Ohanna Shivanand,,,,,,,She Has Also Starred In Indian
Tum Bin II,2016,https://en.wikipedia.org/wiki/Tum_Bin_2,Tum Bin 2,Anubhav Sinha,"Aashim Gulati, Neha Sharma, Aditya Seal",₹ 12 crore ,est. ₹ 6.45  crore ,AA Films,,016 Indian Hindi-Language Romantic Drama
Force 2,2016,https://en.wikipedia.org/wiki/Force_2,Force2,Abhinay Deo,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin",₹ 41 crore ,₹ 58.8 crore ,Viacom 18 Motion Pictures,,16 Indian Hindi-Language Action Thriller
Dear Zindagi,2016,https://en.wikipedia.org/wiki/Dear_Zindagi,Dear Zindagi,Gauri Shinde,"Alia Bhatt, Shah Rukh Khan",₹ 30 crore ,₹138.91 crore ,NH Studioz,,Coming-Of-Age Comedy-Drama
