title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Kissise Na Kehna,1983,https://en.wikipedia.org/wiki/Kissi_Se_Na_Kehna,Kissi Se Na Kehna,Hrishikesh Mukherjee,"Farooq Shaikh, ,, Deepti Naval, ,, Utpal Dutt",,,,,83 Indian Hindi-Language Romantic Comedy
Pasand Apni Apni,1983,https://en.wikipedia.org/wiki/Pasand_Apni_Apni,Pasand Apni Apni,Basu Chatterjee,"Ashok Kumar, Mithun Chakraborty, Rati Agnihotri, Utpal Dutt",,,,,Pni Apni Is A 1983 Indian Hindi-Language
Do Gulaab,1983,https://en.wikipedia.org/wiki/Roland_TB-303,Roland TB-303 Bass Line,,,,,,,B-303 Basslines For Several Indian Disco
Kaya Palat,1983,https://en.wikipedia.org/wiki/Kaya_Palat,Kaya Palat[1],Satyen Bose,"Ashok Kumar, Suresh Chatwal, Anoop Kumar, Tun Tun",,,Children's Film Society India,,Alat Is A 1983 Bollywood Sci-Fi Thriller
Daulat Ke Dushman,1983,https://en.wikipedia.org/wiki/Daulat_Ke_Dushman,Daulat Ke Dushman,Bimal Rawal,"Shatrughan Sinha, Vinod Khanna, Manjushree, Ajit, Pran",,,,,The
Faraib,1983,https://en.wikipedia.org/wiki/Faraib,Faraib,Rajat Rakshit,"Mithun Chakraborty, Ranjeeta",,,,,Is A 1983 Indian Hindi-Language Feature
Main Awara Hoon,1983,https://en.wikipedia.org/wiki/Main_Awara_Hoon,Main Awara Hoon,Ashim S. Samanta,"Raj Babbar, Sanjay Dutt, Jaya Prada, Rati Agnihotri",,,,,Is A 1983 Indian Drama
Rishta Kagaz Ka,1983,https://en.wikipedia.org/wiki/Rishta_Kagaz_Ka,Rishta Kagaz Ka,Ajay Goel,"Raj Babbar, Rati Agnihotri",,,,Goel Cine Corporation,Is A 1983 Indian Hindi-Language Romance
Romance,1983,https://en.wikipedia.org/wiki/Romance_(1983_film),Romance,Ramanand Sagar,"Kumar Gaurav, Poonam Dhillon, Shammi Kapoor, Sushma Seth, Saeed Jaffrey",,,,,Omance Is A 1983   Hindi-Language Indian
Mehndi,1983,https://en.wikipedia.org/wiki/Mehndi_(1983_film),Mehndi (1983 Movie),Asit Sen,"Vinod Mehra, Raj Babbar",,,,,Mehndi Is A 1983 Bollywood Drama
Ek Baar Chale Aao,1983,https://en.wikipedia.org/wiki/Abdul_Sattar_Khan,Abdul Sattar Khan,,,,,,,Is An Indian
Kaise Kaise Log,1983,https://en.wikipedia.org/wiki/Oonche_Log_(1985_film),Oonche Log,Brij,"Rajesh Khanna, Salma Agha",,,,,Is An Indian Hindi-Language
Sasural,1984,https://en.wikipedia.org/wiki/Sasural_(1984_film),Sasural,Govind Moonis,"Arun Govil, Bharat Bhushan, Dina Pathak, Arvind Deshpande, Gulshan Grover, Sadhana Singh",,,,,The
Seepeeyan,1984,https://en.wikipedia.org/wiki/Seepeeyan,Seepeeyan,Akash Jain,"Debashree Roy, Kanwaljit Singh, Om Puri, Ranjeet",,,,,Is A 1984 Indian Drama
Aan Aur Shaan,1984,https://en.wikipedia.org/wiki/Aan_Aur_Shaan,Aan Aur Shaan,Ravi Tandon,"Shammi Kapoor, Rishi Kapoor, Moushumi Chatterjee",,,,,Aan Aur Shaan Is A 1984 Hindi
Wanted: Dead or Alive,1984,https://en.wikipedia.org/wiki/Wanted:_Dead_or_Alive_(1984_film),Wanted,Ambrish Sangal,"Shammi Kapoor, Mithun Chakraborty, Tina Munim",,,,,4 Indian Hindi-Language Action-Adventure
Meri Adaalat,1984,https://en.wikipedia.org/wiki/Meri_Adalat,Meri Adalat,A. T. Raghu,"Rajinikanth, Zeenat Aman",,,,,Meri Adalat Is A 1984 Hindi
Tohfa,1984,https://en.wikipedia.org/wiki/Tohfa,Tohfa,K. Raghavendra Rao,"Jeetendra, Jaya Prada, Sridevi",,₹ 9 crore (equivalent to ₹ 141 crore or US$17 million in 2023),,Suresh Productions,4 Indian Hindi-Language Melodrama Comedy
Mashaal,1984,https://en.wikipedia.org/wiki/Mashaal,Mashaal,Yash Chopra,"Dilip Kumar, Waheeda Rehman, Anil Kapoor, Rati Agnihotri, Gulshan Grover, Saeed Jaffrey, Alok Nath, Amrish Puri",,,Yash Raj Films,Yash Raj Films,Is A 1984 Bollywood Action
Boxer,1984,https://en.wikipedia.org/wiki/Boxer_(1984_film),Boxer,Raj N. Sippy,"Mithun Chakraborty, Rati Agnihotri, Sharat Saxena, Parikshit Sahni, Danny Denzongpa, Tanuja",,,,,R Is A 1984 Indian Hindi-Language Sports
Yeh Desh,1984,https://en.wikipedia.org/wiki/Yeh_Desh,Yeh Desh,T. Rama Rao,"Jeetendra, Kamal Haasan, Zeenat Aman, Geetha, Utpal Dutt",,,,Bharati International,S A 1984 Indian Hindi-Language Political
Ghar Ek Mandir,1984,https://en.wikipedia.org/wiki/Ghar_Ek_Mandir_(film),Ghar Ek Mandir,K.Bapaiah,"Shashi Kapoor, Moushumi Chatterjee, Mithun Chakraborty, Ranjeeta, Shakti Kapoor, Kader Khan, Raj Kiran",,,,Tina Films International,Is A 1984 Indian Hindi-Language Drama
Hip Hip Hurray,1984,https://en.wikipedia.org/wiki/Hip_Hip_Hurray_(film),Hip Hip Hurray,Prakash Jha,"Raj Kiran, Deepti Naval, Shafi Inamdar","₹ 12 lakh (US$14,000) ",,,Prakash Jha Productions[3],Hip Hurray  Is A 1984 Hindi Sports Drama
Farishta,1984,https://en.wikipedia.org/wiki/Farishta_(1984_film),Farishta,Sunil Sikand,"Smita Patil, Kanwaljit, Bharat Bhushan, Pran, Danny Denzongpa, Ashok Kumar",,,,,Farishta Is A 1984 Indian Hindi-Language
Aaj Kaa M.L.A. Ram Avtar,1984,https://en.wikipedia.org/wiki/Deven_Verma,Deven Verma,,,,,,,Was An Indian
Aasmaan,1984,https://en.wikipedia.org/wiki/Zameen_Aasmaan_(1984_film),Zameen Aasman,Bharat Rangachary,"Shashi Kapoor, Raakhee, Rekha, Sanjay Dutt, Anita Raj",,,,Film Group,Is A 1984 Indian
Maqsad,1984,https://en.wikipedia.org/wiki/Maqsad,Maqsad,K. Bapaiah,"Jeetendra, Rajesh Khanna, Jaya Prada, Sridevi",,,,Suresh Productions,Is A 1984 Indian Hindi-Language Action
Baazi,1984,https://en.wikipedia.org/wiki/Baazi_(1984_film),Baazi,Raj N. Sippy,"Dharmendra, Mithun Chakraborty, Rekha, Ranjeeta, Shakti Kapoor, Madan Puri",,,,,I Is A 1984 Indian Hindi-Language Action
Bhemaa,1984,https://en.wikipedia.org/wiki/Bhemaa,Bhemaa,Dinesh Saxena,"Shatrughan Sinha, Jaya Prada",,,,,Bhemaa Is A 1984 Bollywood Action Drama
