title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Tapori Nayak,2024,https://en.wikipedia.org/wiki/Goldmines_Telefilms,,,,,,,,Is An Indian
Tauba Tera Jalwa,2024,https://en.wikipedia.org/wiki/Tauba_Tera_Jalwa,Tauba Tera Jalwa,Akashaditya Lama,"Jatin Khurana, Ameesha Patel, Angela Krislinzki",,,,,Is A 2024 Hindi-Language Romantic Comedy
Merry Christmas,2024,https://en.wikipedia.org/wiki/Merry_Christmas_(2024_film),Merry Christmas,Sriram Raghavan,"Katrina Kaif, [, 2, ], Vijay Sethupathi",₹60 crore ,₹26.02 crore ,Pen Marudhar EntertainmentthroughUFO Moviez(Hindi),,Istmas Is A 2024 Indian Mystery Thriller
Main Atal Hoon,2024,https://en.wikipedia.org/wiki/Main_Atal_Hoon,Main Atal Hoon,Ravi Jadhav,Pankaj Tripathi,₹20 crore ,₹8.65 crore ,Pen Marudhar Entertainment,,Is A 2024 Hindi Language Biographical
The Mehta Boys,2024,https://en.wikipedia.org/wiki/The_Mehta_Boys,The Mehta Boys,Boman Irani,"Avinash Tiwary, Boman Irani",,,Amazon Prime Video,,Ys Is A 2025 Indian Hindi-Language Drama
Fighter,2024,https://en.wikipedia.org/wiki/Fighter_(2024_film),Fighter,Siddharth Anand,"Hrithik Roshan, Deepika Padukone, Anil Kapoor",₹250 crore ,est. ₹344.46 crore ,Viacom18 Studios,,2024 Indian Hindi-Language Aerial Action
Anubhuti,2024,https://en.wikipedia.org/wiki/Doctor_G,Doctor G,Anubhuti Kashyap,"Ayushmann Khurrana, Rakul Preet Singh, Shefali Shah, Indraneil Sengupta",₹35 crore,est. ₹40.71 crore,Anand Pandit Motion PicturesPVR Pictures,Junglee Pictures,Medical Comedy-Drama
Teri Baaton Mein Aisa Uljha Jiya,2024,https://en.wikipedia.org/wiki/Teri_Baaton_Mein_Aisa_Uljha_Jiya,Teri Baaton Mein Aisa Uljha Jiya,Amit JoshiAradhana Sah,"Kriti Sanon, Shahid Kapoor",est. ₹45.85−75 crore ,₹133.64 crore ,Pen Marudhar Entertainment,,Science Fiction Romantic Comedy
Bhakshak,2024,https://en.wikipedia.org/wiki/Bhakshak,Bhakshak,Pulkit,"Bhumi Pednekar, Sanjay Mishra, Aditya Srivastava, Sai Tamhankar",,,Netflix,Red Chillies Entertainment,024 Indian Hindi Language Crime Thriller
Lantrani,2024,https://en.wikipedia.org/wiki/Gurvinder_Singh,Gurvinder Singh,,,,,,,Gurvinder Singh Is An Indian
