title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Encounter: The Killing,2002,https://en.wikipedia.org/wiki/Encounter:_The_Killing,Encounter: The Killing,Ajay Phansekar,"Naseeruddin Shah, Dilip Prabhavalkar, Tara Deshpande",,,,,The Killing Is A 2002 Indian Bollywood
Jaani Dushman: Ek Anokhi Kahani,2002,https://en.wikipedia.org/wiki/Jaani_Dushman:_Ek_Anokhi_Kahani,Jaani Dushman : Ek Anokhi Kahaani,Rajkumar Kohli,"Sunny Deol, Akshay Kumar, Suniel Shetty, Arshad Warsi, Aftab Shivdasani, Sonu Nigam, Aditya Pancholi, Sharad Kapoor, Manisha Koirala, Rambha, Pinky Campbell, Kiran Rathod, Armaan Kohli",₹ 18 crore ,₹ 18.56 crore ,Shankar Movies,Shankar Movies,Fantasy Action Thriller
Chor Machaaye Shor,2002,https://en.wikipedia.org/wiki/Chor_Machaaye_Shor,Chor Machaaye Shor,David Dhawan,"Bobby Deol, Shilpa Shetty, Bipasha Basu, Paresh Rawal, Om Puri, Ashish Vidyarthi",₹ 8.50 crore ,₹ 13.62 crore (India Nett) ,,Geeta Enterprises,2002 Indian Hindi-Language Action Comedy
Maine Dil Tujhko Diya,2002,https://en.wikipedia.org/wiki/Maine_Dil_Tujhko_Diya,Maine dil Tujh ko Diya,Sohail Khan,"Sohail Khan, Sanjay Dutt, Sameera Reddy, Kabir Bedi",,,,,02 Indian Hindi-Language Romantic Action
Soch,2002,https://en.wikipedia.org/wiki/Soch,Soch,Sushen Bhatnagar,"Sanjay Kapoor, Raveena Tandon, Aditi Govitrikar, Arbaaz Khan",,,,,02 Hindi Language Crime Thriller Mystery
Agni Varsha,2002,https://en.wikipedia.org/wiki/Agni_Varsha,Agnivarsha: The Fire and the Rain,Arjun Sajnani,"Amitabh Bachchan, Jackie Shroff, Nagarjuna, Raveena Tandon, Milind Soman, Prabhu Deva",,,SPE Films India[1],iDream Production,Ni Varsha  Is A 2002 Indian Period Drama
Dil Hai Tumhara,2002,https://en.wikipedia.org/wiki/Dil_Hai_Tumhaara,Dil Hai Tumhaara,Kundan Shah,"Rekha, Preity Zinta, Mahima Chaudhry, Arjun Rampal, Jimmy Sheirgill, Alok Nath",₹ 7.25 crore ,₹ 18.03 crore ,,Tips Industries,002 Indian Hindi-Language Romantic Drama
Ek Chhotisi Love Story,2002,https://en.wikipedia.org/wiki/Ek_Chhotisi_Love_Story,Ek Chotisi Love Story,Shashilal K. Nair,"Manisha Koirala, Aditya Seal",₹ 1.5 crore ,₹ 8.1 crore ,,,Is A 2002 Indian Romantic
Sur,2002,https://en.wikipedia.org/wiki/Sur_–_The_Melody_of_Life,Sur,Tanuja Chandra,"Lucky Ali, Gauri Karnik, Simone Singh, Achint Kaur, Divya Dutta, Harsh Vashisht",,,Pritish Nandy Communications,Pritish Nandy Communications,2002 Indian Hindi-Language Musical Drama
Roshni,2002,https://en.wikipedia.org/wiki/Roshni_Dinaker,Roshni Dinaker,,,,,,,Is An Indian Costume Designer And
Road,2002,https://en.wikipedia.org/wiki/Road_(2002_film),Road,Rajat Mukherjee,"Manoj Bajpayee, Vivek Oberoi, Antara Mali",,,Varma Corporation Ltd,,2002 Indian Hindi-Language Road Thriller
Zindagi Khoobsoorat Hai,2002,https://en.wikipedia.org/wiki/Zindagi_Khoobsoorat_Hai,Zindagi Khoobsoorat Hai,Manoj Punj,"Gurdas Maan, Tabu, Divya Dutta, Rajat Kapoor, Ashish Vidyarthi, Sonu Sood, Chetana Das, Navni Parihar",,,,,002 Indian Hindi-Language Romantic Drama
Pyaasa,2002,https://en.wikipedia.org/wiki/Pyaasa_(2002_film),Pyaasa,A. Muthu,"Yukta Mookhey, Aftab Shivdasani, Zulfi Syed, Govind Namdeo, Saadhika",,,,,Is A 2002 Indian Hindi-Language
Yeh Kya Ho Raha Hai?,2002,https://en.wikipedia.org/wiki/Yeh_Kya_Ho_Raha_Hai?,Yeh Kya Ho Raha Hai,Hansal Mehta,"Prashant Chianani, Aamir Ali, Deepti Daryanani, Payal Rohatgi, Samita Bangargi, Pakhi Tyrewala",,,Shemaroo Entertainment,Baweja Movies,2002 Indian Hindi-Language Adult Comedy
Gunaah,2002,https://en.wikipedia.org/wiki/Gunaah_(2002_film),Gunaah,Amol Shetge,"Bipasha Basu, Dino Morea, Irrfan Khan",₹4 crore ,₹7.5 crore ,Vishesh Films,,Is A 2002 Indian Hindi-Language Thriller
Dil Vil Pyar Vyar,2002,https://en.wikipedia.org/wiki/Dil_Vil_Pyar_Vyar,Dil Vil Pyar Vyar,Anant Mahadevan,"R. Madhavan, Jimmy Shergill, Sanjay Suri, Namrata Shirodkar, Sonali Kulkarni, Hrishita Bhatt",₹ 4.50 crore ,₹ 4.65 crore ,,,2 Indian Hindi Language Romantic Musical
Hathyar: Face to Face with Reality,2002,https://en.wikipedia.org/wiki/Hathyar_(2002_film),Hathyar,Mahesh Manjrekar,"Sanjay Dutt, Shilpa Shetty, Sharad Kapoor",₹ 7 crore ,₹ 9.63 crore ,Venus Records & Tapes,,Action Political Thriller
Deewangee,2002,https://en.wikipedia.org/wiki/Deewangee,Deewangee,Anees Bazmee,"Ajay Devgn, Akshaye Khanna, Urmila Matondkar",₹ 90 million ,₹ 220 million ,,Neha Arts,Psychological Thriller
Bas Yun Hi,2002,https://en.wikipedia.org/wiki/Bas_Yun_Hi,Bas Yun Hi,Raja Krishna Menon,"Purab Kohli, Nandita Das",,,,,03 Indian Hindi-Language Romantic Comedy
Makdee,2002,https://en.wikipedia.org/wiki/Makdee,Makdee,Vishal Bhardwaj,"Shabana Azmi, Makrand Deshpande, Shweta Basu Prasad",,,Percept Picture Company,,Is A 2002 Indian Comedy Horror
Waah! Tera Kya Kehna,2002,https://en.wikipedia.org/wiki/Waah!_Tera_Kya_Kehna,Waah..! Tera Kya Kehna,Manoj Agrawal,"Govinda, Raveena Tandon, Preeti Jhangiani",,₹ 2.69 cr. ,,,Is A 2002 Indian Hindi-Language Comedy
