title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Attack,2022,https://en.wikipedia.org/wiki/Attack:_Part_1,Attack: Part 1,Lakshya Raj Anand,"John Abraham, Rakul Preet Singh, Jacqueline Fernandez, Prakash Raj, Naufal Azmir Khan, Ratna Pathak Shah",₹80 crore ,est. ₹ 31.61 crore ,Pen Marudhar Entertainment,,Science Fiction Action
Cobalt Blue,2022,https://en.wikipedia.org/wiki/Cobalt_Blue_(film),Cobalt Blue,Sachin Kundalkar,"Prateik Babbar, Neelay Mehendale, Anjali Sivaraman, Neil Bhoopalam, Anant V Joshi, Poornima Indrajith",,,Netflix,,T Blue Is An Indian Hindi-Language Drama
Dasvi,2022,https://en.wikipedia.org/wiki/Dasvi,Dasvi,Tushar Jalota,"Abhishek Bachchan, Yami Gautam, Nimrat Kaur",,,NetflixJioCinema,,2022 Indian Hindi-Language Social Comedy
Hurdang,2022,https://en.wikipedia.org/wiki/Hurdang,Hurdang,Nikhil Nagesh Bhat,"Sunny Kaushal, Nushrratt Bharuccha, Vijay Varma",,,AA Films,,022 Indian Hindi-Language Romantic Drama
Jersey,2022,https://en.wikipedia.org/wiki/Jersey_(2022_film),Jersey,Gowtam Tinnanuri,"Shahid Kapoor, Mrunal Thakur, Pankaj Kapur",₹ 80 crore ,est. ₹27.9 crore ,Balaji Motion PicturesPen Marudhar Entertainment(India)[1]Yash Raj FilmsPhars Film Co (overseas)[2],,2022 Indian Hindi-Language Sports Drama
Operation Romeo,2022,https://en.wikipedia.org/wiki/Operation_Romeo_(film),Operation Romeo,Shashant Shah,"Sidhant Gupta, Vedika Pinto, Bhumika Chawla, Sharad Kelkar",,,Reliance Entertainment,,Indian Hindi-Language Romantic Thriller
Runway 34,2022,https://en.wikipedia.org/wiki/Runway_34,Runway 34,Ajay Devgn,"Ajay Devgn, Amitabh Bachchan, Rakul Preet Singh, Boman Irani, Angira  Dhar, Aakanksha Singh",₹100 crore ,est. ₹53.77 crore ,Panorama Studios,,Is A 2022 Indian Hindi-Language Thriller
Heropanti 2,2022,https://en.wikipedia.org/wiki/Heropanti_2,Heropanti 2,Ahmed Khan,"Tiger Shroff, Nawazuddin Siddiqui, Tara Sutaria",₹70 crore ,est. ₹35.13 crore ,AA Films,Nadiadwala Grandson Entertainment,Is A 2022 Indian Hindi-Language Action
Naach Baiju Naach,2022,https://en.wikipedia.org/wiki/Lal_Vijay_Shahdeo,Lal Vijay Shahdeo,,,,,,,Director And Producer In The Indian
Thar,2022,https://en.wikipedia.org/wiki/Thar_(film),Thar,Raj Singh Chaudhary,"Anil Kapoor, Harshvardhan Kapoor, Fatima Sana Shaikh, Mukti Mohan",,,Netflix[1],Anil Kapoor Films & Communication Network,Western Action Thriller
Mere Desh Ki Dharti,2022,https://en.wikipedia.org/wiki/Mere_Desh_Ki_Dharti_(film),Mere Desh Ki Dharti,Faraz Haider,"Divyenndu Sharma, Anant Vidhaat, Anupriya Goenka, Inaamulhaq, Brijendra Kala, Rajesh Sharma, Atul Shrivastava, Farrukh Jaffar, Avantika Khattri",,,,Carnival Motion Pictures,Is A 2022 Indian Hindi-Language Drama
Jayeshbhai Jordaar,2022,https://en.wikipedia.org/wiki/Jayeshbhai_Jordaar,Jayeshbhai Jordaar,Divyang Thakkar,"Ranveer Singh, Shalini Pandey, Ratna Pathak Shah, Boman Irani, Diksha Joshi",₹90 crore ,est. ₹26.31 crore ,Yash Raj Films,Yash Raj Films,2022 Indian Hindi-Language Comedy-Drama
Rajnandini,2022,https://en.wikipedia.org/wiki/Debolina_Dutta,Debolina Dutta,,,,,,,Romise With The Casting Couch In Bengali
Rocketry: The Nambi Effect,2022,https://en.wikipedia.org/wiki/Rocketry:_The_Nambi_Effect,Rocketry: The Nambi Effect,R. Madhavan,"R.  Madhavan, Simran",₹ 25 crore ,est. ₹50 crore ,Yash Raj FilmsUFO MoviezRed Giant MoviesPhars Film Co. LLC,,Fect Is A 2022 Indian Biographical Drama
Bhool Bhulaiyaa 2,2022,https://en.wikipedia.org/wiki/Bhool_Bhulaiyaa,Bhool Bhulaiyaa,Priyadarshan,"Akshay Kumar, Vidya Balan, Shiney Ahuja, Ameesha Patel",₹ 320 million ,₹ 828.4 million ,Balaji Motion PicturesEros International,T-Series Films,Psychological Horror Comedy
Dhaakad,2022,https://en.wikipedia.org/wiki/Dhaakad,Dhaakad,Razneesh Ghai (Razy),"Kangana Ranaut, Arjun Rampal, Divya Dutta, Sougata Ghosh, Saswata Chatterjee",est. ₹85 crore ,est. ₹3.77 crore ,Zee Studios,,Is A 2022 Indian Hindi-Language Action
Anek,2022,https://en.wikipedia.org/wiki/Anek,Anek,Anubhav Sinha,"Ayushmann Khurrana, Manoj Pahwa, Kumud Mishra, Andrea Kevichüsa, J.D. Chakravarthy",₹40 crore ,₹11.10 crore ,AA Films,,22 Indian Hindi-Language Action Thriller
Dehati Disco,2022,https://en.wikipedia.org/wiki/Dehati_Disco,Dehati Disco,Manoj Sharma,"Ganesh Acharya, Ravi Kishan, Manoj Joshi, Rajesh Sharma, Remo D'Souza, Sunil Pal, Saksham Sharma",,₹ 0.10 cr. ,Panorama Studios,,Is A 2022 Indian Hindi-Language Dance
Major,2022,https://en.wikipedia.org/wiki/Major_(film),Major,Sashi Kiran Tikka,"Adivi Sesh, Prakash Raj, Revathi, Saiee Manjrekar, Sobhita Dhulipala, Murali Sharma, Anish Kuruvilla",₹32 crore ,₹64−66 crore ,Sony Pictures Releasing,,A 2022 Indian Biographical Action Drama
Noise(Shor) 2022,2022,https://en.wikipedia.org/wiki/Chor_Machaaye_Shor,Chor Machaaye Shor,David Dhawan,"Bobby Deol, Shilpa Shetty, Bipasha Basu, Paresh Rawal, Om Puri, Ashish Vidyarthi",₹ 8.50 crore ,₹ 13.62 crore (India Nett) ,,Geeta Enterprises,2002 Indian Hindi-Language Action Comedy
Samrat Prithviraj,2022,https://en.wikipedia.org/wiki/Samrat_Prithviraj,Samrat Prithviraj,Chandraprakash Dwivedi,"Akshay Kumar, Sanjay Dutt, Sonu Sood, Manushi Chhillar",₹150−300 crore ,est. ₹90.32 crore ,Yash Raj Films,Yash Raj Films,Epic Historical Action Drama
Janhit Mein Jaari,2022,https://en.wikipedia.org/wiki/Janhit_Mein_Jaari,Janhit Mein Jaari,Jai Basantu Singh,"Nushrratt Bharuccha, Paritosh Tripathi, Shaan Yadav, Vijay Raaz, Brijendra Kala, Anud Singh Dhaka, Tinu Anand",₹12 crore ,est. ₹5.12 crore ,Zee Studios,,2022 Indian Hindi-Language Comedy-Drama
Ardh,2022,https://en.wikipedia.org/wiki/Ardh,Ardh,Palash Muchhal,"Rajpal Yadav, Rubina Dilaik",,,ZEE5,,Ardh Is An Indian Hindi-Language Drama
Anya The Other,2022,https://en.wikipedia.org/wiki/Anya_(2022_film),Anya,Simmy,"Atul Kulkarni, Raima Sen, Bhushan Pradhan, Tejashree Pradhan, Prathamesh Parab",,,Panorama Studios,Initiative Films,Crime
