title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Kanoon,1960,https://en.wikipedia.org/wiki/Kanoon,Kanoon,B. R. Chopra,"Rajendra Kumar, Ashok Kumar, Nanda, Mehmood",,,,,60 Indian Hindi-Language Courtroom Drama
Bewaqoof,1960,https://en.wikipedia.org/wiki/Bewaqoof,Bewaqoof (Movie),I. S. Johar,"Kishore Kumar, Mala Sinha, I. S. Johar, Pran, Leela Chitnis",,,,,Is A 1960 Indian Drama
Love in Simla,1960,https://en.wikipedia.org/wiki/Love_in_Simla,Love in Simla,R. K. Nayyar,"Joy Mukherjee, Sadhana",,,,,Love In Simla Is A 1960 Indian Romance
Anuradha,1960,https://en.wikipedia.org/wiki/Anuradha_(1960_film),Anuradha,Hrishikesh Mukherjee,"Balraj Sahni, Leela Naidu",,,,,Is A 1960 Hindi-Language Indian
Mughal-E-Azam,1960,https://en.wikipedia.org/wiki/Mughal-e-Azam,Mughal-e-Azam,K. Asif,"Prithviraj Kapoor, Dilip Kumar, Madhubala, Durga Khote",₹ 10.5–15 million,est. ₹ 110 million (India) ,,Sterling Investment Corporation,Is A 1960 Indian Epic Historical Drama
Zameen Ke Tare,1960,https://en.wikipedia.org/wiki/Zameen_Ke_Tare,Zameen Ke Tare,Chandulal Shah,"Agha, Master Bhagwan, Daisy Irani, Honey Irani, Krishna Kumari",,,Chandra Movies,Chandra Movies,S Drama
Kohinoor,1960,https://en.wikipedia.org/wiki/Kohinoor_(1960_film),Kohinoor,S. U. Sunny,"Dilip Kumar, Meena Kumari, Leela Chitnis",,1.5 crore ,,,Oor Is A 1960 Bollywood Action Adventure
Barsaat Ki Raat,1960,https://en.wikipedia.org/wiki/Barsaat_Ki_Raat,Barsaat Ki Raat,P. L. Santoshi,"Madhubala, Bharat Bhushan, Shyama",,est. ₹35 million ,,,0 Indian Hindi-Language Romantic Musical
Jis Desh Men Ganga Behti Hai,1960,https://en.wikipedia.org/wiki/Jis_Desh_Mein_Ganga_Behti_Hai,Jis Desh Mein Ganga Behti Hai,Radhu Karmakar,"Raj Kapoor, Padmini Ramachandran, Pran",,₹2 crore ,,,Was An Indian
Ghunghat,1960,https://en.wikipedia.org/wiki/Ghunghat_(1960_film),Ghunghat,Ramanand Sagar,"Bharat Bhushan, Pradeep Kumar, Bina Rai, Asha Parekh",,,,,The
Kala Bazar,1960,https://en.wikipedia.org/wiki/Kala_Bazar,Kala Bazar,Vijay Anand,"Dev Anand, Waheeda Rehman, Nanda",,,,Navketan Films,Is A 1960 Hindi Crime
Bombai Ka Babu,1960,https://en.wikipedia.org/wiki/Bombai_Ka_Babu,Bombai Ka Baboo,Raj Khosla,"Dev Anand, Suchitra Sen, Jeevan, Achala Sachdev, Jagdish Raj",,,,,Is A 1960 Hindi
Dil Apna Aur Preet Parai,1960,https://en.wikipedia.org/wiki/Dil_Apna_Aur_Preet_Parai,Dil Apna Aur Preet Parai,Kishore Sahu,"Raaj Kumar, Meena Kumari, Nadira",,₹ 90 lakh (equivalent to ₹ 81 crore or US$9.6 million in 2023),,Mahal Pictures,960 Indian Hindi-Language Romantic Drama
Shriman Satyawadi,1960,https://en.wikipedia.org/wiki/Shriman_Satyawadi,Shriman Satyawadi,S. M. Abbas,"Raj Kapoor, Mehmood, Nasir Hussain, Radhakrishan, Shakila",,,Ultra Distributors,,Shriman Satyawadi Is A 1960 Hindi
Kalpana,1960,https://en.wikipedia.org/wiki/Kalpana_(1960_film),Kalpana,R. K. Rakhan,"Ashok Kumar, Padmini, Ragini",,,,Ashok Pictures Pvt. Ltd.,Is A 1960 Indian Hindi-Language Romantic
Return of Mr. Superman,1960,https://en.wikipedia.org/wiki/Return_of_Mr._Superman,Return of Mr. Superman,Manmohan Sabir,"Paidi Jairaj, Sheila Ramani, Naazi, Shammi, Majnu, Helen, David",,,Manmohan Films,,Superman Is A 1960 Indian
