title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Sweety,1981,https://en.wikipedia.org/wiki/Sweety_Nanna_Jodi,Sweety Nanna Jodi,Vijayalakshmi Singh,"Auditya, Radhika Kumaraswamy, Ramya Krishna",,,,Shamika Enterprises,Na Jodi Is A 2013 Indian Kannada Romance
Aakhri Mujra,1981,https://en.wikipedia.org/wiki/Aakhri_Mujra,Aakhri Mujra,Hiren Nag,"Asha Parekh, Zarina Wahab, Nadira, Ajit, Jagdeep",,,,,Aakhri Mujra Is A 1981 Bollywood Drama
Aas Paas,1981,https://en.wikipedia.org/wiki/Aas_Paas,Aas Paas,J. Om Prakash,"Dharmendra, Hema Malini",,,Shemaroo Video Pvt. Ltd,,Is A 1981 Indian Hindi-Language Romance
Waqt Ki Deewar,1981,https://en.wikipedia.org/wiki/Waqt_Ki_Deewar,Waqt Ki Deewar,Ravi Tandon,"Sanjeev Kumar, Jeetendra, Sulakshana Pandit, Neetu Singh",,,,Modern Pictures,Is A 1981 Indian Hindi-Language Action
Bulundi,1981,https://en.wikipedia.org/wiki/Bulundi,Bulundi,Esmayeel Shroff,"Raaj Kumar, Asha Parekh, Danny Denzongpa, Kim",,,,Shreekala Arts,Thriller And Drama
Kranti,1981,https://en.wikipedia.org/wiki/Kranti,Kranti,Manoj Kumar,"Dilip Kumar, Manoj Kumar, Shashi Kapoor, Shatrughan Sinha, Hema Malini, Parveen Babi",,,,,Is A 1981 Indian Historical Drama
Krodhi,1981,https://en.wikipedia.org/wiki/Krodhi,Krodhi,Subhash Ghai,"Dharmendra, Shashi Kapoor, Zeenat Aman, Hema Malini, Sachin, Ranjeeta, Moushumi Chatterjee, Pran, Premnath, Amrish Puri",₹26 million ,₹50 million ,Ranjit FilmsShemaroo Video Pvt. Ltd,,81 Indian Hindi-Language Action Thriller
Barsaat Ki Ek Raat,1981,https://en.wikipedia.org/wiki/Barsaat_Ki_Ek_Raat,Anusandhan,Shakti Samanta,"Amitabh Bachchan, Raakhee, Amjad Khan, Utpal Dutt",,,Shakti Films,Shakti Films,A 1981 Indian Bilingual Action Thriller
Love Story,1981,https://en.wikipedia.org/wiki/Love_Story_(1981_film),Love Story,Rahul Rawail,"Rajendra Kumar, Kumar Gaurav, Vijayta Pandit",,,Aryan Films,,Is A 1981 Indian Hindi-Language Romantic
Roohi,1981,https://en.wikipedia.org/wiki/Roohi_(1981_film),Roohi,S.U. Syed,"Zarina Wahab, Mazhar Khan, Asha Sachdev, Sudhir Dalvi",,,,,Roohi Is A 1981 Indian Hindi-Language
Naram Garam,1981,https://en.wikipedia.org/wiki/Naram_Garam,Naram Garam,Hrishikesh Mukherjee,"Amol Palekar, Swaroop Sampat, Shatrughan Sinha, Utpal Dutt, A. K. Hangal",,,,,1981 Indian Hindi-Language Comedy-Drama
Nakhuda,1981,https://en.wikipedia.org/wiki/Nakhuda_(film),Nakhuda,Dilip Naik,"Raj Kiran, Kulbhushan Kharbanda, Swaroop Sampat, Madan Puri, Bharat Kapoor",,,Yash Raj Films,,Nakhuda Is A 1981 Hindi Drama
Chehre Pe Chehra,1981,https://en.wikipedia.org/wiki/Chehre_Pe_Chehra,Chehre Pe Chehra,Raj Tilak,"Sanjeev Kumar, Vinod Mehra, Shatrughan Sinha, Rekha, Sulakshana Pandit",,,,,81 Indian Hindi-Language Science Fiction
Agni Pareeksha,1981,https://en.wikipedia.org/wiki/Agni_Pareeksha_(1981_film),Agni Pareeksha,Kamal Majumdar,"Amol Palekar, Parikshit Sahni, Rameshwari",,,B. R. Films,B. R. Films,Is A 1981 Bollywood Crime
Kalyug,1981,https://en.wikipedia.org/wiki/Kalyug_(1981_film),Kalyug,Shyam Benegal,"Shashi Kapoor, Rekha, Raj Babbar, Anant Nag",,,Film-Valas,,A 1981 Indian Hindi-Language Crime Drama
