title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Sachai Ki Taqat,1989,https://en.wikipedia.org/wiki/Sachai_Ki_Taqat,Sachai Ki Taqat,T. Rama Rao,"Dharmendra, Amrita Singh, Govinda, Sonam",,,Shemaroo Video Pvt. Ltd.,,Is A 1989 Indian Hindi-Language
Apna Ghar,1989,https://en.wikipedia.org/wiki/Sanjay_Jog,Sanjay Jog,,,,,,,Was An Indian Marathi Language
Maa Kasam Badla Loonga,1990,https://en.wikipedia.org/wiki/Archana_Joglekar,Archana Joglekar,,,,,,,Odia And Hindi
Aag Aur Shabab,1990,https://en.wikipedia.org/wiki/Nusrat_Fateh_Ali_Khan,UstadNusrat Fateh Ali KhanPP,,,,,,,For The
Pyar Ke Naam Qurban,1990,https://en.wikipedia.org/wiki/Hemlata_(singer),Hemlata,,,,,,,She Was Nominated For
Maha-Sangram,1990,https://en.wikipedia.org/wiki/Maha-Sangram,Maha-Sangram,Mukul Anand,"Vinod Khanna, Govinda, Aditya Pancholi, Madhuri Dixit, Shaheen, Sonu Walia, Amjad Khan",,,Neha Arts Pvt.Ltd,,1990 Indian Hindi-Language Action Drama
Taqdeer Ka Tamasha,1990,https://en.wikipedia.org/wiki/Taqdeer_Ka_Tamasha,Taqdeer Ka Tamasha,Anand Gaekwad,"Jeetendra, Govinda, Aditya Pancholi, Moushumi Chatterjee, Kimi Katkar, Mandakini",,,,Film Group,Is A 1990 Hindi-Language Action
Awaargi,1990,https://en.wikipedia.org/wiki/Awaargi,Awaargi,Mahesh Bhatt,"Anil Kapoor, Govinda, Meenakshi Sheshadri",,,Swaraajya Shree Movies,,Gi Is A 1990 Indian Hindi-Language Drama
Zahreelay,1990,https://en.wikipedia.org/wiki/Zahreelay,Zahreelay,Jyotin Goel,"Jeetendra, Sanjay Dutt, Chunky Pandey, Juhi Chawla",,,,Goel Screen Crafts,Ahreelay Is A 1990 Hindi-Language Action
Agneepath,1990,https://en.wikipedia.org/wiki/Agneepath_(1990_film),Agneepath,Mukul S. Anand,"Amitabh Bachchan, Mithun Chakraborty, Madhavi, Neelam Kothari, Danny Denzongpa, Rohini Hattangadi, Archana Puran Singh",,₹ 102.5 million (US$1.2 million) ,Dharma Productions,Dharma Productions,1990 Indian Hindi-Language Action Crime
Pyar Ka Karz,1990,https://en.wikipedia.org/wiki/Pyar_Ka_Karz,Pyar Ka Karz,K.Bapaiah,"Dharmendra, Mithun Chakraborty, Meenakshi Seshadri, Neelam",,,,,Is A 1990 Indian Hindi-Language Action
Shandar,1990,https://en.wikipedia.org/wiki/Shandaar_(1990_film),Shandar,Vinod Dewan,"Mithun Chakraborty, Meenakshi Sheshadri, Mandakini, Juhi Chawla",₹ 30 million,,,,Is A 1990 Indian Hindi-Language
Jeene Do,1990,https://en.wikipedia.org/wiki/Jeene_Do,Jeene Do,Rajesh Sethi,"Sanjay Dutt, Jackie Shroff, Farah, Sonam",,,,Arjun Arts,1990 Indian Hindi-Language Action Drama
Amiri Garibi,1990,https://en.wikipedia.org/wiki/Amiri_Garibi,Amiri Garibi,Harmesh Malhotra,"Jeetendra, Rekha, Rishi Kapoor, Neelam, Raj Babbar, Poonam Dhillon",,,,TUTU Films,Is A 1990 Hindi-Language Drama
Izzatdaar,1990,https://en.wikipedia.org/wiki/Izzatdaar,Izzatdaar,K. Bapaiah,"Dilip Kumar, Govinda, Madhuri Dixit, Raghuvaran",,,Eros International,Divya Films International,Is A 1990 Indian Hindi-Language
Kroadh,1990,https://en.wikipedia.org/wiki/Kroadh,Kroadh,Shashilal K. Nair,"Sunny Deol, Sanjay Dutt, Amrita Singh, Sonam",,,Verma Films,,Is A 1990 Indian Bollywood Action
Lekin...,1990,https://en.wikipedia.org/wiki/Lekin...,Lekin...,Gulzar,"Vinod Khanna, Dimple Kapadia",,,,,Is A 1991 Hindi Drama Mystery
Azaad Desh Ke Gulam,1990,https://en.wikipedia.org/wiki/Azaad_Desh_Ke_Gulam,Azaad Desh Ke Gulam,S. A. Chandrasekhar,"Rishi Kapoor, Rekha, Jackie Shroff, Prem Chopra, Pran",,,,,Is An Indian Hindi-Language
Naya Khoon,1990,https://en.wikipedia.org/wiki/Naya_Khoon,Naya Khoon,Rajat Rakshit,"Govinda, Mandakini",,,,,Khoon Is A 1990 Indian Bollywood Action
Shaitani Ilaaka,1990,https://en.wikipedia.org/wiki/Shaitani_Ilaaka,Shaitani Ilaakaशैतानी इलाका,Kiran Ramsay,"Deepak Parashar, Neelam Mehra, Asha Lata, Surendra Pal",,,,,Is A 1990 Hindi Horror
Haatim Tai,1990,https://en.wikipedia.org/wiki/Haatim_Tai_(1990_film),Haatim Tai,Babubhai Mistry,"Jeetendra, Sangeeta Bijlani",,,,R.M. Art Productions,1990 Indian Hindustani-Language Fantasy
Swarg,1990,https://en.wikipedia.org/wiki/Swarg,Swarg,David Dhawan,"Rajesh Khanna, Govinda, Juhi Chawla, Madhavi",,,Paras Films International,,Is A 1990 Indian Hindi-Language Drama
Police Public,1990,https://en.wikipedia.org/wiki/Police_Public,Police public,Esmayeel Shroff,"Raaj Kumar, Naseeruddin Shah, Kabir Bedi, Raj Kiran, Poonam Dhillon, Prem Chopra",,,,Prathima Films,990 Indian Hindi-Language Crime Thriller
Tum Mere Ho,1990,https://en.wikipedia.org/wiki/Tum_Mere_Ho,Tum Mere Ho,Tahir Hussain,"Aamir Khan, Juhi Chawla",,₹ 38 million (equivalent to ₹ 370 million or US$4.4 million in 2023) ,,Tahir Hussain Enterprises,Is A 1990 Indian Fantasy Revenge Drama
C.I.D.,1990,https://en.wikipedia.org/wiki/C.I.D._(1990_film),C.I.D.,Ajay Goel,"Vinod Khanna, Amrita Singh, Juhi Chawla",,,,,Is A 1990 Indian Hindi Action
