title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Naya Raasta,1970,https://en.wikipedia.org/wiki/Naya_Raasta,Naya Raasta,Khalid Akhtar,"Jeetendra, Asha Parekh",,,,Pushpa Pictures,Is A 1970 Hindi-Language Drama
Gopi,1970,https://en.wikipedia.org/wiki/Gopi_(1970_film),Gopi,A. Bhimsingh,"Dilip Kumar, Saira Banu",,,,Prosperity Pictures,Pi Is A 1970 Hindi-Language Action Drama
Uski Roti,1970,https://en.wikipedia.org/wiki/Uski_Roti,Uski Roti,Mani Kaul,"Gurdeep Singh, Garima",,,,,Is A 1969 Hindi
Sharafat,1970,https://en.wikipedia.org/wiki/Sharafat,Sharafat,Asit Sen,"Ashok Kumar, Dharmendra, Hema Malini",,,Seven Arts Films,Famous Cine Studios,Sharafat Is A 1970 Hindi Romantic Drama
Jawab,1970,https://en.wikipedia.org/wiki/Jawab_(1970_film),Jawab,Ramanna,"Jeetendra, Leena Chandavarkar, Ashok Kumar, Meena Kumari",,,,R.R. Pictures[1],Is A 1970 Hindi-Language Drama
Bhai Bhai,1970,https://en.wikipedia.org/wiki/Bhai-Bhai_(1970_film),Bhai-Bhai,Raja Nawathe,"Sunil Dutt, Asha Parekh, Mumtaz, Mehmood, Pran",,,R. M. Arts Productions,R. M. Arts Productions,Is A 1970 Bollywood Suspense Drama
Man Ki Aankhen,1970,https://en.wikipedia.org/wiki/Man_Ki_Aankhen,Man Ki Aankhen,Raghunath Jhalani,"Dharmendra, Waheeda Rehman",,,,,Ki Aankhen Is 1970 Indian Hindi Language
Ganwaar,1970,https://en.wikipedia.org/wiki/Ganwaar,Ganwaar,Naresh Kumar,"Rajendra Kumar, Vyjayanthimala",,,,,Ganwaar Is A 1970 Indian
Veer Ghatotkach,1970,https://en.wikipedia.org/wiki/Ghatotkacha,Ghatotkacha,,,,,,,
Bachpan,1970,https://en.wikipedia.org/wiki/Bachpan,Bachpan,Kotayya Pratyagatma,"Sanjeev Kumar, Keshto Mukherjee, Mukri, Sachin, Tanuja",,,Atma Arts Universal,,Is A 1970 Indian Hindi-Language Drama
Ishq Par Zor Nahin,1970,https://en.wikipedia.org/wiki/Ishq_Par_Zor_Nahin,Ishq Par Zor Nahin,Ramesh Saigal,"Dharmendra, Sadhana, Biswajeet, Jagdeep, Kamini Kaushal, Abhi Bhattacharya",,,,,Q Par Zor Nahin Is A 1970 Hindi Romantic
Pardesi,1970,https://en.wikipedia.org/wiki/Pardesi_(1970_film),Pardesi,Kundan Kumar,"Biswajeet, Mumtaz, Kanan Kaushal, Padma Khanna, Sujit Kumar",,,,,Is A 1970 Bollywood Drama
Himmat,1970,https://en.wikipedia.org/wiki/Himmat_(1970_film),Himmat,Ravikant Nagaich,"Jeetendra, Mumtaz",,,Prasad Productions Pvt. Ltd.,Bharathi International Films,Is A 1970 Hindi-Language Action
Chetna,1970,https://en.wikipedia.org/wiki/Chetna,Chetna,B.R. Ishara,"Shatrughan Sinha, Anil Dhawan, Rehana Sultan",,,S. V,,Is A 1970 Bollywood Drama
Pagla Kahin Ka,1970,https://en.wikipedia.org/wiki/Pagla_Kahin_Ka,Pagla Kahin Ka,Shakti Samanta,"Shammi Kapoor, Asha Parekh, Helen, Prem Chopra",,,,,Is A 1970 Indian Hindi-Language Romance
Pushpanjali,1970,https://en.wikipedia.org/wiki/Pushpanjali_(1970_film),Pushpanjali,Kishore Sahu,"Sanjay Khan, Naina Sahu, Premnath, Om Prakash",,,,Kishore Sahu Productions,Romantic Drama
Sampoorna Teerth Yatra,1970,https://en.wikipedia.org/wiki/Sampoorna_Teerth_Yatra,Sampoorna Teerth Yatra,Dhirubhai Desai,"Sushama Shiromanee, alias Jaymala and Jeevan",,,,,Teerth Yatra Is A 1970 Bollywood Fantasy
Choron Ka Chor,1970,https://en.wikipedia.org/wiki/Choron_Ka_Chor,Choron Ka Chor,Mohammed Hussain,Madan Puri,,,,,Is A 1970 Indian Drama
Aansoo Aur Muskan,1970,https://en.wikipedia.org/wiki/Aansoo_Aur_Muskan,Aansoo Aur Muskaan,P. Madhavan,"Kishore Kumar, Padmini, Parikshit Sahni, Hema Malini",,,,,Is A 1970 Hindi-Language
Guddi,1971,https://en.wikipedia.org/wiki/Guddi_(1971_film),Guddi,Hrishikesh Mukherjee,"Dharmendra, Jaya Bhaduri, Utpal Dutt, Samit Bhanja, A. K. Hangal, Asrani, Keshto Mukherjee",,,,,Is A 1971 Indian Hindi Drama
Kangan,1971,https://en.wikipedia.org/wiki/Kangan_(film),Kangan,K. B. Tilak,,,,,,Is A 1971 Hindi
Haseenon Ka Devata,1971,https://en.wikipedia.org/wiki/Haseenon_Ka_Devata,Haseenon Ka Devata,,"Sanjay Khan, Rekha, Bindu, Helen",,,,,Ka Devata Is A 1971 Hindi-Language Drama
Irada,1971,https://en.wikipedia.org/wiki/Hemant_Kumar,Hemanta Mukhopadhyay,,,,,,,He Was A  Artist In Bengali And Hindi
Aag Aur Daag,1971,https://en.wikipedia.org/wiki/Aag_Aur_Daag,Aag Aur Daag,A. Salaam,"Joy Mukherjee, and, Poonam Sinha",,,,,Ag Is A 1970 Hindi-Language Action Drama
Jal Bin Machhli Nritya Bin Bijli,1971,https://en.wikipedia.org/wiki/Jal_Bin_Machhli_Nritya_Bin_Bijli,Jal Bin Machhli Nritya Bin Bijli,V. Shantaram,"Sandhya, Abhijeet",,,,,Is A 1971 Bollywood Romance
Mehboob Ki Mehndi,1971,https://en.wikipedia.org/wiki/Mehboob_Ki_Mehndi,Mehboob Ki Mehndi,H. S. Rawail,"Rajesh Khanna, Leena Chandavarkar, Pradeep Kumar",,,,,1 Indian Hindi-Language Romantic Musical
Ek Paheli,1971,https://en.wikipedia.org/wiki/Ek_Paheli,Ek Paheli,Naresh Kumar,"Sanjeev Kumar, Feroz Khan, Tanuja, Madan Puri, Aruna Irani",,,,,Heli Is A 1971 Bollywood Thriller Drama
Purab Aur Pachhim,1971,https://en.wikipedia.org/wiki/Purab_Aur_Pachhim,Purab Aur Pachhim,Manoj Kumar,"Ashok Kumar, Saira Banu, Manoj Kumar, Pran, Nirupa Roy, Prem Chopra, Vinod Khanna",,4.5 Crore est. ₹ 47.5 million (US$6.31 million),Ultra Distributors,Vishal International Productions,Is A 1970 Indian Hindi-Language Drama
