title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Rajdhani Express,2013,https://en.wikipedia.org/wiki/Rajdhani_Express_(film),Rajdhani Express,Ashok Kohli,"Leander Paes, Sudhanshu Pandey, Priyanshu Chatterjee, Jimmy Sheirgill",₹ 50 million,,,Cine Acts production,Hani Express Is An Indian Hindi-Language
Dehraadun Diary,2013,https://en.wikipedia.org/wiki/Dehraadun_Diary,Dehraadun Diary,Milind Ukey,"Ragini Nandwani, Adhyayan Suman, Rati Agnihotri, Rohit Bakshi, Vishal Bhonsle, Ashwini Kaleskar, Manoj Harsh",9 crore,91 crore,,Swami Samartha Creations&Ashwagandha Entertainments,Raadun Diary Is A Hindi Mystery Thriller
Matru Ki Bijlee Ka Mandola,2013,https://en.wikipedia.org/wiki/Matru_Ki_Bijlee_Ka_Mandola,Matru Ki Bijlee Ka Mandola,Vishal Bhardwaj,"Pankaj Kapur, Imran Khan, Anushka Sharma, Shabana Azmi",₹ 45 crore (US$5.3 million) ,₹ 31.15 crore (US$3.7 million) ,Fox Star Studios,,Satirical Black Comedy
Inkaar,2013,https://en.wikipedia.org/wiki/Inkaar_(2013_film),Inkaar,Sudhir MishraJay Dev Banerjee,"Arjun Rampal, Chitrangada Singh",₹ 140 million (US$1.7 million),₹ 100.2 million (US$1.2 million) ,Viacom 18 Motion Pictures,Tipping Point Films,Is A 2013 Indian Romantic Thriller
Bandook,2013,https://en.wikipedia.org/wiki/Bandook,Bandook,Aditya Om,"Aditya Om, Manisha Kelkar, Arshad Khan",,,,,Is A 2013 Bollywood Crime
Race 2,2013,https://en.wikipedia.org/wiki/Race_2,Race 2,Abbas–Mustan,"Saif Ali Khan, John Abraham, Deepika Padukone, Anil Kapoor, Jacqueline Fernandez, Sanika raghawa, Ameesha Patel, Bipasha Basu",₹94 crore,₹173.36 crore ,UTV Motion Pictures,Tips Industries,Neo-Noir Action Crime
Akaash Vani,2013,https://en.wikipedia.org/wiki/Akaash_Vani,Akaash Vani,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Fatima Sana Shaikh, Sunny Singh",₹10 crore ,₹2.24 crore ,Zee Studios International,Wide Frame Pictures,013 Indian Hindi-Language Romantic Drama
Main Krishna Hoon,2013,https://en.wikipedia.org/wiki/Main_Krishna_Hoon,Main Krishna Hoon,Rajiv S Ruia,"Juhi Chawla, Paresh Ganatra, Namit Shah, Swati Aggarwal",,,Eros International,J.C. Film Vision,Partially Animated
Mai,2013,https://en.wikipedia.org/wiki/Mai_(2013_film),MAI,Mahesh Kodiyal,"Asha Bhosle, Padmini Kolhapure, Ram Kapoor",,,,,Is A 2013 Indian Hindi-Language
Listen... Amaya,2013,https://en.wikipedia.org/wiki/Listen..._Amaya,Listen... Amaya,Avinash Kumar Singh,"Farooq Shaikh, Deepti Naval, Swara Bhaskar",,,Turtle on a Hammock Films,Turtle on a Hammock Films,Amaya Is A 2013 Hindi Drama
Mahabharat Aur Barbareek,2013,https://en.wikipedia.org/wiki/Mahabharat_Aur_Barbareek,Mahabharat aur Barabareek,Dharmesh Tiwari,"Amit Rao Jeetendra, Nitish Bharadwaj, Gajendra Chauhan, Praveen Kumar, Arjun, Rupa Ganguly, Puneet Issar, Vinod Kapoor, Pankaj Dheer, Hema Malini, Jeetendra, Shahbaz Khan, Gracy Singh",,,,,Arbareek Is A 2013 Indian Hindi Language
The Light: Swami Vivekananda,2013,https://en.wikipedia.org/wiki/The_Light:_Swami_Vivekananda,The Light: Swami Vivekananda,Utpal (Tutu) Sinha,"Deep Bhattacharya, Gargi Roy Choudhury, Premankur Chattopadhyay, Courtney Stephens, Biswajit Chakraborty, Piyali Mitra, Sayak Chakraborty, Archita Sahu",,,,Tri Colour productions private limitedwww.tricolourproductions.net,The
Special Chabbis,2013,https://en.wikipedia.org/wiki/Shortcut_Romeo,Shortcut Romeo,Susi Ganesh,"Neil Nitin Mukesh, Ameesha Patel, Puja Gupta",₹ 15 crore (US$1.8 million) ,,Mirchi MoviesSusi Ganesh Productions,Susi Ganesh Productions,Action Crime Thriller
