title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Yeh Hai Mumbai Meri Jaan,1999,https://en.wikipedia.org/wiki/Yeh_Hai_Mumbai_Meri_Jaan,Yeh Hai Mumbai Meri Jaan,Mahesh Bhatt,"Saif Ali Khan, Twinkle Khanna, Chunky Pandey",,,,Vishesh Films,99 Indian Hindi-Language Romantic Comedy
Dahek: A Burning Passion,1999,https://en.wikipedia.org/wiki/Dahek,Dahek: A Burning Passion,Lateef Binni,"Akshaye Khanna, Sonali Bendre, Danny Dengzongpa",,,,,Is A 1999 Indian Hindi-Language Romance
Khiladi 420,1999,https://en.wikipedia.org/wiki/Akshay_Kumar,Akshay Kumar,,,,,,,Is An Indian Actor And
Nyaydaata,1999,https://en.wikipedia.org/wiki/Nyaydaata,Nyaydaata,Vicky Ranawat,"Dharmendra, Jaya Prada, Asrani, Tinnu Anand, Harish Patel, Mukesh Rishi",4cr,3cr,Hallmark Studio,,Aydaata  Is A 1999 Indian Hindi-Language
Jahan Tum Le Chalo,1999,https://en.wikipedia.org/wiki/Jahan_Tum_Le_Chalo,Jahan Tum Le Chalo,Desh Deepak,,,,,,Le Chalo Is A 1999 Indian Hindi Language
Dulhan Banoo Main Teri,1999,https://en.wikipedia.org/wiki/Dulhan_Banoo_Main_Teri,Dulhan Banoo Mein Teri,B. Subhash,"Faraaz Khan, Deepti Bhatnagar, Arun Bakshi, Beena, Dalip Tahil, Johnny Lever, Roger Moore",,,MGMUnited Artists,,Ein Teri Is A 1999 Indian Romantic Drama
Bechainee,2000,https://en.wikipedia.org/wiki/Babul_Supriyo,Babul Supriyo,,,,,,,N The Mid-Nineties And Has Sung For Many
Scribbles on Akka,2000,https://en.wikipedia.org/wiki/48th_National_Film_Awards,48th National Film Awards,,,,,,,The 48Th National
Agniputra,2000,https://en.wikipedia.org/wiki/Agniputra,Agniputra,B. Vijay Reddy,Mithun Chakraborty,,,,,A 2000 Indian Hindi Action Revenge Drama
Ganga Dacait,2000,https://en.wikipedia.org/wiki/Raza_Murad,Raza Murad,,,,,,,Actor Who Primarily Appears In Hindi
Mela,2000,https://en.wikipedia.org/wiki/Mela_(2000_film),Mela,Dharmesh Darshan,"Aamir Khan, Twinkle Khanna, Faisal Khan, Johnny Lever, Tinu Verma",est. ₹ 18 crore (US$2.1 million) ,est. ₹ 25 crore (US$3.0 million) ,,Venus Records & Tapes,Is A 2000 Indian Hindi-Language Masala
Bulandi,2000,https://en.wikipedia.org/wiki/Bulandi_(2000_film),Bulandi,T. Rama Rao,"Rajinikanth, Anil Kapoor, Rekha, Raveena Tandon",,,Digital Entertainment,,Di Is A 2000 Indian Hindi-Language Drama
Kaho Naa... Pyaar Hai,2000,https://en.wikipedia.org/wiki/Kaho_Naa..._Pyaar_Hai,Kaho Naa ... Pyaar Hai,Rakesh Roshan,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Bahl",₹10 crore ,"₹80
crore ",Yash Raj FilmsEros International(Overseas),Filmkraft Productions Pvt. Ltd.,Musical Romantic Thriller
Dulhan Hum Le Jayenge,2000,https://en.wikipedia.org/wiki/Dulhan_Hum_Le_Jayenge,Dulhan Hum Le Jayenge,David Dhawan,"Salman Khan, Karisma Kapoor",₹11 crore ,₹ 36.47 crore ,Baba Arts,,00 Indian Hindi-Language Romantic Comedy
Phir Bhi Dil Hai Hindustani,2000,https://en.wikipedia.org/wiki/Phir_Bhi_Dil_Hai_Hindustani,Phir Bhi Dil Hai Hindustani,Aziz Mirza,"Shah Rukh Khan, Juhi Chawla",₹ 13 crores ,₹ 25.46 crores ,Eros International,Dreamz Unlimited,S A 2000 Indian Hindi-Language Satirical
Sultaan,2000,https://en.wikipedia.org/wiki/Sultaan,Sultaan,T L V Prasad,"Mithun Chakraborty, Dharmendra, Suvarna Mathew, Jack Gaud, Raza Murad, Mukesh Rishi",,,,,N Is A 2000 Indian Hindi-Language Action
Pukar,2000,https://en.wikipedia.org/wiki/Pukar_(2000_film),Pukar,Rajkumar Santoshi,"Anil Kapoor, Madhuri Dixit, Namrata Shirodkar, Danny Denzongpa, Om Puri",$4.9 million ,,Eros InternationalShemaroo Entertainment,S K Film Enterprises,00 Indian Hindi-Language Action Thriller
Daku Ramkali,2000,https://en.wikipedia.org/wiki/Daku_Ramkali,Daku Ramkali,Kanti Shah,"Shakti Kapoor, Rajesh Vivek, Mohan Joshi, Kiran Kumar",,,,Gulab Pictures,Ramkali Is A Hindi-Language Action Drama
Khauff,2000,https://en.wikipedia.org/wiki/Khauff,Khauff,Sanjay Gupta,"Sanjay Dutt, Manisha Koirala",₹ 7.5 crore ,₹ 10.58 crore ,,Vijay Tolani Productions,00 Indian Hindi-Language Action Thriller
Krodh,2000,https://en.wikipedia.org/wiki/Krodh_(film),Krodh,Ashok Honda,"Sunil Shetty, Rambha",,,,Ashok Honda Productions,Is A 2000 Indian Action Drama
Ek Sthree,2000,https://en.wikipedia.org/wiki/Balu_Mahendra,Balu Mahendra,,,,,,,Screenwriter And
Papa the Great,2000,https://en.wikipedia.org/wiki/Papa_The_Great,Papa The Great,K. Bhagyaraj,"Krishan Kumar, Nagma, Satya Prakash, Master Bobby",,,,T-Series,He Great Is A 2000 Indian Hindi-Language
Hera Pheri,2000,https://en.wikipedia.org/wiki/Hera_Pheri_(2000_film),Hera Pheri,Priyadarshan,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu",₹ 7.5 crore ,₹ 21.4 crore ,,A. G. Films,Is A 2000 Indian Hindi-Language Comedy
Baaghi,2000,https://en.wikipedia.org/wiki/Baaghi_(2000_film),Baaghi,Rajesh Kumar Singh,"Sanjay Dutt, Manisha Koirala, Aditya Pancholi",₹ 5.75 crore ,₹ 6.47 crore ,Triple Aar Films,,Is A 2000 Indian Action Drama
Hadh Kar Di Aapne,2000,https://en.wikipedia.org/wiki/Hadh_Kar_Di_Aapne,HadhKarDiAapne,Manoj Agrawal,"Govinda, Rani Mukerji, Johnny Lever",₹ 8 crore ,₹ 20 crore ,T-Series,,Is A 2000 Indian Hindi-Language Comedy
Gang,2000,https://en.wikipedia.org/wiki/Gang_(film),Gang,Mazhar Khan,"Kumar Gaurav, Jackie Shroff, Nana Patekar, Jaaved Jaffrey, Juhi Chawla",,,,,000 Indian Hindi-Language Gangster Drama
Hari-Bhari,2000,https://en.wikipedia.org/wiki/Hari-Bhari,Hari-Bhari,Shyam Benegal,"Shabana Azmi, Rajit Kapur, Rajeshwari Sachdev, Nandita Das",,,,,Is A 2000 Hindi
Chal Mere Bhai,2000,https://en.wikipedia.org/wiki/Chal_Mere_Bhai,Chal Mere Bhai,David Dhawan,"Sanjay Dutt, Salman Khan, Karishma Kapoor",₹ 14 crore ,₹ 22.28 crore ,Gaurav DigitalNeha ArtsEros International,,Is A 2000 Indian Hindi-Language Comedy
Jung,2000,https://en.wikipedia.org/wiki/Jung_(2000_film),Jung,Sanjay Gupta,"Sanjay Dutt, Jackie Shroff, Aditya Pancholi, Raveena Tandon, Shilpa Shetty",₹ 82.5 million ,₹ 114 million ,Digital Entertainment,,00 Indian Hindi-Language Action Thriller
Kya Kehna,2000,https://en.wikipedia.org/wiki/Kya_Kehna,Kya Kehna!,Kundan Shah,"Preity Zinta, Saif Ali Khan, Chandrachur Singh, Anupam Kher, Farida Jalal",₹40 million,₹221.7 million ,,Tips Industries,Family Romantic Drama
Hum To Mohabbat Karega,2000,https://en.wikipedia.org/wiki/Hum_To_Mohabbat_Karega,Hum To Mohabbat Karega,Kundan Shah,"Bobby Deol, Karisma Kapoor, Johnny Lever, Maleeka Ghai","₹ 7,50 crore ",₹ 9.92 crore ,NH Studioz,KPS Films,Is A 2000 Indian Hindi Thriller-Comedy
Josh,2000,https://en.wikipedia.org/wiki/Josh_(2000_film),Josh,Mansoor Khan,"Shah Rukh Khan, Chandrachur Singh, Aishwarya Rai, Sharad Kapoor, Priya Gill",₹ 16 crore ,₹ 35.06 crore ,B4U Films,Venus Films,0 Indian Hindi-Language Romantic Musical
Joru Ka Ghulam,2000,https://en.wikipedia.org/wiki/Joru_Ka_Ghulam,Joru Ka Ghulam,Shakeel Noorani,"Govinda, Twinkle Khanna, Kader Khan, Johnny Lever, Ali Asgar",est. ₹5.5 crore ,est. ₹13.10 crore ,,,Is A 2000 Indian Hindi-Language Comedy
Tarkieb,2000,https://en.wikipedia.org/wiki/Tarkieb,Tarkieb,Esmayeel Shroff,"Nana Patekar, Tabu, Shilpa Shetty, Aditya Pancholi, Milind Soman, Ashutosh Rana",₹ 5 crore ,₹ 9.24 crore ,,Prathima Films,Tarkieb Is A 2000 Indian Crime Drama
Refugee,2000,https://en.wikipedia.org/wiki/Refugee_(2000_film),Refugee,J. P. Dutta,"Abhishek Bachchan, Kareena Kapoor",₹15 crore ,₹35.44 crore ,HR Enterprises,,000 Indian Hindi-Language Romantic Drama
Bichhoo,2000,https://en.wikipedia.org/wiki/Bichhoo,Bichhoo,Guddu Dhanoa,"Bobby Deol, Rani Mukerji, Ashish Vidyarthi, Malaika Arora",₹ 7.50 crore ,₹ 19.75 crore ,Video Sound Inc.,Bhagwan Chitra Mandir,00 Indian Hindi-Language Action Thriller
Kunwara,2000,https://en.wikipedia.org/wiki/Kunwara,Kunwara,David Dhawan,"Govinda, Urmila Matondkar",₹ 9 crore ,₹ 19.34 crore (equivalent to ₹ 80 crore or US$9.4 million in 2023) ,Tips IndustriesGeetha Arts,,Is A 2000 Indian Hindi Comedy
Nidaan,2000,https://en.wikipedia.org/wiki/Nidaan,Nidaan,Mahesh Manjrekar,"Shivaji Satam, Reema Lagoo, Nisha Bains, Shagufta Ali, Sunil Barve",,,,,Nidaan Is A 2000 Indian Family Drama
Ek Ajooba,2000,https://en.wikipedia.org/wiki/Palak_Muchhal,Palak Muchal,,,,,,,Performs As A Playback Singer For Hindi
Har Dil Jo Pyar Karega...,2000,https://en.wikipedia.org/wiki/Har_Dil_Jo_Pyar_Karega,Har Dil Jo Pyar Karega,Raj Kanwar,"Salman Khan, Preity Zinta, Rani Mukerji",₹13 crore ,₹32.45 crore ,Nadiadwala Grandson Entertainment,,00 Indian Hindi-Language Romantic Comedy
Deewane,2000,https://en.wikipedia.org/wiki/Deewane,Deewane,Harry Baweja,"Ajay Devgn, Urmila Matondkar, Mahima Chaudhry, Paresh Rawal, Gulshan Grover, Shivaji Satham",₹ 85 million ,₹ 122.5 million ,Shemaroo Entertainment,S. P. Creations,2000 Indian Hindi Romantic Action Drama
