title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre,box_value,multiplier,bo_num
Dil Bole Hadippa!,2009,https://en.wikipedia.org/wiki/Dil_Bole_Hadippa!,Dil Bole Hadippa!,Anurag Singh[1],"Rani Mukerji, Shahid Kapoor, Sherlyn Chopra, Anupam Kher, Dalip Tahil",,₹ 46.12 crore ,,Yash Raj Films,2009 Indian Hindi-Language Sports Comedy,46.12,10000000,461200000.0
Wanted,2009,https://en.wikipedia.org/wiki/Wanted_(2009_film),Wanted,Prabhu Deva,"Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna, Mahesh Manjrekar",₹ 35 crore ,₹ 90.21 crore ,Sahara One Motion Pictures,,09 Indian Hindi-Language Action Thriller,90.21,10000000,902100000.0
What's Your Raashee?,2009,https://en.wikipedia.org/wiki/What's_Your_Raashee?,What's Your Raashee?,Ashutosh Gowariker,"Harman Baweja, Priyanka Chopra",₹ 32 crore ,₹ 17 crore ,UTV Motion Pictures,,09 Indian Hindi-Language Romantic Comedy,17.0,10000000,170000000.0
Wake Up Sid,2009,https://en.wikipedia.org/wiki/Wake_Up_Sid,Wake Up Sid,Ayan Mukerji,"Ranbir Kapoor, Konkana Sen Sharma",₹ 18 crore ,₹ 47.10 crore ,UTV Motion Pictures,Dharma Productions,Coming-Of-Age Comedy-Drama,47.1,10000000,471000000.0
Acid Factory,2009,https://en.wikipedia.org/wiki/Acid_Factory,Acid Factory,Suparn Verma,"Fardeen Khan, Irrfan Khan, Manoj Bajpayee, Dino Morea, Aftab Shivdasani, Dia Mirza, Danny Denzongpa",₹ 21 crore ,₹ 5.20 crore ,Mumbai Mantra,,09 Indian Hindi-Language Action Thriller,5.2,10000000,52000000.0
Blue,2009,https://en.wikipedia.org/wiki/Blue_(2009_film),Blue,Anthony D'Souza,"Sanjay Dutt, Akshay Kumar, Lara Dutta, Katrina Kaif, Zayed Khan, Rahul Dev",₹750 million ,₹639 million ,Shree Ashtavinayak Cine Vision,Shree Ashtavinayak Cine Vision,9 Indian Hindi-Language Action-Adventure,639.0,1000000,639000000.0
All the Best: Fun Begins,2009,https://en.wikipedia.org/wiki/All_the_Best:_Fun_Begins,All The Best: Fun Begins,Rohit Shetty,"Ajay Devgn, Sanjay Dutt, Fardeen Khan, Bipasha Basu, Mugdha Godse",₹ 41 crore ,₹ 61 crore ,Yash Raj Films,,S Is A 2009 Indian Hindi-Language Comedy,61.0,10000000,610000000.0
Main Aurr Mrs Khanna,2009,https://en.wikipedia.org/wiki/Main_Aurr_Mrs_Khanna,Main Aurr Mrs Khanna,Prem Soni,"Salman Khan, Kareena Kapoor, Sohail Khan",₹ 38 crore ,"₹ 14.60
 crore ",UTV Motion Pictures,,Is A 2009 Indian Romance,14.6,10000000,146000000.0
Fruit & Nut,2009,https://en.wikipedia.org/wiki/Fruit_and_Nut_(film),Fruit and Nut,Kunal Vijaykar,"Boman Irani, Cyrus Broacha, Dia Mirza, Mahesh Manjrekar, Sachin Nayak",₹ 5 crore ,₹ 15 lakh ,Viacom18 Studios,,Fruit And Nut Is A 2009 Indian Comedy,15.0,100000,1500000.0
Aladin,2009,https://en.wikipedia.org/wiki/Aladin_(film),Aladin,Sujoy Ghosh,"Amitabh Bachchan, Sanjay Dutt, Ritesh Deshmukh, Jacqueline Fernandez",,est. ₹ 10.89 crore ,Eros International,Boundscript Motion Pictures,Fantasy Action Comedy,10.89,10000000,108900000.0
London Dreams,2009,https://en.wikipedia.org/wiki/London_Dreams,London Dreams,Vipul Shah,"Salman Khan, Ajay Devgn, Asin, Aditya Roy Kapur, Rannvijay Singh, Om Puri",₹ 45 crore ,₹ 41.31 crore ,Blockbuster Movie EntertainersHeadstart FilmsIntech,,2009 Indian Hindi-Language Musical Drama,41.31,10000000,413100000.0
Jail,2009,https://en.wikipedia.org/wiki/Jail_(2009_film),Jail,Madhur Bhandarkar,"Neil Nitin Mukesh, Mugdha Godse, Manoj Bajpayee, Arya Babbar",,₹10 crores ,,,L Is A 2009 Indian Hindi-Language Prison,10.0,10000000,100000000.0
3 Idiots,2009,https://en.wikipedia.org/wiki/3_Idiots,3 Idiots,Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi",₹55 crore ,₹400.61–415 crore ,Reliance BIG Pictures,Vinod Chopra Films,Coming-Of-Age Satirical Comedy-Drama,400.61,10000000,4006100000.0
Tum Mile,2009,https://en.wikipedia.org/wiki/Tum_Mile,Tum Mile,Kunal Deshmukh,"Emraan Hashmi, Soha Ali Khan",₹ 220 million ,₹ 134 million ,PVR Pictures[1],,Romantic Drama Disaster,134.0,1000000,134000000.0
Kurbaan,2009,https://en.wikipedia.org/wiki/Kurbaan_(2009_film),Kurbaan,Rensil D'Silva,"Saif Ali Khan, Kareena Kapoor, Vivek Oberoi, Kirron Kher, Om Puri, Dia Mirza",₹ 500 million (US$5.9 million) ,₹ 429 million (US$5.1 million) ,UTV Motion Pictures,Dharma Productions,Indian Hindi-Language Romantic Thriller,429.0,1000000,429000000.0
De Dana Dan,2009,https://en.wikipedia.org/wiki/De_Dana_Dan,De Dana Dan,Priyadarshan,"Akshay Kumar, Suniel Shetty, Katrina Kaif, Paresh Rawal",₹40 crore ,₹81.90 crore ,Baba ArtsHari Om Entertainment,,Is A 2009 Indian Hindi-Language Comedy,81.9,10000000,819000000.0
Rocket Singh: Salesman of the Year,2009,https://en.wikipedia.org/wiki/Rocket_Singh:_Salesman_of_the_Year,Rocket Singh: Salesman of the Year,Shimit Amin,"Ranbir Kapoor, Gauahar Khan, Shazahn Padamsee, Prem Chopra, Manish Chaudhari, D. Santosh",₹ 16 crore ,₹ 33.65 crore ,Yash Raj Films,Yash Raj Films,2009 Indian Hindi-Language Comedy-Drama,33.65,10000000,336500000.0
Tales of Siva 2,2009,https://en.wikipedia.org/wiki/Kanguva,Kanguva,Siva,"Suriya, Bobby Deol, Disha Patani",est. ₹300–350 crore ,est. ₹106 crore ,see below,,Il-Language Epic Fantasy Action Thriller,106.0,10000000,1060000000.0
Chance Pe Dance,2010,https://en.wikipedia.org/wiki/Chance_Pe_Dance,Chance Pe Dance,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza",₹ 29 crore ,₹ 16.3 crore ,UTV Motion Pictures,,Is A 2010 Indian Hindi-Language Dance,16.3,10000000,163000000.0
Veer,2010,https://en.wikipedia.org/wiki/Veer_(2010_film),Veer,Anil Sharma,"Salman Khan, Mithun Chakraborty, Jackie Shroff, Zareen Khan, Sohail Khan",₹ 63 crore,"est. ₹ 68.11
 crore",Eros International,Vijay Galani Movies,A 2010 Indian Hindi-Language Epic Action,68.11,10000000,681100000.0
Peepli Live,2010,https://en.wikipedia.org/wiki/Peepli_Live,Peepli Live,Anusha Rizvi,"Omkar Das Manikpuri, Raghubir Yadav, Shalini Vatsa, Malaika Shenoy, Nawazuddin Siddiqui, Naseeruddin Shah",₹10 crore ,est. ₹46.85 crore ,UTV Motion Pictures,Aamir Khan Productions,Is A 2010 Indian Satirical Black Comedy,46.85,10000000,468500000.0
Ishqiya,2010,https://en.wikipedia.org/wiki/Dedh_Ishqiya,Dedh Ishqiya,Abhishek Chaubey,"Naseeruddin Shah, Madhuri Dixit, Arshad Warsi, Huma Qureshi",₹ 370 million ,₹ 408 million ,Shemaroo Entertainment,,Is A 2014 Indian Slapstick Black Comedy,408.0,1000000,408000000.0
Rann,2010,https://en.wikipedia.org/wiki/Rann_(film),Rann,Ram Gopal Verma,"Amitabh Bachchan, Sudeep, Ritesh Deshmukh, Paresh Rawal, Mohnish Bahl",,₹13.7 crore,PVR PicturesBig House Films ProductionWSG Pictures,,Political Thriller,13.7,10000000,137000000.0
Click,2010,https://en.wikipedia.org/wiki/Click_(2010_film),Click,Sangeeth Sivan,"Shreyas Talpade, Sadha, Sneha Ullal, Rehan Khan, Chunky Pandey",₹ 7.5 crore ,₹ 1.6 crore ,Pritish Nandy Communications[1],,Supernatural Horror,1.6,10000000,16000000.0
Teen Patti,2010,https://en.wikipedia.org/wiki/Teen_Patti_(film),Teen Patti,Leena Yadav,"Amitabh Bachchan, Ben Kingsley, R. Madhavan, Shraddha Kapoor, Raima Sen, Tinnu Anand, Mahesh Manjrekar",₹ 18 crore ,₹ 7.63 crore ,Serendipity Films,,Is A 2010 Indian Hindi-Language Thriller,7.63,10000000,76300000.0
Atithi Tum Kab Jaoge?,2010,https://en.wikipedia.org/wiki/Atithi_Tum_Kab_Jaoge?,Atithi Tum Kab Jaoge,Ashwni Dhir,"Ajay Devgn, Paresh Rawal, Konkona Sen Sharma",₹ 15 million,₹39 million ,Warner Bros. Pictures,Wide Frame Films,Is A 2010 Indian Hindi-Language Comedy,39.0,1000000,39000000.0
Rokkk,2010,https://en.wikipedia.org/wiki/Rokkk,Rokkk,Rajesh Ranshinge,"Tanushree Dutta, Udita Goswami, Sachin Khedekar, Shaad Randhawa, Murli Sharma, Ashwini Kalsekar, Nishigandha Wad, Arif Zakaria",₹ 5.25 crore ,₹ 1.05 crore ,,,Supernatural Horror,1.05,10000000,10500000.0
"LSD: Love, Sex Aur Dhokha",2010,https://en.wikipedia.org/wiki/Love_Sex_Aur_Dhokha_2,Love Sex Aur Dhokha 2,Dibakar Banerjee,"Paritosh Tiwari, Bonita Rajpurohit, Abhinav Singh, Swaroopa Ghosh",,₹ 0.50 crore ,,,Is A 2024 Hindi-Language Anthology Drama,0.5,10000000,5000000.0
Idiot Box,2010,https://en.wikipedia.org/wiki/3_Idiots,3 Idiots,Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi",₹55 crore ,₹400.61–415 crore ,Reliance BIG Pictures,Vinod Chopra Films,Coming-Of-Age Satirical Comedy-Drama,400.61,10000000,4006100000.0
Hum Tum Aur Ghost,2010,https://en.wikipedia.org/wiki/Hum_Tum_Aur_Ghost,Hum Tum aur Ghost,Kabeer Kaushik,"Arshad Warsi, Dia Mirza, Boman Irani, Sandhya Mridul",₹ 21 crore ,₹ 8.01 crore ,Indian FilmsStudio 18,Shooting Star Films,0 Indian Hindi Supernatural Comedy-Drama,8.01,10000000,80100000.0
My Friend Ganesha 3,2010,https://en.wikipedia.org/wiki/My_Friend_Ganesha,My Friend Ganesha,Rajiv S Ruia,"Ahsaas Channa, Kiran Janjani, Shital Shah, Upasana Singh",,₹1.08 crore ,,Koffee Break Pictures,Ganesha Is A 2007 Indian Hindi-Language,1.08,10000000,10800000.0
Pankh,2010,https://en.wikipedia.org/wiki/Pankh,Pankh,Sudipto Chattopadhyaya,"Bipasha Basu, Maradona Rebello, Lilette Dubey, Mahesh Manjrekar, Ronit Roy, Sanjeeda Sheikh, Amit Purohit",₹55 Million INR,₹2.025 Million INR,Eros Entertainment,,Is A 2010 Bollywood,2.025,1000000,2025000.0
Tum Milo Toh Sahi,2010,https://en.wikipedia.org/wiki/Tum_Milo_Toh_Sahi,Tum Milo Toh Sahi,Kabir Sadanand,"Nana Patekar, Dimple Kapadia, Mohnish Bahl, Suniel Shetty, Vidya Malvade, Rehan Khan, Anjana Sukhani, Amit Behl",,3.52 crores ,,Fourth Wall Entertainment,Tum Milo Toh Sahi Is An Indian Drama,3.52,10000000,35200000.0
Prince,2010,https://en.wikipedia.org/wiki/Prince_(2010_film),Prince,Kookie Gulati,"Vivek Oberoi, Isaiah, Aruna Shields, Nandana Sen, Neeru Bajwa, Sanjay Kapoor, Dalip Tahil, Manish Anand, Mohit Chauhan, Mayur Puri, Rajesh Khattar",₹370 million (according to 2020 ₹10000 million),₹480 million (according to 2020 ₹100 billion),Tips IndustriesSony Pictures Networks,Tips Industries,Science Fiction Action Thriller,480.0,1000000000,480000000000.0
Paathshaala,2010,https://en.wikipedia.org/wiki/Paathshaala,Paathshaala,Milind Ukey,"Shahid Kapoor, Ayesha Takia, Nana Patekar",₹ 14 crore ,₹ 17 crore ,Eros EntertainmentPaperdoll Entertainment,,Is A 2010 Indian Hindi-Language Drama,17.0,10000000,170000000.0
Phoonk 2,2010,https://en.wikipedia.org/wiki/Phoonk_2,Phoonk 2,Milind Gadagkar,"Sudeep, Amruta Khanvilkar, Ahsaas Channa, Amit Sadh, Neeru Bajwa, Ashwini Kalsekar",₹ 8 crores ,₹ 9.24 crores ,,,Is A 2010 Indian Horror,9.24,10000000,92400000.0
Housefull,2010,https://en.wikipedia.org/wiki/Housefull_(2010_film),Housefull,Sajid Khan,"Akshay Kumar, Ritesh Deshmukh, Arjun Rampal, Lara Dutta, Deepika Padukone, Jiah Khan",₹ 30 crore ,est. ₹ 124.50 crore ,Eros International,Nadiadwala Grandson Entertainment,L Is A 2010 Indian Hindi-Language Comedy,124.5,10000000,1245000000.0
Chase,2010,https://en.wikipedia.org/wiki/Chase_(2010_film),Chase,Jag Mundhra,"Anuj Saxena, Udita Goswami, Sameer Kochhar, Aditya Raj Kapoor, Ashok Banthia, Tareena Patel, Rajesh Khattar, Shweta Menon",,est. ₹5.0 crore ,Maverick Productions,,E Is A 2010 Indian Hindi-Language Action,5.0,10000000,50000000.0
Badmaash Company,2010,https://en.wikipedia.org/wiki/Badmaash_Company,Badmaash Company,Parmeet Sethi,"Shahid Kapoor, Anushka Sharma, Vir Das, Meiyang Chang",₹ 210 million ,₹ 530 million ,Yash Raj Films,Yash Raj Films,2010 Indian Hindi-Language Crime Comedy,530.0,1000000,530000000.0
I Am Kalam,2010,https://en.wikipedia.org/wiki/I_Am_Kalam,I Am Kalam,Nila Madhab Panda,"Harsh Mayar, Gulshan Grover, Hussan Saad, Dharmveer Jakhar, Pitobash Tripathy, Beatrice Ordeix","₹ 30 million (equivalent to ₹ 62 million or US$730,000 in 2023)",₹ 60 million (equivalent to ₹ 120 million or US$1.5 million in 2023),Ultra Films,Smile Foundation,Am Is A 2011 Indian Hindi-Language Drama,60.0,1000000,60000000.0
Bumm Bumm Bole,2010,https://en.wikipedia.org/wiki/Bumm_Bumm_Bole,Bumm Bumm Bole,Priyadarshan,"Darsheel Safary, Atul Kulkarni, Rituparna Sengupta, Ziyah Vastani, Archana Suseelan",₹ 7 crore ,₹ 1.34 crore ,Percept Pictures,,Is A 2010 Hindi,1.34,10000000,13400000.0
Udaan,2010,https://en.wikipedia.org/wiki/Udaan_(2010_film),Udaan,Vikramaditya Motwane,"Rajat Barmecha, Ronit Roy, Aayan Boradia, Ram Kapoor, Manjot Singh, Anand Tiwari",₹ 50 million ,₹ 33.5 million ,,,Coming-Of-Age Drama,33.5,1000000,33500000.0
Raajneeti,2010,https://en.wikipedia.org/wiki/Raajneeti,Raajneeti,Prakash Jha,"Ajay Devgn, Nana Patekar, Ranbir Kapoor, Katrina Kaif, Arjun Rampal, Manoj Bajpayee, Sarah Thompson, Naseeruddin Shah",₹ 45 crore ,₹ 145.50 crore ,UTV Motion Pictures,,Political Thriller,145.5,10000000,1455000000.0
Kaho Na Kaho,2010,https://en.wikipedia.org/wiki/Kaho_Naa..._Pyaar_Hai,Kaho Naa ... Pyaar Hai,Rakesh Roshan,"Hrithik Roshan, Ameesha Patel, Anupam Kher, Dalip Tahil, Mohnish Bahl",₹10 crore ,"₹80
crore ",Yash Raj FilmsEros International(Overseas),Filmkraft Productions Pvt. Ltd.,Musical Romantic Thriller,80.0,10000000,800000000.0
Ek Second... Jo Zindagi Badal De...,2010,https://en.wikipedia.org/wiki/Ek_Second..._Jo_Zindagi_Badal_De?,Ek Second... Jo Zindagi Badal De...,Partho Ghosh,"Jackie Shroff, Manisha Koirala, Nikita Anand, Moammar Rana, Rozza Catalona",₹ 2.75 crore ,₹ 44 lakh ,,,Is A 2010 Bollywood Drama,44.0,100000,4400000.0
Raavan,2010,https://en.wikipedia.org/wiki/Raavan_(2010_film),Raavan,Mani Ratnam,"Abhishek Bachchan, Aishwarya Rai Bachchan, Vikram, Govinda, Nikhil Dwivedi, Ravi Kishan, Priyamani",₹ 55 crore (US$6.5 million) ,₹ 49.5 crore (US$5.9 million) ,Reliance BIG Pictures,Madras Talkies,0 Indian Hindi-Language Action-Adventure,49.5,10000000,495000000.0
Krantiveer: The Revolution,2010,https://en.wikipedia.org/wiki/Krantiveer,Krantiveer,Mehul Kumar,"Nana Patekar, Dimple Kapadia, Atul Agnihotri, Mamta Kulkarni",₹ 30 million ,₹ 206.7 million ,,Mehul Movies Pvt Ltd,1994 Indian Hindi-Language Action Crime,206.7,1000000,206700000.0
I Hate Luv Storys,2010,https://en.wikipedia.org/wiki/I_Hate_Luv_Storys,I Hate Luv Storys,Punit Malhotra,"Imran Khan, Sonam Kapoor",₹ 25 crore ,₹ 72.52 crore ,UTV Motion Pictures,,10 Indian Hindi-Language Romantic Comedy,72.52,10000000,725200000.0
Bhediya,2022,https://en.wikipedia.org/wiki/Bhediya,Bhediya,Amar Kaushik,"Varun Dhawan, Kriti Sanon, Abhishek Banerjee, Deepak Dobriyal, Paalin Kabak",est. ₹60 crore ,est. ₹90 crore ,Pen Marudhar,,022 Indian Hindi-Language  Comedy Horror,90.0,10000000,900000000.0
Kurukshetra,2022,https://en.wikipedia.org/wiki/Kurukshetra_(2000_film),Kurukshetra,Mahesh Manjrekar,"Sanjay Dutt, Mahima Chaudhry, Om Puri, Mukesh Rishi, Shivaji Satam",₹87.5 million ,₹198.7 million ,,,Urukshetra Is A 2000 Indian Action Drama,198.7,1000000,198700000.0
Guilt 2,2022,https://en.wikipedia.org/wiki/Heropanti_2,Heropanti 2,Ahmed Khan,"Tiger Shroff, Nawazuddin Siddiqui, Tara Sutaria",₹70 crore ,est. ₹35.13 crore ,AA Films,Nadiadwala Grandson Entertainment,Is A 2022 Indian Hindi-Language Action,35.13,10000000,351300000.0
Vadh,2022,https://en.wikipedia.org/wiki/Vadh_(2022_film),Vadh,Jaspal Singh SandhuRajiv Barnwal,"Sanjay Mishra, Neena Gupta, Manav Vij, Saurabh Sachdeva",,est. ₹60 lakh (lifetime) ,Yash Raj Films,,Is A 2022 Indian Hindi-Language Thriller,60.0,100000,6000000.0
Shadow Assassins,2022,https://en.wikipedia.org/wiki/Shadow_Assassins,Shadow Assassins,Nilaanjan Reeta Datta,"Anurag Sinha, Mishti Chakraborty, Saharsh Kumar Shukla, Hemant Kher, Rakesh Chaturvedi",,₹1.5 crore ,Finchbill Motion Pictures,,Is A 2022 Indian,1.5,10000000,15000000.0
Cirkus,2022,https://en.wikipedia.org/wiki/Cirkus_(film),Cirkus,Rohit Shetty,"Ranveer Singh, Pooja Hegde, Jacqueline Fernandez, Varun Sharma",₹150 crore ,est. ₹61.47 crore ,Reliance Entertainment,,Period Comedy-Drama,61.47,10000000,614700000.0
Haunted Evil Dead,2022,https://en.wikipedia.org/wiki/Dobaara:_See_Your_Evil,Dobaara: See Your Evil,Prawaal Raman,"Huma Qureshi, Saqib Saleem, Lisa Ray, Adil Hussain, Rhea Chakraborty",₹ 10 cr,₹ 1.36 cr,,,Is A 2017 Indian Supernatural Horror,1.36,10000000,13600000.0
Chaalbaaz in London,2022,https://en.wikipedia.org/wiki/ChaalBaaz,ChaalBaaz,Pankaj Parashar,"Sridevi, Sunny Deol, Rajinikanth",,est. ₹ 15 crore (equivalent to ₹ 160 crore or US$19 million in 2023) ,Lakshmi Productions,,S A 1989 Indian Hindi-Language Slapstick,15.0,10000000,150000000.0
Second Mother,2022,https://en.wikipedia.org/wiki/HIT:_The_Second_Case,HIT: The Second Case,Sailesh Kolanu,"Adivi Sesh, Meenakshi Chaudhary",₹ 15 crore ,₹ 42.5 crore ,,Wall Poster Cinema,22 Indian Telugu-Language Crime Thriller,42.5,10000000,425000000.0
Kanwar,2023,https://en.wikipedia.org/wiki/Deewana_(1992_film),Deewana,Raj Kanwar,"Rishi Kapoor, Divya Bharti, Shah Rukh Khan",,₹ 180 million (equivalent to ₹ 1.4 billion or US$16 million in 2023) ,Mayank Arts,Bhagwan Chitra Mandir,Romantic Action Drama,180.0,1000000000,180000000000.0
Kuttey,2023,https://en.wikipedia.org/wiki/Kuttey,Kuttey,Aasmaan Bhardwaj,"Tabu, Arjun Kapoor, Naseeruddin Shah, Radhika Madan, Konkona Sen Sharma, Kumud Mishra",est. ₹80 crore ,est. ₹4.65 crore ,Yash Raj Films,,23 Indian Hindi-Language Action Thriller,4.65,10000000,46500000.0
Pathaan,2023,https://en.wikipedia.org/wiki/Pathaan_(film),Pathaan,Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia, Ashutosh Rana",₹250 crore ,"est. ₹1,050.50 crore ",Yash Raj Films,Yash Raj Films,23 Indian Hindi-Language Action Thriller,1.0,10000000,10000000.0
Joram,2023,https://en.wikipedia.org/wiki/Joram_(film),Joram,Devashish Makhija,"Manoj Bajpayee, Mohammed Zeeshan Ayyub",,₹0.40 crore ,,,Is A 2023 Indian Hindi-Language Thriller,0.4,10000000,4000000.0
The Check Post,2023,https://en.wikipedia.org/wiki/Check_(film),Check,Chandra Sekhar Yeleti,"Nithiin, Rakul Preet Singh, Priya Prakash Varrier, Simran Choudhary",,est. ₹ 14 crore (3 days) ,,Bhavya Creations,021 Indian  Telugu-Language Prison Drama,14.0,10000000,140000000.0
All India Rank,2023,https://en.wikipedia.org/wiki/All_India_Rank,All India Rank,Varun Grover,"Bodhisattva Sharma, Shashi Bhushan, Samta Sudiksha, Geeta Agarwal, Sheeba Chaddha",,₹0.35 crores ,Kaarmic Films,Matchbox Shots,Coming Of Age Comedy Drama,0.35,10000000,3500000.0
Shehzada,2023,https://en.wikipedia.org/wiki/Shehzada_(2023_film),Shehzada,Rohit Dhawan,"Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala, Ronit Roy",₹65 crore ,est. ₹47.43 crore ,AA Films,,Is A 2023 Indian Hindi-Language Action,47.43,10000000,474300000.0
Selfiee,2023,https://en.wikipedia.org/wiki/Selfiee,Selfiee,Raj Mehta,"Akshay Kumar, Emraan Hashmi",est. ₹100 crore ,₹23.63 crore ,Star Studios,,2023 Indian Hindi-Language Comedy-Drama,23.63,10000000,236300000.0
Tu Jhoothi Main Makkaar,2023,https://en.wikipedia.org/wiki/Tu_Jhoothi_Main_Makkaar,Tu Jhoothi Main Makkaar,Luv Ranjan,"Ranbir Kapoor, Shraddha Kapoor",est. ₹200 crore ,₹220.10 crore ,Yash Raj Films,,23 Indian Hindi-Language Romantic Comedy,220.1,10000000,2201000000.0
Mrs. Chatterjee vs. Norway,2023,https://en.wikipedia.org/wiki/Mrs._Chatterjee_vs_Norway,Mrs. Chatterjee vs Norway,Ashima Chibber,"Rani Mukerji, Anirban Bhattacharya, Neena Gupta, Jim Sarbh",₹ 29 crore ,₹ 36.53 crore ,Zee Studios,,A 2023 Indian Hindi-Language Legal Drama,36.53,10000000,365300000.0
Bheed,2023,https://en.wikipedia.org/wiki/Bheed,Bheed,Anubhav Sinha,"Rajkummar Rao, Bhumi Pednekar, Dia Mirza, Ashutosh Rana, Pankaj Kapur, Kritika Kamra",,₹3.33 crore ,AA Films(India)Reliance Entertainment[1](Overseas),Benaras Media Works,2023 Indian Hindi-Language Social Drama,3.33,10000000,33300000.0
Bholaa,2023,https://en.wikipedia.org/wiki/Bholaa,Bholaa,Ajay Devgn,"Ajay Devgn, Tabu, Sanjay Mishra, Deepak Dobriyal, Gajraj Rao, Vineet Kumar",₹100 crore ,est. ₹111.64 crore ,Panorama StudiosPVR Pictures(Worldwide),,23 Indian Hindi-Language Action Thriller,111.64,10000000,1116400000.0
Gumraah,2023,https://en.wikipedia.org/wiki/Gumraah_(2023_film),Gumraah,Vardhan Ketkar,"Aditya Roy Kapur, Mrunal Thakur, Ronit Roy",est. ₹25 crore ,est. ₹10.68 crores ,Pen Marudhar Entertainment,T-Series Films,23 Indian Hindi-Language Action Thriller,10.68,10000000,106800000.0
The Kerala Story,2023,https://en.wikipedia.org/wiki/The_Kerala_Story,The Kerala Story,Sudipto Sen,"Adah Sharma, Yogita Bihani, Sonia Balani, Siddhi Idnani",₹ 15–20 crore ,est. ₹303.97 crore ,,Sunshine Pictures[1],Ry Is A 2023 Indian Hindi-Language Drama,303.97,10000000,3039700000.0
Jogira Sara Ra Ra,2023,https://en.wikipedia.org/wiki/Jogira_Sara_Ra_Ra,Jogira Sara Ra Ra,Kushan Nandy,"Nawazuddin Siddiqui, Neha Sharma, Zarina Wahab",est. ₹ 25 crore,est. ₹ 1.75 crore,AA Films,Touchwood Multimedia Creations,23 Indian Hindi-Language Romantic Comedy,1.75,10000000,17500000.0
Zara Hatke Zara Bachke,2023,https://en.wikipedia.org/wiki/Zara_Hatke_Zara_Bachke,Zara Hatke Zara Bachke,Laxman Utekar,"Vicky Kaushal, Sara Ali Khan",₹40 crore ,est. ₹115.89 crore ,Pen Marudhar Cine Entertainment[1],,Is A 2023 Hindi-Language Romantic Comedy,115.89,10000000,1158900000.0
Arjun,1985,https://en.wikipedia.org/wiki/Arjun_(1985_film),Arjun,Rahul Rawail,"Sunny Deol, Dimple Kapadia, Raj Kiran, Prem Chopra, Anupam Kher, Paresh Rawal",₹ 1.5 crore ,₹ 5.5 crore ,Eros Entertainment,Cineyug Films,N Is A 1985 Indian Hindi-Language Action,5.5,10000000,55000000.0
Yudh,1985,https://en.wikipedia.org/wiki/Yudh_(film),Yudh,Rajiv Rai,"Jackie Shroff, Anil Kapoor, Tina Munim",,₹ 4.3cr.,Trimurti Films,,85 Indian Hindi-Language Action Thriller,4.3,10000000,43000000.0
Ram Teri Ganga Maili,1985,https://en.wikipedia.org/wiki/Ram_Teri_Ganga_Maili,Ram Teri Ganga Maili,Raj Kapoor,"Rajiv Kapoor, Mandakini",₹ 1.44 crore,est. ₹ 19 crores (equivalent to ₹326 crore (US$46 million) in 2016),R. K. Films,,985 Indian Hindi-Language Romantic Drama,19.0,10000000,190000000.0
Durgaa,1985,https://en.wikipedia.org/wiki/Durgaa,Durgaa,Shibu Mitra,"Ashok Kumar, Hema Malini, Rajesh Khanna, Raj Babbar, Aruna Irani, Pran",,"2,00,00,000",Kapur Films,,Durgaa Is A 1985 Indian Hindi-Language,2.0,1,2.0
Geraftaar,1985,https://en.wikipedia.org/wiki/Geraftaar,Geraftaar,Prayag Raaj,"Amitabh Bachchan, Kamal Haasan, Rajinikanth, Madhavi, Poonam Dhillon",,est. ₹5 crore ,,Raam Raj Kalamandir,1985 Indian Hindi-Language Action Drama,5.0,10000000,50000000.0
Teri Meherbaniyan,1985,https://en.wikipedia.org/wiki/Teri_Meherbaniyan,Teri Meherbaniyan,Vijay Reddy,"Brownie, Amrish Puri, Jackie Shroff, Poonam Dhillon, Raj Kiran, Sadashiv Amrapurkar, Asrani, Swapna",,₹ 4 cr,,,Teri Meherbaniyan Is A 1985 Indian Hindi,4.0,10000000,40000000.0
Mard,1985,https://en.wikipedia.org/wiki/Mard_(1985_film),Mard,Manmohan Desai,"Amitabh Bachchan, Amrita Singh, Nirupa Roy, Dara Singh, Prem Chopra",₹ 28 million ,₹ 162 million ,,,Is A 1985 Indian Hindi-Language Action,162.0,1000000,162000000.0
Golmaal Fun Unlimited,2006,https://en.wikipedia.org/wiki/Golmaal:_Fun_Unlimited,Golmaal: Fun Unlimited,Rohit Shetty,"Ajay Devgn, Tusshar Kapoor, Arshad Warsi, Sharman Joshi, Rimi Sen, Paresh Rawal",₹15 crore,₹41.25 crore ,Eros International,,Coming-Of-Age Buddy Comedy,41.25,10000000,412500000.0
The Killer,2006,https://en.wikipedia.org/wiki/The_Killer_(2006_film),The Killer,Hasnain HyderabadwalaRaksha Mistry,"Emraan Hashmi, Irrfan Khan, Nisha Kothari",₹ 72 million,₹ 65 million,Vishesh Films,,06 Indian Hindi-Language Action Thriller,65.0,1000000,65000000.0
