title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre,box_value,multiplier,bo_num
Aunty No. 1,1998,https://en.wikipedia.org/wiki/Aunty_No._1,Aunty No. 1,Kirti Kumar,"Govinda, Raveena Tandon, Kader Khan, Harish Kumar",₹ 4 crore (equivalent to ₹ 18 crore or US$2.1 million in 2023) ,₹ 10 crore (equivalent to ₹ 45 crore or US$5.3 million in 2023) ,,Lata Films,1998 Indian Hindi-Language Action Comedy,10.0,10000000,100000000.0
Duplicate,1998,https://en.wikipedia.org/wiki/Duplicate_(1998_film),Duplicate,Mahesh Bhatt,"Shah Rukh Khan, Juhi Chawla, Sonali Bendre",₹ 9.5 crore (equivalent to ₹ 43 crore or US$5.1 million in 2023) ,₹ 21.49 crore (equivalent to ₹ 97 crore or US$11 million in 2023) ,Eros International,Dharma Productions,Crime Action Comedy,21.49,10000000,214900000.0
Dushman,1998,https://en.wikipedia.org/wiki/Dushman_(1998_film),Dushman,Tanuja Chandra,"Sanjay Dutt, Kajol, Ashutosh Rana",₹ 4 crore ,₹ 10.16 crore ,Eros Entertainment,Pooja Bhatt Productions,Psychological Thriller,10.16,10000000,101600000.0
Achanak,1998,https://en.wikipedia.org/wiki/Achanak_(1998_film),Achanak,Naresh Malhotra,"Govinda, Manisha Koirala, Farha Naaz, Rahul Roy",₹ 4.25 crore ,₹ 7.26 crore ,,Film Folks,Is A 1998 Indian Action Thriller,7.26,10000000,72600000.0
Ghulam,1998,https://en.wikipedia.org/wiki/Ghulam_(film),Ghulam,Vikram Bhatt,"Aamir Khan, Rani Mukerji, Ashutosh Rana, Deepak Tijori, Rajit Kapoor, Akshay Anand",₹72 million ,₹242 million ,Vishesh Films,,Is A 1998 Indian Hindi-Language Action,242.0,1000000,242000000.0
Major Saab,1998,https://en.wikipedia.org/wiki/Major_Saab,Major Saab,Tinnu Anand,"Amitabh Bachchan, Ajay Devgn, Sonali Bendre, Nafisa Ali",,₹18 crore ,,Amitabh Bachchan Film Corporation,Is A 1998 Indian Hindi-Language Action,18.0,10000000,180000000.0
Satya,1998,https://en.wikipedia.org/wiki/Satya_(1998_film),Satya,Ram Gopal Varma,"J. D. Chakravarthy, Urmila Matondkar, Manoj Bajpayee, Paresh Rawal, Aditya Srivastava, Saurabh Shukla",₹2.5 crore ,est. ₹15 crore ,,,Is A 1998 Indian Hindi-Language Crime,15.0,10000000,150000000.0
Dulhe Raja,1998,https://en.wikipedia.org/wiki/Dulhe_Raja,Dulhe Raja,Harmesh Malhotra,"Govinda, Raveena Tandon, Kader Khan, Prem Chopra, Johnny Lever",,₹22.17 crore (equivalent to ₹237 crore or US$29 million in 2023) ,,,98 Indian Hindi-Language Romantic Comedy,22.17,10000000,221700000.0
Pyaar to Hona Hi Tha,1998,https://en.wikipedia.org/wiki/Pyaar_To_Hona_Hi_Tha,Pyaar To Hona Hi Tha,Anees Bazmee,"Ajay Devgn, Kajol",₹ 7.50 crore ,₹ 38.27 crore ,Videosound,Baba Films,98 Indian Hindi-Language Romantic Comedy,38.27,10000000,382700000.0
Kareeb,1998,https://en.wikipedia.org/wiki/Kareeb,Kareeb,Vidhu Vinod Chopra,"Bobby Deol, Shabana Raza, Moushmi Chatterji",₹ 6.50 crore ,₹ 12.93 crore ,Tips Industries,,Is A 1998 Indian Hindi-Language Romance,12.93,10000000,129300000.0
Angaaray,1998,https://en.wikipedia.org/wiki/Angaaray_(1998_film),Angaaray,Mahesh Bhatt,"Akshay Kumar, Nagarjuna, Pooja Bhatt, Sonali Bendre, Gulshan Grover",₹3.50 crore ,₹6.01 crore ( India Nett) ,,Rose Movies Combines,Y Is A 1998 Indian Hindi-Language Action,6.01,10000000,60100000.0
Metro.... In Dino,2025,https://en.wikipedia.org/wiki/Metro..._In_Dino,Metro... In Dino,Anurag Basu,"Anupam Kher, Neena Gupta, Konkona Sen Sharma, Pankaj Tripathi, Aditya Roy Kapur, Sara Ali Khan, Ali Fazal, Fatima Sana Shaikh",₹47 crores ,est. ₹56.86 crore ,AA Films,,Musical Romantic Drama,56.86,10000000,568600000.0
Maalik,2025,https://en.wikipedia.org/wiki/Maalik_(2025_film),Maalik,Pulkit,"Rajkummar Rao, Prosenjit Chatterjee, Manushi Chhillar",,est. ₹22.21 crore ,Pen Marudhar,,25 Indian Hindi-Language Action Thriller,22.21,10000000,222100000.0
Aankhon Ki Gustaakhiyan,2025,https://en.wikipedia.org/wiki/Aankhon_Ki_Gustaakhiyan,Aankhon Ki Gustaakhiyan,Santosh Singh,"Vikrant Massey, Shanaya Kapoor",,est. ₹2.55 crore ,Zee Studios,,025 Indian Hindi-Language Romantic Drama,2.55,10000000,25500000.0
Cash,2007,https://en.wikipedia.org/wiki/Cash_(2007_film),Cash,Anubhav Sinha,"Ajay Devgn, Sunil Shetty, Esha Deol, Riteish Deshmukh, Zayed Khan, Shamita Shetty, Dia Mirza",₹32 crore ,₹29.30 crore ,Adlabs,,Sh Is A 2007 Indian Hindi-Language Heist,29.3,10000000,293000000.0
Chak De! India,2007,https://en.wikipedia.org/wiki/Chak_De!_India,Chak De! India,Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Shilpa Shukla, Sagarika Ghatge, Chitrashi Rawat, Anjan Srivastav, Vibha Chibber",₹ 20 crore ,₹ 109 crore ,Yash Raj Films,Yash Raj Films,Is A 2007 Indian Sports Drama,109.0,10000000,1090000000.0
Heyy Babyy,2007,https://en.wikipedia.org/wiki/Heyy_Babyy,Heyy Babyy,Sajid Khan,"Akshay Kumar, Fardeen Khan, Riteish Deshmukh, Vidya Balan, Boman Irani, Juanna Sanghvi",₹ 36 crore,₹ 83 crore ,Shree Ashtavinayak Cine Vision[1]Eros International,Nadiadwala Grandson Entertainment,Y Is A 2007 Indian Hindi-Language Comedy,83.0,10000000,830000000.0
Ram Gopal Varma Ki Aag,2007,https://en.wikipedia.org/wiki/Aag_(2007_film),Ram Gopal Varma Ki Aag,Ram Gopal Varma,"Mohanlal, Amitabh Bachchan, Ajay Devgn, Sushmita Sen",₹210 million,₹227.3 million,Adlabs,RGV Film Factory,Is A 2007 Indian Hindi-Language Action,227.3,1000000,227300000.0
Dhamaal,2007,https://en.wikipedia.org/wiki/Dhamaal,Dhamaal,Indra Kumar,"Sanjay Dutt, Ritesh Deshmukh, Arshad Warsi, Aashish Chaudhary, Jaaved Jaaferi, Asrani, Sanjay Mishra, Vijay Raaz, Manoj Pahwa, Tiku Talsania, Prem Chopra",,est. ₹ 50.73 crore ,Shemaroo Entertainment,Maruti International,Is A 2007 Indian Hindi-Language Comedy,50.73,10000000,507300000.0
Darling,2007,https://en.wikipedia.org/wiki/Darling_(2007_Indian_film),Darling,Ram Gopal Varma,"Fardeen Khan, Esha Deol, Isha Koppikar",₹6.5 crore ,₹4.75 crore ,Balaji Motion Pictures(India)Eros International(Overseas),T-Series Films,G Is A 2007 Indian Hindi-Language Horror,4.75,10000000,47500000.0
