title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Siya,2022,https://en.wikipedia.org/wiki/Siya_(film),Siya,Manish Mundra,"Pooja Pandey, Vineet Kumar Singh, Ambrish Kumar Saxena, Rudra Chaudhary",,,ZEE5,,A 2022 Indian Hindi-Language Crime Drama
Murder at Koh E Fiza,2022,https://en.wikipedia.org/wiki/Murder_at_Koh_e_Fiza,Murder at Koh E Fiza,Divaker Naik,"Shreya Narayan, Amitryaan, Sunny Chouhan",,,,Jai Viratra Entertainment Limited,R At Koh E Fiza Is A 2022 Hindi Language
Three of Us,2022,https://en.wikipedia.org/wiki/Three_of_Us_(film),Three of Us,Avinash Arun,"Shefali Shah, Jaideep Ahlawat, Swanand Kirkire",,,Karmic Films,,Us Is A 2022 Indian Hindi-Language Drama
Bhediya,2022,https://en.wikipedia.org/wiki/Bhediya,Bhediya,Amar Kaushik,"Varun Dhawan, Kriti Sanon, Abhishek Banerjee, Deepak Dobriyal, Paalin Kabak",est. ₹60 crore ,est. ₹90 crore ,Pen Marudhar,,022 Indian Hindi-Language  Comedy Horror
Qala,2022,https://en.wikipedia.org/wiki/Qala_(film),Qala,Anvita Dutt,"Tripti Dimri, Swastika Mukherjee, Babil Khan",,,Netflix,Clean Slate Filmz,Period Psychological Drama
Amar Colony,2022,https://en.wikipedia.org/wiki/Siddharth_Chauhan,Siddharth Chauhan,,,,,,,His
Tera Kya Hoga Lovely,2022,https://en.wikipedia.org/wiki/Karan_Kundrra,Karan Kundrra,,,,,,,O Works In Hindi-Language Television And
Kora Kagazz,2022,https://en.wikipedia.org/wiki/Swastika_Mukherjee,Swastika Mukherjee,,,,,,,Who Mainly Appears In Bengali And Hindi
An Action Hero,2022,https://en.wikipedia.org/wiki/An_Action_Hero,An Action Hero,Anirudh Iyer,"Ayushmann Khurrana, Jaideep Ahlawat",,,AA Films,,22 Indian Hindi-Language Action Thriller
Freddy,2022,https://en.wikipedia.org/wiki/Freddy_(film),Freddy,Shashanka Ghosh,"Kartik Aaryan, Alaya F",,,Disney+ Hotstar,,Psychological Thriller
Kurukshetra,2022,https://en.wikipedia.org/wiki/Kurukshetra_(2000_film),Kurukshetra,Mahesh Manjrekar,"Sanjay Dutt, Mahima Chaudhry, Om Puri, Mukesh Rishi, Shivaji Satam",₹87.5 million ,₹198.7 million ,,,Urukshetra Is A 2000 Indian Action Drama
Guilt 2,2022,https://en.wikipedia.org/wiki/Heropanti_2,Heropanti 2,Ahmed Khan,"Tiger Shroff, Nawazuddin Siddiqui, Tara Sutaria",₹70 crore ,est. ₹35.13 crore ,AA Films,Nadiadwala Grandson Entertainment,Is A 2022 Indian Hindi-Language Action
Dangerous,2022,https://en.wikipedia.org/wiki/Dangerous_(2022_film),Dangerous,Ram Gopal Varma,"Naina Ganguly, Apsara Rani, Rajpal Yadav",,,Bheemavaram TalkiesRimpy Arts,,Angerous Is A 2022 Indian Hindi-Language
Salaam Venky,2022,https://en.wikipedia.org/wiki/Salaam_Venky,Salaam Venky,Revathi,"Kajol, Vishal Jethwa",,,Sony Pictures Releasing International,,Slice-Of-Life Drama
