title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Jhalki,2019,https://en.wikipedia.org/wiki/Jhalki,Jhalki,Brahmanand S Siingh,"Boman Irani, Tannishtha Chatterjee, Divya Dutta, Sanjay Suri, Akhilendra Mishra, Joy Sengupta, Govind Namdev, Bachan Pachehra, Aarti Jha, Goraksha Sakpal",,,Panorama Studios,Mobius Films,Is A 2019 Indian Hindi-Language Drama
Ekram,2019,https://en.wikipedia.org/wiki/Ekram_(film),Ekram,Saheem Khan,"Saheem Khan, Sakshi Lathaik",,,,,Is An Indian Bollywood Drama
War,2019,https://en.wikipedia.org/wiki/War_(2019_film),War,Siddharth Anand,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana",₹170 crore ,₹475.62 crore ,Yash Raj Films,Yash Raj Films,19 Indian Hindi-Language Action Thriller
Axone,2019,https://en.wikipedia.org/wiki/Axone_(film),Axone,Nicholas Kharkongor,"Sayani Gupta, Vinay Pathak, Dolly Ahluwalia, Lin Laishram, Adil Hussain",,,Netflix,,Axone Is A 2019 Indian Comedy-Drama
Roam Rome Mein,2019,https://en.wikipedia.org/wiki/Roam_Rome_Mein,Roam Rome Mein,Tannishtha Chatterjee,"Nawazuddin Siddiqui, Tannishtha Chatterjee, Vineet Kumar, Urbano Barberini, Pamela Villoresi",,,,,Ein Is A 2019 Indian Psychological Drama
Aadhaar,2019,https://en.wikipedia.org/wiki/Aadhaar_(2019_film),Aadhaar,Suman Ghosh,"Vineet Kumar Singh, Raghubir Yadav, Saurabh Shukla, Sanjay Mishra",,,UFO Moviez,,Is A 2019 Indian Hindi-Language Dramedy
99 Songs,2019,https://en.wikipedia.org/wiki/99_Songs,99 Songs,Vishwesh Krishnamoorthy,"Ehan Bhat, Edilsy Vargas",,,Jio Studios,,21 Indian Hindi-Language Musical Romance
Brainwashed,2019,https://en.wikipedia.org/wiki/Bodhai_Yeri_Budhi_Maari,Bodhai Yeri Budhi Maari,Chandru KR,"Dheeraj, Pradaini Surva, Radha Ravi, Mime Gopi, Charle, Dushara Vijayan",,,,Rise East Entertainments Pvt Ltd,Is A 2019 Indian Tamil Action Thriller
Saand Ki Aankh,2019,https://en.wikipedia.org/wiki/Saand_Ki_Aankh,Saand Ki Aankh,Tushar Hiranandani,"Taapsee Pannu, Bhumi Pednekar, Prakash Jha, Vineet Kumar Singh",,est. ₹ 30.7 crore ,Reliance EntertainmentPVR Pictures,,Is A 2019 Indian Biographical Drama
Ramprasad Ki Tehrvi,2019,https://en.wikipedia.org/wiki/Ramprasad_Ki_Tehrvi,Ramprasad Ki Tehrvi,Seema Pahwa,"Naseeruddin Shah, Vinay Pathak, Vikrant Massey, Konkona Sen Sharma, Vineet Kumar, Manoj Pahwa, Parambrata Chattopadhyay, Supriya Pathak, Deepika Amin, Ninad Kamat",,0.27 crore ,UFO Moviez[2],,2019 Indian Hindi-Language Family Drama
Tragic Fathers Day,2019,https://en.wikipedia.org/wiki/Brother's_Day,Brother's Day,Kalabhavan Shajohn,"Prithviraj Sukumaran, Prasanna, Aishwarya Lekshmi",,,Magic Frames Release,Magic Frames,Malayalam-Language Action Thriller
Laal Kaptaan,2019,https://en.wikipedia.org/wiki/Laal_Kaptaan,Laal Kaptaan,Navdeep Singh,"Saif Ali Khan, Manav Vij, Zoya Hussain, Sonakshi Sinha",est. ₹30-40 crore,est. ₹2.36 crore ,Eros International,,Epic Western Action Drama
