title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Mirch Masala,1986,https://en.wikipedia.org/wiki/Mirch_Masala,Mirch Masala,Ketan Mehta,"Naseeruddin Shah, Smita Patil, Om Puri, Suresh Oberoi, Deepti Naval, Dina Pathak, Mohan Gokhale, Paresh Rawal",,,,,Is A 1987 Hindi Psychological Thriller
Aakhree Raasta,1986,https://en.wikipedia.org/wiki/Aakhree_Raasta,Aakhree Raasta,K. Bhagyaraj,"Amitabh Bachchan, Jaya Prada, Sridevi, Anupam Kher",,,Lakshmi Productions(Madras)(P).LTD,Lakshmi Productions(Madras)(P).LTD,A 1986 Indian Hindi-Language Crime Drama
Maa Beti,1986,https://en.wikipedia.org/wiki/Maa_Beti,Maa Beti,Kalpataru,"Shashi Kapoor, Sharmila Tagore, Tanuja, Meenakshi Sheshadri, Pran, Kader Khan",,,,,Is A 1986 Indian Family Drama
Janbaaz,1986,https://en.wikipedia.org/wiki/Janbaaz,Janbaaz,Feroz Khan,"Feroz Khan, Anil Kapoor, Dimple Kapadia, Sridevi, Shakti Kapoor",₹ 17 million ,₹ 65 million ,,,Is A 1986 Indian Action Drama
Muddat,1986,https://en.wikipedia.org/wiki/Muddat,"Muddat
Move",K. Bapaiah,"Mithun Chakraborty, Jaya Prada, Padmini Kolhapure",₹ 1.48 cr,₹ 15 cr ,A. G. Films,A. G. Films,986 Indian Hindi-Language Thriller Drama
Amrit,1986,https://en.wikipedia.org/wiki/Amrit_(1986_film),Amrit,Mohan Kumar,"Rajesh Khanna, Smita Patil, Aruna Irani, Shafi Inamdar, Satish Shah, Zarina Wahab, Mukri, Sujit Kumar, Daljit Kaur",,,,Emkay Films,Amrit  Is A 1986 Indian Hindi Drama
Zindagani,1986,https://en.wikipedia.org/wiki/Zindagani,Zindagani,Prabhat Roy,"Raakhee, Mithun Chakraborty, Rati Agnihotri",,,,,1986 Indian Hindi-Language Action Drama
Pyar Kiya Hai Pyar Karenge,1986,https://en.wikipedia.org/wiki/Pyar_Kiya_Hai_Pyar_Karenge,Pyar Kiya Hai Pyar Karenge,Vijay Reddy,"Anil Kapoor, Padmini Kolhapure, Ashok Kumar",,,,,Hai Pyar Karenge Is A 1986 Indian Hindi
Ankush,1986,https://en.wikipedia.org/wiki/Ankush_(1986_film),Ankush,N. Chandra,"Nana Patekar, Madan Jain, Nisha Singh, Raja Bundela, Arjun Chakraborty",₹12 lakh,₹95 lakh,,,Ankush Is A 1986 Hindi Action Drama
Nasihat,1986,https://en.wikipedia.org/wiki/Nasihat,Nasihat,Aravind Sen,"Rajesh Khanna, Shabana Azmi, Mithun Chakraborty, Deepti Naval",,,,Lalit Kala Mandir,Nasihat Is A 1986 Hindi
Allah Rakha,1986,https://en.wikipedia.org/wiki/Allah_Rakha_(film),Allah-Rakha,Ketan Desai,"Jackie Shroff, Dimple Kapadia, Meenakshi Sheshadri",,,Aasia Films,M.K.D Films Combines,Is A 1986 Indian Hindi-Language  Masala
