title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Daman: A Victim of Marital Violence,2001,https://en.wikipedia.org/wiki/Daman_(2001_film),Daman: A Victim of Marital Violence,Kalpana Lajmi,"Raveena Tandon, Sayaji Shinde, Sanjay Suri, Raima Sen, Bharti Jaffrey, Shaan",,,National Film Development Corporation of IndiaMinistry of Health and Family Welfare,,Ce Is A 2001 Indian Hindi-Language Drama
Ek Rishtaa: The Bond of Love,2001,https://en.wikipedia.org/wiki/Ek_Rishtaa:_The_Bond_of_Love,Ek Rishtaa: The Bond of Love,Suneel Darshan,"Amitabh Bachchan, Akshay Kumar, Rakhee Gulzar, Juhi Chawla, Karishma Kapoor, Mohnish Bahl",₹15 crore ,₹36.5 crore ,,Shree Krishna International,Is A 2001 Indian Hindi-Language Drama
Mujhe Kucch Kehna Hai,2001,https://en.wikipedia.org/wiki/Mujhe_Kucch_Kehna_Hai,Mujhe Kucch Kehna Hai,Satish Kaushik,"Tusshar Kapoor, Kareena Kapoor, Rinke Khanna",₹70 million ,₹309.9 million ,Pooja Entertainment,,Is A 2001 Indian Hindi-Language Romance
Paagalpan,2001,https://en.wikipedia.org/wiki/Paagalpan,Pagalpan,Joy Augustine,"Karan Nath, Aarti Agarwal, Bharat Dabholkar, Joy Fernandes",,,,,001 Indian Hindi Language Action-Romance
Lagaan: Once Upon a Time in India,2001,https://en.wikipedia.org/wiki/Lagaan,Lagaan,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne",₹ 250 million ,est. ₹ 659.7 million ( see below ),SET Pictures[1],Aamir Khan Productions,Sports Drama
Gadar: Ek Prem Katha,2001,https://en.wikipedia.org/wiki/Gadar:_Ek_Prem_Katha,Gadar: Ek Prem Katha,Anil Sharma,"Sunny Deol, Ameesha Patel, Amrish Puri, Vivek Shauq, Lillete Dubey",₹18.5 crore ,₹133 crore ,Zee Telefilms,Zee Telefilms,Romantic Period Action Drama
Mujhe Meri Biwi Se Bachaao,2001,https://en.wikipedia.org/wiki/Mujhe_Meri_Biwi_Se_Bachaao,Mujhe Meri Biwi Se Bachaao,Harry Baweja,"Rekha, Naseeruddin Shah, Arshad Warsi",,,,,Is A 2001 Indian
Yaadein...,2001,https://en.wikipedia.org/wiki/Yaadein_(2001_film),Yaadein,Subhash Ghai,"Jackie Shroff, Hrithik Roshan, Kareena Kapoor, Amrish Puri",est. ₹20 crore ,est. ₹34.59 crore ,Mukta Arts,,2001 Indian Hindi-Language Musical Drama
Love Ke Liye Kuch Bhi Karega,2001,https://en.wikipedia.org/wiki/Love_Ke_Liye_Kuch_Bhi_Karega,Love Ke Liye Kuch Bhi Karega,Eeshwar Nivas,"Saif Ali Khan, Fardeen Khan, Aftab Shivdasani, Sonali Bendre, Twinkle Khanna, Johnny Lever",est. ₹57.5 million ,est. ₹103.3 million ,Dream Merchants Enterprise,,2001 Indian Hindi-Language Crime Comedy
Dattak,2001,https://en.wikipedia.org/wiki/Dattak,Dattak,Gul Bahar Singh,"Rajit Kapoor, Anjan Srivastav, A.K. Hangal",,,,,Is A 2001 Hindi
Bas Itna Sa Khwaab Hai...,2001,https://en.wikipedia.org/wiki/Bas_Itna_Sa_Khwaab_Hai,Bas Itna Sa Khwaab Hai,Goldie Behl,"Jackie Shroff, Abhishek Bachchan, Sushmita Sen, Rani Mukerji",,,Eros Entertainment,Rose Movies,001 Indian Hindi-Language Romantic Drama
