title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Mr. Bond,1992,https://en.wikipedia.org/wiki/Mr._Bond,Mr Bond,Raj N. Sippy,"Akshay Kumar, Sheeba, Pankaj Dheer, Ruchika Pandey",,,,DMS Films,Bond Is A 1992 Indian Hindi Action
Khule-Aam,1992,https://en.wikipedia.org/wiki/Khule-Aam,Khule-Aam,Tarun DuttArun Dutt,"Shammi Kapoor, Dharmendra, Moushumi Chatterjee, Chunky Pandey, Neelam",,,,,Ule-Aam  Is A 1992 Indian Hindi-Language
Basanti Tangewali,1992,https://en.wikipedia.org/wiki/Basanti_Tangewali,Basanti Tangewali,Kanti Shah,"Ekta Sohini, Sadashiv Amrapurkar, Shakti Kapoor, Dalip Tahil",,,,Mangla Films,Basanti Tangewali Is A 1992 Hindi Drama
Jaan Se Pyaara,1992,https://en.wikipedia.org/wiki/Jaan_Se_Pyaara,Jaan Se Pyaara,Anand,"Govinda, Divya Bharti, Raza Murad, Kiran Kumar, Aruna Irani",,,,,Action-Romantic Comedy
Khuda Gawah,1992,https://en.wikipedia.org/wiki/Khuda_Gawah,Khuda Gawah,Mukul S. Anand,"Amitabh Bachchan, Sridevi, Nagarjuna, Shilpa Shirodkar, Danny Denzongpa, Kiran Kumar",₹5.7 crore,₹17.05 crore,,Glamour Films,Is A 1992 Indian Epic Drama
Zindagi Ek Juaa,1992,https://en.wikipedia.org/wiki/Zindagi_Ek_Juaa,Zindagi Ek Juaa,Prakash Mehra,"Anil Kapoor, Madhuri Dixit, Shakti Kapoor, Suresh Oberoi, Anupam Kher, Amrish Puri",,,,,Is A 1992 Hindi Tragedy Drama
Jo Jeeta Wohi Sikandar,1992,https://en.wikipedia.org/wiki/Jo_Jeeta_Wohi_Sikandar,Jo Jeeta Wohi Sikandar,Mansoor Khan,"Aamir Khan, Ayesha Jhulka, Deepak Tijori, Mamik Singh, Pooja Bedi, Kulbhushan Kharbanda",,₹52 million ,Eros Worldwide,Nasir Hussain Films,Coming-Of-Age Sports
Humlaa,1992,https://en.wikipedia.org/wiki/Humlaa,Humlaa,N. Chandra,"Dharmendra, Anil Kapoor, Kimi Katkar, Meenakshi Sheshadri",,,,,Is A 1992 Indian Hindi-Language Action
Tyagi,1992,https://en.wikipedia.org/wiki/Tyagi_(film),Tyagi,K. C. Bokadia,"Rajinikanth, Jaya Prada",,,,,1992 Indian Hindi-Language Action Drama
Paayal,1992,https://en.wikipedia.org/wiki/Paayal,Paayal,Mahendra Shah,"Himalaya, Bhagyashree, Farida Jalal, Annu Kapoor",,,,Roopa Films,Paayal Is A 1992 Bollywood
Khiladi,1992,https://en.wikipedia.org/wiki/Khiladi_(1992_film),Khiladi,Abbas Mustan,"Akshay Kumar, Ayesha Jhulka, Deepak Tijori, Sabeeha",,est. ₹4 crore ,,,92 Indian Hindi-Language Action Thriller
Shiv Mahima,1992,https://en.wikipedia.org/wiki/Kiran_Juneja,Kiran Juneja,,,,,,,She Is Second Wife Of
Ek Ladka Ek Ladki,1992,https://en.wikipedia.org/wiki/Ek_Ladka_Ek_Ladki,Ek Ladka Ek Ladki,Vijay Sadanah,"Salman Khan, Neelam",,est. ₹ 1.8 crore (equivalent to ₹ 14 crore or US$1.6 million in 2023) ,,,Is A 1992 Indian Hindi Romantic Comedy
Deewana,1992,https://en.wikipedia.org/wiki/Deewana_(1992_film),Deewana,Raj Kanwar,"Rishi Kapoor, Divya Bharti, Shah Rukh Khan",,₹ 180 million (equivalent to ₹ 1.4 billion or US$16 million in 2023) ,Mayank Arts,Bhagwan Chitra Mandir,Romantic Action Drama
Bol Radha Bol,1992,https://en.wikipedia.org/wiki/Bol_Radha_Bol,Bol Radha Bol,David Dhawan,"Rishi Kapoor, Juhi Chawla",,,,Neha Arts,92 Indian Hindi-Language Action Thriller
Chamatkar,1992,https://en.wikipedia.org/wiki/Chamatkar,Chamatkar,Rajiv Mehra,"Naseeruddin Shah, Shah Rukh Khan, Urmila Matondkar, Shammi Kapoor",,,,Eagle Films,Romantic Comedy Fantasy
Honeymoon,1992,https://en.wikipedia.org/wiki/Honeymoon_(1992_film),Honeymoon,Surendra Mohan,"Rishi Kapoor, Ashwini Bhave, Varsha Usgaonkar",,,,,Eymoon  Is A 1992 Hindi-Language Romance
Aaj Ka Goonda Raaj,1992,https://en.wikipedia.org/wiki/Aaj_Ka_Goonda_Raaj,Aaj Ka Goonda Raaj,Ravi Raja Pinisetty,"Chiranjeevi, Meenakshi Sheshadri, Raj Babbar",,,,,A 1992 India Hindi-Language Action Crime
Mashooq,1992,https://en.wikipedia.org/wiki/Mashooq_(film),Mashooq,Mirza Brothers,"Ayub Khan, Ayesha Jhulka",,,,,Mashooq Is A 1992 Indian Hindi-Language
Nishchaiy,1992,https://en.wikipedia.org/wiki/Nishchaiy,Nishchay,Esmayeel Shroff,"Vinod Khanna, Salman Khan, Karisma Kapoor",,,,,Ishchaiy Is A 1992 Indian Hindi-Language
Zulm Ki Hukumat,1992,https://en.wikipedia.org/wiki/Zulm_Ki_Hukumat,Zulm Ki Hukumat,Bharat Rangachary,"Dharmendra, Moushumi Chatterjee, Govinda, Kimi Katkar, Shakti Kapoor, Neena Gupta, Raza Murad, Paresh Rawal",,,,Nadiadwala Theatre Productions,1992 Indian Hindi-Language Action Crime
Police Aur Mujrim,1992,https://en.wikipedia.org/wiki/Police_Aur_Mujrim,Police Aur Mujrimपुलिस और मुजरिम,K. C. Bokadia,"Raaj Kumar, Vinod Khanna, Meenakshi Seshadri, Nagma",,,,BMB Productions,M Is A 1992 Indian Hindi-Language Action
Bekhudi,1992,https://en.wikipedia.org/wiki/Bekhudi,Bekhudi,Rahul Rawail,"Kamal Sadanah, Kajol",,₹ 7.5 million ,,Dream Merchants,1992 Indian Hindi-Language Action Drama
Humshakal,1992,https://en.wikipedia.org/wiki/Humshakal_(1992_film),Humshakal,Kalpataru,"Shammi Kapoor, Vinod Khanna, Meenakshi Seshadri",,,,,Is A 1992 Indian Hindi-Language Action
Khel,1992,https://en.wikipedia.org/wiki/Khel_(film),Khel,Rakesh Roshan,"Mala Sinha, Anil Kapoor, Madhuri Dixit, Sonu Walia, Anupam Kher",,,Shiv Bhakti Films,,92 Indian Hindi Language Romantic Comedy
Naach Govinda Naach,1992,https://en.wikipedia.org/wiki/Naach_Govinda_Naach,Naach Govinda Naach,S.Subhash,"Govinda, Mandakini, Raj Kiran",,,,,Naach Govinda Naach Is A 1992 Bollywood
Heer Ranjha,1992,https://en.wikipedia.org/wiki/Heer_Ranjha_(1992_film),Heer Ranjha,Harmesh Malhotra,"Anil Kapoor, Sridevi, Shammi Kapoor, Anupam Kher",,,,,R Ranjha Is A 1992 Indian Hindi-Language
Kal Ki Awaz,1992,https://en.wikipedia.org/wiki/Kal_Ki_Awaz,Kal Ki Awaz,Ravi Chopra,"Dharmendra, Raj Babbar, Amrita Singh, Rohit Bhatia, Pratibha Sinha",,,,,Ki Awaz Is A 1992 Indian Hindi-Language
Bandhu,1992,https://en.wikipedia.org/wiki/Bandhu_(1992_film),Bandhu,Ugyen Chopel,,,,A Narendra Hirawat & Co.,Romesh Films Pvt. Ltd.,Is A Hindi-Language Action Drama
Angaar,1992,https://en.wikipedia.org/wiki/Angaar_(1992_film),Angaar,Shashilal K. Nair,"Jackie Shroff, Dimple Kapadia",,,,,A 1992 Indian Hindi-Language Crime Drama
Sone Ki Zanjeer,1992,https://en.wikipedia.org/wiki/Mohammed_Aziz,Mohammed Aziz,,,,,,,Odia
Sone Ki Lanka,1992,https://en.wikipedia.org/wiki/Sone_Ki_Lanka,Sone Ki Lanka,Ajay Kashyap,"Jeetendra, Jayapradha, Chunky Pandey, Varsha Usgaonkar",,,,R.S.Films[1],Is A 1992 Hindi-Language Action
Aasmaan Se Gira,1992,https://en.wikipedia.org/wiki/Aasmaan_Se_Gira,Aasmaan Se Gira,Pankaj Parashar,"Raghubir Yadav, Abhishek Chitlangia, Tisca Chopra, Kurush Deboo, Amjad Khan, Kalpana Iyer",,,,,The
Balwaan,1992,https://en.wikipedia.org/wiki/Balwaan,Balwaan,Deepak Anand,"Sunil Shetty, Divya Bharti",,,,Jayraj Productions,Is A 1992 Indian Hindi-Language Action
Bewaffa Se Waffa,1992,https://en.wikipedia.org/wiki/Bewaffa_Se_Waffa,Bewaffa Se Waffa,Saawan Kumar Tak,"Vivek Mushran, Juhi Chawla, Nagma",,,,Saawan Kumar Productions,Is A 1992 Hindi
Junoon,1992,https://en.wikipedia.org/wiki/Junoon_(1992_film),Junoon,Mahesh Bhatt,"Rahul Roy, Avinash Wadhawan, Pooja Bhatt",,,Vishesh Films,Vishesh Films,992 Indian Hindi-Language Fantasy Horror
