title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Cash,2007,https://en.wikipedia.org/wiki/Cash_(2007_film),Cash,Anubhav Sinha,"Ajay Devgn, Sunil Shetty, Esha Deol, Riteish Deshmukh, Zayed Khan, Shamita Shetty, Dia Mirza",₹32 crore ,₹29.30 crore ,Adlabs,,Sh Is A 2007 Indian Hindi-Language Heist
Chak De! India,2007,https://en.wikipedia.org/wiki/Chak_De!_India,Chak De! India,Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Shilpa Shukla, Sagarika Ghatge, Chitrashi Rawat, Anjan Srivastav, Vibha Chibber",₹ 20 crore ,₹ 109 crore ,Yash Raj Films,Yash Raj Films,Is A 2007 Indian Sports Drama
Kaafila,2007,https://en.wikipedia.org/wiki/Kaafila,Kaafila,Amitoj Maan,"Sunny Deol, Amitoj Mann, Sana Nawaz, Sara Loren",,,,,Is A 2007 Bollywood Action
Buddha Mar Gaya,2007,https://en.wikipedia.org/wiki/Buddha_Mar_Gaya,Buddha Mar Gaya,Rahul Rawail,"Anupam Kher, Om Puri, Paresh Rawal, Rakhi Sawant",,,,,2007 Indian Hindi-Language Black Comedy
Heyy Babyy,2007,https://en.wikipedia.org/wiki/Heyy_Babyy,Heyy Babyy,Sajid Khan,"Akshay Kumar, Fardeen Khan, Riteish Deshmukh, Vidya Balan, Boman Irani, Juanna Sanghvi",₹ 36 crore,₹ 83 crore ,Shree Ashtavinayak Cine Vision[1]Eros International,Nadiadwala Grandson Entertainment,Y Is A 2007 Indian Hindi-Language Comedy
Ram Gopal Varma Ki Aag,2007,https://en.wikipedia.org/wiki/Aag_(2007_film),Ram Gopal Varma Ki Aag,Ram Gopal Varma,"Mohanlal, Amitabh Bachchan, Ajay Devgn, Sushmita Sen",₹210 million,₹227.3 million,Adlabs,RGV Film Factory,Is A 2007 Indian Hindi-Language Action
Dhokha,2007,https://en.wikipedia.org/wiki/Dhokha,Dhokha,Pooja Bhatt,"Muzammil Ibrahim, Tulip Joshi",,,,Vishesh Films,07 Indian Hindi-Language Action Thriller
Victoria No. 203: Diamonds Are Forever,2007,https://en.wikipedia.org/wiki/Victoria_No._203_(2007_film),Victoria No. 203,Anant Mahadevan,"Om Puri, Anupam Kher, Jimmy Sheirgill, Johnny Lever, Preeti Jhangiani, Javed Jaffrey, Soniya Mehra",,,,Angath Arts,Heist Comedy Thriller
Dhamaal,2007,https://en.wikipedia.org/wiki/Dhamaal,Dhamaal,Indra Kumar,"Sanjay Dutt, Ritesh Deshmukh, Arshad Warsi, Aashish Chaudhary, Jaaved Jaaferi, Asrani, Sanjay Mishra, Vijay Raaz, Manoj Pahwa, Tiku Talsania, Prem Chopra",,est. ₹ 50.73 crore ,Shemaroo Entertainment,Maruti International,Is A 2007 Indian Hindi-Language Comedy
Darling,2007,https://en.wikipedia.org/wiki/Darling_(2007_Indian_film),Darling,Ram Gopal Varma,"Fardeen Khan, Esha Deol, Isha Koppikar",₹6.5 crore ,₹4.75 crore ,Balaji Motion Pictures(India)Eros International(Overseas),T-Series Films,G Is A 2007 Indian Hindi-Language Horror
Apna Asmaan,2007,https://en.wikipedia.org/wiki/Apna_Asmaan,Apna Asmaan,Kaushik Roy,"Irrfan Khan, Shobana, Anupam Kher, Dhruv Piyush Panjuani",,,Sony Pictures Releasing,ImaginationWorks,Is A 2007 Indian Hindi-Language Drama
Dhol,2007,https://en.wikipedia.org/wiki/Dhol_(film),Dhol,Priyadarshan,"Tusshar Kapoor, Sharman Joshi, Kunal Khemu, Rajpal Yadav, Tanushree Dutta, Arbaaz Khan, Om Puri, Murali Sharma, Tiku Talsania, Asrani",₹ 14 crore ,₹ 33.27 crore ,Adlabs,Percept Picture Company,Buddy Comedy Thriller
Fear,2007,https://en.wikipedia.org/wiki/Fear_(2007_film),Fear,Vikram Bhatt,"Amit Gaur, Aditya Ralkar, Alisha Baig",₹ 2 crore ,,,,Supernatural Horror
Nanhe Jaisalmer: A Dream Come True,2007,https://en.wikipedia.org/wiki/Nanhe_Jaisalmer,Nanhe Jaisalmer - A Dream Come True,Samir Karnik,"Bobby Deol, Dwij Yadav",,,Eros International,,Is A 2007 Indian Hindi-Language Drama
Manorama: Six Feet Under,2007,https://en.wikipedia.org/wiki/Manorama_Six_Feet_Under,Manorama Six Feet Under,Navdeep Singh,"Abhay Deol, Raima Sen, Gul Panag",,,Shemaroo Entertainment,,T Under Is A 2007 Indian  Crime Thriller
Johnny Gaddaar,2007,https://en.wikipedia.org/wiki/Johnny_Gaddaar,Johnny Gaddaar,Sriram Raghavan,"Dharmendra, Neil Nitin Mukesh, Rimi Sen, Vinay Pathak, Zakir Hussain, Dayanand Shetty, Ashwini Kalsekar, Govind Namdeo",₹7.50 crore ,₹25.68 crore ,Adlabs,Adlabs,Neo-Noir Crime Thriller
Dil Dosti Etc,2007,https://en.wikipedia.org/wiki/Dil_Dosti_Etc,Dil Dosti Etc,Manish Tiwary,"Shreyas Talpade, Nikita Anand, Imaad Shah, Smriti Mishra, Dinesh Kumar, Ishita Sharma",,,,,Is A 2007 Indian Coming-Of-Age
Go,2007,https://en.wikipedia.org/wiki/Go_(2007_film),Go,Manish Srivastav,"Gautam Gupta, Priyanka Kothari, Rajpal Yadav, Kay Kay Menon, Ravi Kale, Shereveer Vakil, Govind Namdeo, Shazad Latif",,,,,Go Is A 2007 Bollywood Crime Comedy
Chhodon Naa Yaar,2007,https://en.wikipedia.org/wiki/Chhodon_Naa_Yaar,Chhodon Naa Yaar,Dilip Sood,"Jimmy Sheirgill, Kim Sharma, Farid Amiri, Ahmed Khan, Vinod Nagpal",₹ 3.25 crore ,₹ 0.26 crore ,,,Supernatural Horror
It's Breaking News,2007,https://en.wikipedia.org/wiki/It's_Breaking_News,It's Breaking News,Vishal Inamdar,"Koel Purie, Swati Sen, Harsh Chhaya, Vinay Apte, Mrunmayee Deshpande",,,,Animaa Films,Ws Is A 2007 Indian Hindi-Language Crime
50 Lakh,2007,https://en.wikipedia.org/wiki/Aithe,Aithe...,Chandra Sekhar Yeleti,"Pavan Malhotra, Mohit Chadda, Shashank, Abhishek, Janardhan, Sindhu Tolani",,,,Just Yellow Media,S A 2003 Indian Telugu-Language Thriller
Bhool Bhulaiyaa,2007,https://en.wikipedia.org/wiki/Bhool_Bhulaiyaa,Bhool Bhulaiyaa,Priyadarshan,"Akshay Kumar, Vidya Balan, Shiney Ahuja, Ameesha Patel",₹ 320 million ,₹ 828.4 million ,Balaji Motion PicturesEros International,T-Series Films,Psychological Horror Comedy
Laaga Chunari Mein Daag,2007,https://en.wikipedia.org/wiki/Laaga_Chunari_Mein_Daag,Laaga Chunari Mein Daag,Pradeep Sarkar,"Jaya Bachchan, Rani Mukerji, Konkona Sen Sharma, Kunal Kapoor, Abhishek Bachchan, Anupam Kher",,est. ₹250 million ,Yash Raj Films,,Is A 2007 Indian Hindi-Language Drama
Speed,2007,https://en.wikipedia.org/wiki/Speed_(2007_film),Speed,Vikram Bhatt,"Zayed Khan, Sanjay Suri, Urmila Matondkar, Aftab Shivdasani, Aashish Chaudhary, Tanushree Dutta",,,Zee Motion Pictures(India)Eros International(Overseas),Baweja Movies,07 Indian Hindi-Language Action Thriller
Jab We Met,2007,https://en.wikipedia.org/wiki/Jab_We_Met,Jab We Met,Imtiaz Ali,"Kareena Kapoor, Shahid Kapoor",₹ 15 crore ,₹ 50.9 crore ,Indian Films[1],Shree Ashtavinayak Cine Vision,07 Indian Hindi-Language Romantic Comedy
No Smoking,2007,https://en.wikipedia.org/wiki/No_Smoking_(2007_film),No Smoking,Anurag Kashyap,"John Abraham, Ayesha Takia, Paresh Rawal, Ranvir Shorey",₹23 crore,₹3 crore ,Eros International,,Is A 2007 Indian Hindi-Language Thriller
Mumbai Salsa,2007,https://en.wikipedia.org/wiki/Mumbai_Salsa,Mumbai Salsa,Manoj Tyagi,"Vir Das, Linda Arsenio, Manjari Phadnis, Dilip Thadeshwar",,,BVG FilmsASA Productions and Enterprises Pvt. Ltd.,,Mumbai Salsa Is A 2007 Indian
Humne Jeena Seekh Liya,2007,https://en.wikipedia.org/wiki/Humne_Jeena_Seekh_Liya,Humne Jeena Seekh Liya,Milind Ukey,"Siddharth Chandekar, Mrunmayi Deshpande",70-Lakh ,30-Lakh,Ukey Films,Ukey Films,08 Indian Coming Of Age Drama And Comedy
Om Shanti Om,2007,https://en.wikipedia.org/wiki/Om_Shanti_Om,Om Shanti Om,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Shreyas Talpade, Kirron Kher, Arjun Rampal",₹40 crore ,₹152 crore ,Eros International,Red Chillies Entertainment,Is A 2007 Hindi-Language Masala
Saawariya,2007,https://en.wikipedia.org/wiki/Saawariya,Saawariya,Sanjay Leela Bhansali,"Ranbir Kapoor, Sonam Kapoor, Rani Mukerji, Salman Khan, Zohra Sehgal",₹ 45 crore ,₹ 39.22 crore ,Sony Pictures Releasing International,,07 Indian Hindi-Language Musical Romance
Dumkata,2007,https://en.wikipedia.org/wiki/Dum_Kaata,Dumkata,Amol Palekar,"Sachin Khedekar, Om Puri",,,,,Is A Hindi-Language Comedy
