title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Dilbar,1994,https://en.wikipedia.org/wiki/Dilbar_(film),Dilbar,B. Krishna Rao,"Rishikesh Raj, Mamta Kulkarni",,,,,Dilbar Is A 1995 Bollywood Action
Mammo,1994,https://en.wikipedia.org/wiki/Mammo,Mammo,Shyam Benegal,"Farida Jalal, Rajit Kapoor, Surekha Sikri",,,NFDC,,Mammo Is A 1994 Indian Hindi-Language
Anth,1994,https://en.wikipedia.org/wiki/Anth,Anth,Sanjay Khanna,"Suniel Shetty, Somy Ali",,,,,Anth Is A 1994 Indian Action
Jai Kishen,1994,https://en.wikipedia.org/wiki/Jai_Kishen,Jai Kishen,Sunil Agnihotri,"Akshay Kumar, Ayesha Julka, Chandni, Reema Lagoo, Arun Bakshi",₹1.25 crore ,est. ₹4.53 crore ,Shalimar International,,Kishen Is A 1994 Bollywood Action Drama
Aatish: Feel the Fire,1994,https://en.wikipedia.org/wiki/Aatish:_Feel_the_Fire,Aatish: Feel the Fire,Sanjay Gupta,"Sanjay Dutt, Aditya Pancholi, Raveena Tandon, Karishma Kapoor, Atul Agnihotri",₹ 5 crore ,₹ 14 crore ,Sippy Films,,1994 Indian Hindi-Language Action Crime
Ekka Raja Rani,1994,https://en.wikipedia.org/wiki/Ekka_Raja_Rani,Ekka Raja Raniएक राजा रानी,Afzal Ahmed Khan,"Vinod Khanna, Govinda, Paresh Rawal",,,Mark Films,,Ja Rani Is A 1994 Bollywood Action Drama
Ishq Mein Jeena Ishq Mein Marna,1994,https://en.wikipedia.org/wiki/Ishq_Mein_Jeena_Ishq_Mein_Marna,Ishq Mein Jeena Ishq Mein Marna,Mahrukh Mirzaa,"Ravi Sagar, Divya Dutta, Aasif Sheikh, Dalip Tahil, Brij Gopal, Shafi Inamdar, Raju Srivastav, Kuldeep Malik, Mohammad Abbas Naqvi",,,,Sangeet Films Pvt. Ltd.,Is A 1994 Indian Hindi-Language Romance
Cheetah,1994,https://en.wikipedia.org/wiki/Cheetah_(1994_film),Cheetah,Harmesh Malhotra,"Mithun Chakraborty, Ashwini Bhave, Shikha Swaroop, Prem Chopra",₹ 1.85 crore ,₹ 6.74 crore ,,Aabha Films,H Is A 1994 Indian Hindi-Language Action
Mohra,1994,https://en.wikipedia.org/wiki/Mohra,Mohra,Rajiv Rai,"Naseeruddin Shah, Akshay Kumar, Sunil Shetty, Raveena Tandon, Poonam Jhawer, Raza Murad, Paresh Rawal, Gulshan Grover, Sadashiv Amrapurkar",₹3.75 crore ,₹22.65 crore ,Trimurti Films Pvt. Ltd.,,94 Indian Hindi-Language Action Thriller
Do Fantoosh,1994,https://en.wikipedia.org/wiki/Do_Fantoosh,Do Fantoosh,Veerendraand Sikander Bharti,,,,,Apna Films,Do Fantoosh Is A 1994 Bollywood
Juaari,1994,https://en.wikipedia.org/wiki/Juaari,Juaari,Jagdish Sharma,"Dharmendra, Armaan Kohli, Shilpa Shirodkar, Mehmood, Kiran Kumar, Raza Murad, Paresh Rawal",,,,,Juaari Is A 1994 Bollywood Crime Drama
Jazbaat,1994,https://en.wikipedia.org/wiki/Jazbaat_(1994_film),Jazbaat,Anant Balani,"Suchitra Krishnamoorthi, Rohit Roy, Reema Lagoo, Mohnish Bahl, Kiran Kumar",,,,,Jazbaat Is A 1994 Bollywood Romantic
1942: A Love Story,1994,https://en.wikipedia.org/wiki/1942:_A_Love_Story,1942: A Love Story,Vidhu Vinod Chopra,"Anil Kapoor, Manisha Koirala, Jackie Shroff, Chandni, Danny Denzongpa, Pran",₹ 4.75 crore ,₹ 11.48 crore ,SLB FilmsVinod Chopra Productions,,994 Indian Hindi-Language Romantic Drama
Krantiveer,1994,https://en.wikipedia.org/wiki/Krantiveer,Krantiveer,Mehul Kumar,"Nana Patekar, Dimple Kapadia, Atul Agnihotri, Mamta Kulkarni",₹ 30 million ,₹ 206.7 million ,,Mehul Movies Pvt Ltd,1994 Indian Hindi-Language Action Crime
Janata Ki Adalat,1994,https://en.wikipedia.org/wiki/Janta_Ki_Adalat,Janta Ki Adalat,T L V Prasad,"Mithun Chakraborty, Gautami, Madhoo, Sadashiv Amrapurkar",,,,BMB Combines,Is A 1994 Indian Hindi-Language Action
