title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Piya Ka Ghar,1972,https://en.wikipedia.org/wiki/Piya_Ka_Ghar,Piya Ka Ghar,Basu Chatterjee,"Jaya Bhaduri, Anil Dhawan, Paintal",,,Rajshri Productions,Rajshri Productions,72 Indian Hindi-Language Romantic Comedy
Sanjog,1972,https://en.wikipedia.org/wiki/Sanjog_(1971_film),Sanjog,S. S. Balan,"Mala Sinha, Amitabh Bachchan, Aruna Irani",,,,Gemini Studios,Is A 1971 Indian Hindi-Language Drama
Bombay to Goa,1972,https://en.wikipedia.org/wiki/Bombay_to_Goa_(1972_film),Bombay to Goa,S. Ramanathan,"Amitabh Bachchan, Aruna Irani, Shatrughan Sinha, Nazir Hussain, Mehmood, Anwar Ali",,est. ₹ 1 crore ( est. ₹27.2 crore as of 2019),,Mahmood Productions,A 1972 Indian Hindi-Language Road Comedy
Zaroorat,1972,https://en.wikipedia.org/wiki/Zaroorat,Zaroorat,B.R. Ishara,"Vijay Arora, Reena Roy, Danny Denzongpa",,,,,Is An Indian 1972 Bollywood Drama
Aankhon Aankhon Mein,1972,https://en.wikipedia.org/wiki/Aankhon_Aankhon_Mein,Aankhon Aankhon Mein,Raghunath Jhalani,"Rakesh Roshan, Raakhee, Pran",,,Filmyug Pvt. Ltd.,,The
Haar Jeet,1972,https://en.wikipedia.org/wiki/Haar_Jeet_(1972_film),Haar Jeet,C.P. Dixit,"Rehana Sultan, Anil Dhawan",,,,,Is A 1972 Hindi-Language Drama
Apradh,1972,https://en.wikipedia.org/wiki/Apradh,Apradh,Feroz Khan,"Feroz Khan, Mumtaz, Prem Chopra",,,F. K. International,F. K. International,Is A 1972 Action Thriller Romance Hindi
Garam Masala,1972,https://en.wikipedia.org/wiki/Garam_Masala_(1972_film),Garam Masala,Aspi Irani,"Aruna Irani, Mehmood",,,,Balaji Kala Mandir,M Masala Is A 1972 Hindi-Language Comedy
Bhai Ho To Aisa,1972,https://en.wikipedia.org/wiki/Bhai_Ho_To_Aisa,Bhai Ho To Aisa,Manmohan Desai,"Jeetendra, Hema Malini, Shatrughan Sinha",,,,A.K.Movies Pvt Ltd,Is A 1972 Indian Hindi-Language Action
Lalkar (The Challenge),1972,https://en.wikipedia.org/wiki/Lalkar,Lalkar,Ramanand Sagar,"Dharmendra, Rajendra Kumar, Mala Sinha, Kumkum, Nazir Hussain",,,Sagar Arts,,A 1972 Indian Hindi-Language War Action
Bawarchi,1972,https://en.wikipedia.org/wiki/Bawarchi,Bawarchi,Hrishikesh Mukherjee,"Rajesh Khanna, Jaya Bhaduri, Asrani, Harindranath Chattopadhyay, A.K. Hangal, Durga Khote, Manisha, Kali Banerjee, Usha Kiran, Raju Shrestha",,,,,Musical Comedy Drama
Jawani Diwani,1972,https://en.wikipedia.org/wiki/Jawani_Diwani,Jawani Diwani,Narender Bedi,"Randhir Kapoor, Jaya Bhaduri",,,Rose Films Pvt. Ltd,,Is A 1972 Hindi-Language Musical Romance
