title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Sir,1993,https://en.wikipedia.org/wiki/Sir_(1993_film),Sir,Mahesh Bhatt,"Atul Agnihotri, Pooja Bhatt, Naseeruddin Shah, Paresh Rawal",,,Vishesh Films,Vishesh Films,A 1993 Indian Hindi-Language Crime Drama
Krishan Avtaar,1993,https://en.wikipedia.org/wiki/Krishan_Avtaar,Krishan Avtaar,Ashok Gaikwad,"Mithun Chakraborty, Paresh Rawal, Shakti Kapoor, Paresh Rawal, Somy Ali, Sujata Mehta",,,,Saptarishi Films,R Is A 1993 Indian Hindi-Language Action
Phir Teri Kahani Yaad Aayee,1993,https://en.wikipedia.org/wiki/Phir_Teri_Kahani_Yaad_Aayee,Phir Teri Kahani Yaad Ayee,Mahesh Bhatt,"Pooja Bhatt, Rahul Roy, Pooja Bedi",,,Zee TV,,Melodious Musical Hindi-Language Romance
Maya Memsaab,1993,https://en.wikipedia.org/wiki/Maya_Memsaab,Maya Memsaab,Ketan Mehta,"Deepa Sahi, Farooq Shaikh, Shah Rukh Khan, Raj Babbar, Paresh Rawal",,est. ₹ 1.85 crore (equivalent to ₹ 13 crore or US$1.6 million in 2023) 1.85 crore ,,,Is A 1993 Indian Mystery Drama
Waqt Hamara Hai,1993,https://en.wikipedia.org/wiki/Waqt_Hamara_Hai,Waqt Hamara Hai,Bharat Rangachary,"Akshay Kumar, Suniel Shetty, Ayesha Jhulka, Mamta Kulkarni, Aruna Irani, Anupam Kher",₹2.10 crore,₹5.05 crore ( India Nett),,Nadiadwala Grandson Entertainment,Is A 1993 Indian Romantic Action Comedy
Rang,1993,https://en.wikipedia.org/wiki/Rang_(1993_film),Rang,Talat Jani,"Jeetendra, Amrita Singh, Kamal Sadanah, Divya Bharti, Ayesha Jhulka",,₹3.44 crore ,,ANAS Films,Is A 1993 Indian Hindi-Language Romance
Shaktiman,1993,https://en.wikipedia.org/wiki/Shaktiman_(1993_film),Shaktiman,K.C. Bokadia,"Ajay Devgn, Karisma Kapoor, Mukesh Khanna, Kulbhushan Kharbanda",,,B.M.B Combines,,Is A 1993 Indian Hindi-Language Action
Phool,1993,https://en.wikipedia.org/wiki/Phool_(1993_film),Phool,Singeetam Srinivasa Rao,"Sunil Dutt, Rajendra Kumar, Kumar Gaurav, Madhuri Dixit",,,,,Is A 1993 Bollywood
Phool Aur Angaar,1993,https://en.wikipedia.org/wiki/Phool_Aur_Angaar,Phool Aur Angaar,Ashok Gaikwad,"Mithun Chakraborty, Shantipriya, Prem Chopra, Gulshan Grover",,,Aftab Pictures,,Action Revenge Drama
Gumrah,1993,https://en.wikipedia.org/wiki/Gumrah_(1993_film),Gumrah,Mahesh Bhatt,"Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy",,₹12 crore ,,Dharma Productions,Action Crime Drama
Chor Aur Chand,1993,https://en.wikipedia.org/wiki/Tanuja,Tanuja,,,,,,,Ess Who Predominantly Works In The Hindi
Pehla Nasha,1993,https://en.wikipedia.org/wiki/Pehla_Nasha,Pehla Nasha,Ashutosh Gowariker,"Deepak Tijori, Pooja Bhatt, Raveena Tandon",,,,,Is A 1993 Indian Hindi-Language Thriller
Izzat Ki Roti,1993,https://en.wikipedia.org/wiki/Izzat_Ki_Roti,Izzat Ki Roti,K. Pappu,"Sunny Deol, Rishi Kapoor, Juhi Chawla, Farha, Anupam Kher, Kulbhushan Kharbanda",,,,,1993 Indian Hindi-Language Action Drama
Dhartiputra,1993,https://en.wikipedia.org/wiki/Dhartiputra,Dhartiputra,Iqbal Durrani,"Mammootty, Rishi Kapoor, Jaya Prada",,,,Sonu Film International,Is A 1993 Hindi-Language Action
Pardesi,1993,https://en.wikipedia.org/wiki/Pardesi_(1993_film),Pardesi,Raj N. Sippy,"Mithun Chakraborty, Sumalata, Varsha Usgaonkar, Iqbal Durrani, Pankaj Dheer, Shakti Kapoor, Suresh Oberoi",,,Mithun's Dream Factory,,Pardesi Is A 1993 Hindi Action
Dil Hai Betaab,1993,https://en.wikipedia.org/wiki/Dil_Hai_Betaab,Dil Hai Betaab,K. C. Bokadia,"Ajay Devgn, Pratibha Sinha, Vivek Mushran",,,Avinash Productions,,Is A 1993 Indian Romance
Anmol,1993,https://en.wikipedia.org/wiki/Anmol,Anmol,Ketan Desai,"Rishi Kapoor, Manisha Koirala",71 million,4.74 million,,MKD Films,Is A 1993 Indian
Pyaar Ka Tarana,1993,https://en.wikipedia.org/wiki/Pyar_Ka_Taraana,Pyar Ka Taraana,Dev Anand,"Akshay Anand, Mink Brar, Anita Ayoob",,,,,
Aadmi Khilona Hai,1993,https://en.wikipedia.org/wiki/Aadmi_Khilona_Hai,Aadmi Khilona Hai,J. Om Prakash,"Jeetendra, Govinda, Meenakshi Sheshadri, Reena Roy",,,,FILMYUG Pvt Ltd,Is A 1993 Indian Hindi-Language Drama
Gurudev,1993,https://en.wikipedia.org/wiki/Gurudev_(film),Gurudev,Vinod Mehra,"Rishi Kapoor, Anil Kapoor, Sridevi",,,,,Gurudev Is A 1993 Bollywood Action
Gardish,1993,https://en.wikipedia.org/wiki/Gardish,Gardish,Priyadarshan,"Shammi Kapoor, Jackie Shroff, Amrish Puri, Aishwarya, Farida Jalal, Dimple Kapadia",,,Eros Entertainment,Shogun Films,1993 Indian Hindi-Language Action Crime
Sainik,1993,https://en.wikipedia.org/wiki/Sainik,Sainik,Sikandar Bharti,"Akshay Kumar, Ashwini Bhave, Ronit Roy, Farheen",,,Manish Arts,,Is A 1993 Indian Action
Aaja Meri Jaan,1993,https://en.wikipedia.org/wiki/Aaja_Meri_Jaan,Aaja Meri Jaan,Ketan Anand,"Krishan Kumar, Tanya Singh, Shammi Kapoor, Pran, Prem Chopra, Deven Verma",,,T-Series Films,T-Series Films,A 1993 Hindi-Language Romantic Thriller
Hum Hain Kamaal Ke,1993,https://en.wikipedia.org/wiki/Hum_Hain_Kamaal_Ke,Hum Hain Kamaal Keहम हैं कमाल के,Vijay Reddy,"Sheeba, Sujoy Mukherjee, Kader Khan, Anupam Kher, Aruna Irani, Sadashiv Amrapurkar, Raza Murad",,,,Tridev Films,Is A 1993 Hindi-Language Action-Comedy
Aadmi,1993,https://en.wikipedia.org/wiki/Aadmi_(1993_film),Aadmiआदमी,Arshad Khan,"Mithun Chakraborty, Gautami, Harish Kumar, Ajit",,,,Aftab Pictures,Is A 1993 Indian Hindi-Language Action
Pehchaan,1993,https://en.wikipedia.org/wiki/Pehchaan_(1993_film),Pehchaan,Deepak Shivdasani,"Sunil Shetty, Saif Ali Khan, Shilpa Shirodkar, Madhoo",,,A J Combines,,1993 Indian Hindi-Language Action Drama
Dil Tera Aashiq,1993,https://en.wikipedia.org/wiki/Dil_Tera_Aashiq,Dil Tera Aashiq,Lawrence D'Souza,"Salman Khan, Madhuri Dixit",,,,NH Studioz,A 1993 Indian Bollywood Romantic Comedy
Ek Hi Raasta,1993,https://en.wikipedia.org/wiki/Ek_Hi_Raasta_(1993_film),Ek Hi Raasta,Deepak Bahry,"Ajay Devgn, Raveena Tandon, Raza Murad, Saeed Jaffrey",,,Tips Muvbsic Films,,1993 Indian Hindi-Language Action Drama
Chandra Mukhi,1993,https://en.wikipedia.org/wiki/Chandra_Mukhi,Chandra Mukhi,Debaloy Dey,"Sridevi, Salman Khan, Pran, Gulshan Grover, Mohnish Behl, Puneet Issar",,,,,1993 Indian Hindi-Language Fantasy Drama
Dalaal,1993,https://en.wikipedia.org/wiki/Dalaal,Dalaal,Partho Ghosh,"Mithun Chakraborty, Ayesha Jhulka",,,Eros Entertainment,Prakash Mehra Productions,Dalaal Is A 1993 Indian Bilingual Action
Baazigar,1993,https://en.wikipedia.org/wiki/Baazigar,Baazigar,Abbas–Mustan,"Shah Rukh Khan, Kajol, Siddharth, Shilpa Shetty, Dalip Tahil, Johnny Lever, Rakhee Gulzar",₹ 4 crore ,est. ₹ 32 crore ,Eros International,Venus Movies,Neo-Noir Action Thriller
Parwane,1993,https://en.wikipedia.org/wiki/Parwane,Parwane,Ashok Gaikwad,"Avinash Wadhavan, Siddharth Ray, Shilpa Shirodkar, Paresh Rawal, Gulshan Grover",,,Shalimar Films,,Parwane Is A Bollywood Action
Santaan,1993,https://en.wikipedia.org/wiki/Santaan,Santaan,Dasari Narayana Rao,"Jeetendra, Moushumi Chatterjee, Deepak Tijori, Neelam",,,,Suresh Productions,Is A 1993 Indian Hindi-Language Drama
Ashaant,1993,https://en.wikipedia.org/wiki/Vishnu_Vijaya,Vishnu Vijaya / Ashaant,Keshu Ramsay,"Vishnuvardhan, Akshay Kumar, Ashwini Bhave, Mamta Kulkarni, Pankaj Dheer",,,Vishnupriya Combines,Vishnupriya Combines,Vishnu Vijaya Is A 1993 Indian Action
Aulad Ke Dushman,1993,https://en.wikipedia.org/wiki/Aulad_Ke_Dushman,Aulad Ke Dushmanऔलाद के दुश्मन,Rajkumar Kohli,"Armaan Kohli, Ayesha Jhulka, Kanchan",,,,Shankar Movies,Is A 1993 Indian Bollywood Action Drama
Tahqiqaat,1993,https://en.wikipedia.org/wiki/Tahqiqaat,Tahqiqaat,A. Jagannathan,"Jeetendra, Aditya Pancholi, Sangeeta Bijlani, Ronit Roy, Farheen",,,,BMB Production,Is A 1993 Indian Hindi-Language Thriller
Meri Aan,1993,https://en.wikipedia.org/wiki/Meri_Aan,Meri Aan,Roopesh Kumar,"Ayub Khan, Farheen, Sabeeha",,,,,Meri Aan  Is A 1993 Indian Hindi
Baarish,1993,https://en.wikipedia.org/wiki/Anari_(1993_film),Anari,K. Murali Mohana Rao,"Venkatesh, Karisma Kapoor",,₹ 3 crore (equivalent to ₹ 22 crore or US$2.6 million in 2023) ,,Suresh Productions,993 Indian Hindi-Language Romantic Drama
