title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Shubh Mangal Savdhan,2017,https://en.wikipedia.org/wiki/Shubh_Mangal_Saavdhan,Shubh Mangal Saavdhan,R. S. Prasanna,"Ayushmann Khurrana, Bhumi Pednekar",₹ 25 crore ,₹ 64.54 crore ,Eros International,,17 Indian Hindi-Language Romantic Comedy
Baadshaho,2017,https://en.wikipedia.org/wiki/Baadshaho,Baadshah,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Ileana D'Cruz, Vidyut Jammwal, Esha Gupta, Sanjay Mishra, Priyanshu Chatterjee",₹ 90 crore ,est. ₹ 123.50 crore ,Mangl Murti Films[1]CineKorn Entertainment,,7 Indian Hindi-Language Action-Adventure
Sunn Raha Hai Na,2017,https://en.wikipedia.org/wiki/Sunn_Raha_Hai,"""Sunn Raha Hai""",,,,,,,Is A Song From The 2013 Hindi
Daddy,2017,https://en.wikipedia.org/wiki/Daddy_(2017_film),Daddy,Ashim Ahluwalia,"Arjun Rampal, Aishwarya Rajesh",₹ 21 crores,est. ₹ 15.5 crores ,Raksha Entertainment,,Y Is A 2017 Indian Political Crime Drama
The Hungry,2017,https://en.wikipedia.org/wiki/The_Hungry,The Hungry,Bornila Chatterjee,"Naseeruddin Shah, Tisca Chopra, Antonio Aakeel, Neeraj Kabi",,,,,The Hungry Is A 2017 Indian Drama
Omerta,2017,https://en.wikipedia.org/wiki/Omerta_(2017_film),Omerta,Hansal Mehta,Rajkummar Rao,₹ 18 crore ,est. ₹ 4.49 crore ,NH Studioz,,S A 2017 Indian Biographical Crime Drama
Poster Boys,2017,https://en.wikipedia.org/wiki/Poster_Boys_(2017_film),Poster Boys,Shreyas Talpade,"Sunny Deol, Bobby Deol, Shreyas Talpade, Sonali Kulkarni, Samikssha Batnagar, Tripti Dimri",₹ 15 crore ,₹ 30 crore ,Sony Pictures Releasing,,S Is A 2017 Indian Hindi-Language Comedy
Mr. Kabaadi,2017,https://en.wikipedia.org/wiki/Mr._Kabaadi,Mr. Kabaadi,Seema Kapoor,"Om Puri, Annu Kapoor, Vinay Pathak, Sarika, Brijendra Kala, Rajveer Singh, Kaashish Vohra, Ulka Gupta, Meenal Kapoor, Swati Kaushik",,,,,I Is A 2017 Indian Hindi-Language Comedy
Sameer,2017,https://en.wikipedia.org/wiki/Sameer_Anjaan,Sameer Anjaan,,,,,,,Riting Songs Predominantly For Bollywood
Mukkabaaz,2017,https://en.wikipedia.org/wiki/Mukkabaaz,Mukkabaaz,Anurag Kashyap,"Vineet Kumar Singh, Zoya Hussain, Jimmy Sheirgill, Ravi Kishan",,₹10.51 crore ,Eros International,,2017 Indian Hindi-Language Sports Drama
Tikli and Laxmi Bomb,2017,https://en.wikipedia.org/wiki/Tikli_and_Laxmi_Bomb,Tikli and Laxmi Bomb,Aditya Kripalani,,,,,,Is An Indian
Lucknow Central,2017,https://en.wikipedia.org/wiki/Lucknow_Central,Lucknow Central,Ranjit Tiwari,"Farhan Akhtar, Diana Penty, Virendra Saxena, Deepak Dobriyal, Ronit Roy, Gippy Grewal, Inaamulhaq, Rajesh Sharma",₹ 300 million ,₹ 169.5 million ,Viacom18 Motion Pictures,Emmay Entertainment,L Is A 2017 Indian Hindi-Language Prison
Simran,2017,https://en.wikipedia.org/wiki/Simran_(film),Simran,Hansal Mehta,"Kangana Ranaut, Sohum Shah, Hiten Kumar, Kishori Shahane",₹ 28 crore ,est. ₹ 27.25 crore ,AA Films,,A 2017 Indian Hindi-Language Heist Drama
Patel Ki Punjabi Shaadi,2017,https://en.wikipedia.org/wiki/Patel_Ki_Punjabi_Shaadi,Patel Ki Punjabi Shaadi,Sanjay Chhel,"Rishi Kapoor, Paresh Rawal, Vir Das, Payal Ghosh, Prem Chopra, Shilpa Shinde",,,,Bholenath Movies,Is An Indian Hindi Romantic Comedy
Bhoomi,2017,https://en.wikipedia.org/wiki/Bhoomi_(2017_film),Bhoomi,Omung Kumar,"Sanjay Dutt, Aditi Rao Hydari, Shekhar Suman, Sidhant Gupta, Sharad Kelkar",,₹ 14.76 crores ,AA FilmsCinekorn EntertainmentAnand Motion PicturesWalt Disney Studios Motion Pictures,,Is A 2017 Indian Action Drama
The Final Exit,2017,https://en.wikipedia.org/wiki/The_Final_Exit,The Final Exit,Dhwanil Mehta[2],"Kunaal Roy Kapur, Archana Shastry, Elena Kazan, Reyhna Malhotra, Scarlett Wilson, Ananya Sengupta",,,Carnival Motion Pictures,Mars Entertainment,A 2017 Indian Hindi Supernatural Horror
