title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Kabaad- The Coin,2021,https://en.wikipedia.org/wiki/Kabaad:_The_Coin,Kabaad: The Coin,Varadraj Swami,"Vivaan Shah, Zoya Afroz",,,,MBN Entertainment Pvt. Ltd.,The Coin Is A 2021 Indian Hindi-Language
Sardar Ka Grandson,2021,https://en.wikipedia.org/wiki/Sardar_Ka_Grandson,Sardar Ka Grandson,Kaashvie Nair,"Arjun Kapoor, Neena Gupta, Rakul Preet Singh",,,Netflix[1],,2021 Indian Hindi-Language Comedy-Drama
Shaadisthan,2021,https://en.wikipedia.org/wiki/Shaadisthan,Shaadisthan,Raj Singh Chaudhary,"Nivedita Bhattacharya, Nina Borah, Sanjay Dadhich, Kirti Kulhari, Kay Kay Menon, Medha Shankar, Siddharth Tripathy",,,Disney+ Hotstar,,2021 Indian Hindi-Language Drama Musical
Sherni,2021,https://en.wikipedia.org/wiki/Sherni_(2021_film),Sherni,Amit V. Masurkar,Vidya Balan,,,Amazon Prime Video,,Is A 2021 Indian Hindi-Language Thriller
Rajnigandha,2021,https://en.wikipedia.org/wiki/14_Phere,14 Phere,Devanshu Singh,"Vikrant Massey, Kriti Kharbanda",,,ZEE5,Zee Studios,21 Indian Hindi-Language Romantic Comedy
Haseen Dillruba,2021,https://en.wikipedia.org/wiki/Haseen_Dillruba,Haseen Dillruba,Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane",,,Netflix,,Indian Hindi-Language Romantic Thriller
Kal Hamara Hai,2021,https://en.wikipedia.org/wiki/Kal_Hamara_Hai_(film),Kal Hamara Hai,S. K. Prabhakar,"Madhubala, Bharat Bhushan",,,,Ranjit Studios,Is A 1959 Bollywood Social Drama
State of Siege: Temple Attack,2021,https://en.wikipedia.org/wiki/State_of_Siege:_Temple_Attack,State of Siege: Temple Attack,Ken Ghosh,"Akshaye Khanna, Abhimanyu Singh, Gautam Rode, Vivek Dahiya, Akshay Oberoi, Abhilash Chaudhary, Chandan Roy, Shivam Bhaargava",,,ZEE5,Contiloe Pictures,21 Indian Hindi-Language Action Thriller
Collar Bomb,2021,https://en.wikipedia.org/wiki/Collar_Bomb_(film),Collar Bomb,Dnyanesh Zoting,"Jimmy Sheirgill, Sparsh Srivastav, Rajshri Deshpande, Asha Negi, Ajit Singh Palawat, Naman Jain",,,Disney+ Hotstar,Yoodlee films,21 Indian Hindi-Language Action Thriller
Toofaan,2021,https://en.wikipedia.org/wiki/Toofaan,Toofaan,Rakeysh Omprakash Mehra,"Farhan Akhtar, Paresh Rawal, Mrunal Thakur, Hussain Dalal, Supriya Pathak, Mohan Agashe",,,Amazon Prime Video,,2021 Indian Hindi-Language Sports Drama
Hungama 2,2021,https://en.wikipedia.org/wiki/Hungama_2,Hungama 2,Priyadarshan,"Paresh Rawal, Shilpa Shetty, Meezaan Jafri, Pranitha Subhash",,,Disney+ Hotstar,Venus Worldwide Entertainment,21 Indian Hindi-Language Romantic Comedy
14 Phere,2021,https://en.wikipedia.org/wiki/14_Phere,14 Phere,Devanshu Singh,"Vikrant Massey, Kriti Kharbanda",,,ZEE5,Zee Studios,21 Indian Hindi-Language Romantic Comedy
Mimi,2021,https://en.wikipedia.org/wiki/Mimi_(2021_Hindi_film),Mimi,Laxman Utekar,"Kriti Sanon, Pankaj Tripathi, Sai Tamhankar",,,JioCinemaNetflix,,2021 Indian Hindi-Language Comedy Drama
"World, Zombied.",2021,https://en.wikipedia.org/wiki/Zombie_Reddy,Zombie Reddy,Prasanth Varma,"Teja Sajja, Anandhi, Daksha Nagarkar",₹40 million ,₹120 million ,Geetha ArtsSiily Monks,Apple Trees Studios,Telugu-Language Horror Crime Thriller
Dial 100,2021,https://en.wikipedia.org/wiki/Dial_100_(2021_film),Dial 100,Rensil D'Silva,"Manoj Bajpayee, Neena Gupta, Sakshi Tanwar",,,ZEE5,,021 Indian Hindi-Language Thriller Drama
Oye Mamu!,2021,https://en.wikipedia.org/wiki/Oye_Mamu!,Oye Mamu!,Vikram Singh,"Ruslaan Mumtaz, Kulraj Randhawa, Asrani, Gulshan Grover, Tiku Talsania, Mohit Daga",,,BookMyShow Stream,Fourth Wall Entertainment,2021 Indian Hindi-Language Family Comedy
Shershaah,2021,https://en.wikipedia.org/wiki/Shershaah,Shershaah,Vishnuvardhan,"Sidharth Malhotra, Kiara Advani",,,Amazon Prime Video,,Biographical War Drama
Bhuj: The Pride of India,2021,https://en.wikipedia.org/wiki/Bhuj:_The_Pride_of_India,Bhuj: The Pride of India,Abhishek Dudhaiya,"Ajay Devgn, Sanjay Dutt, Sharad Kelkar, Sonakshi Sinha, Ammy Virk, Nora Fatehi, Ihana Dhillon",,,Disney+ Hotstar,,Ndia Is A 2021 Indian Hindi-Language War
Sitapur: The City of Gangsters,2021,https://en.wikipedia.org/wiki/Sitapur_the_City_of_Gangster,Sitapur The City Of Gangster,Mobeen Warsi,"Ravi Sudha Choudhary, Anchal Pandey, Anil Rastogi",,,,Rudransh Entertainment,City Of Gangster Is A 2021 Indian Hindi
Balli 1984,2021,https://en.wikipedia.org/wiki/Mohammed_Zeeshan_Ayyub,Mohammad Zeeshan Ayyub,,,,,,,Is An Indian Actor Who Appears In Hindi
Bell Bottom,2021,https://en.wikipedia.org/wiki/Bell_Bottom_(2021_film),Bell Bottom,Ranjit M. Tewari,"Akshay Kumar, Vaani Kapoor, Lara Dutta",₹150 crore ,est. ₹50.58 crore ,Pen Marudhar Entertainment,,21 Indian Hindi-Language Action Thriller
200: Halla Ho,2021,https://en.wikipedia.org/wiki/200_Halla_Ho,200 Hallo Ho,Alok BatraSarthak Dasgupta,"Amol Palekar, Barun Sobti, Rinku Rajguru, Flora Saini, Indraneil Sengupta, Upendra Limaye, Saloni Batra, Vinay Hake, Sahana Vasudevan",,,ZEE5,Yoodlee films,021 Indian Hindi-Language Crime Thriller
The Darling Wife,2021,https://en.wikipedia.org/wiki/Darlings_(film),Darlings,Jasmeet K. Reen,"Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew",,,Netflix,,2022 Indian Hindi-Language Black Comedy
Chehre,2021,https://en.wikipedia.org/wiki/Chehre,Chehre,Rumi Jaffery,"Amitabh Bachchan, Emraan Hashmi, Krystle D'Souza, Siddhanth Kapoor, Annu Kapoor, Alexx O'Nell, Samir Soni, Raghubir Yadav, Dhritiman Chatterjee, Rhea Chakraborty",₹25 crore ,₹8.26 crore ,Pen Marudhar Entertainment,,1 Indian Hindi-Language Mystery Thriller
Social Mandiya,2021,https://en.wikipedia.org/wiki/Shannon_K,Shannon K,,,,,,,H American Actor Ryan Kelley And A Short
The Interview: Night of 26/11,2021,https://en.wikipedia.org/wiki/The_Interview_(2021_film),The Interview,Laurence Postma,"Anjum Nayar, Jackie Shroff",,,,,Is A 2021 Indian Hindi-Language Thriller
Helmet,2021,https://en.wikipedia.org/wiki/Helmet_(film),Helmet,Satram Ramani,"Aparshakti Khurana, Pranutan Bahl, Abhishek Banerjee, Ashish Verma, Sharib Hashmi",,,ZEE5,,T Is A 2021 Indian Hindi-Language Comedy
Faactory,2021,https://en.wikipedia.org/wiki/Faactory_(2021_film),Faactory,Faisal Khan,"Faisal Khan, Rajkumar Kanojia, Roaleey Ryan",,,,,Ory Is An Indian  Psychological Thriller
Bhoot Police,2021,https://en.wikipedia.org/wiki/Bhoot_Police,Bhoot Police,Pavan Kirpalani,"Saif Ali Khan, Arjun Kapoor, Jacqueline Fernandez, Yami Gautam, Javed Jaffrey",₹40 crores ,,Disney+ Hotstar,,2021 Indian Hindi-Language Horror Comedy
Urf Ghanta,2021,https://en.wikipedia.org/wiki/Urf_Ghanta,Urf Ghanta,Aayush Saxena,"Jitu Shivhare, Mukesh S. Bhatt, Pamela Singh Bhutoria, Samridhi Chandola, Ram Naresh Diwakar, Rajendra Gupta, Mohan Kapur, Ravi Kishan, Sunita Rajwar, Chitrashi Rawat",,,ShemarooMe[1],,Urf Ghanta Is A 2021 Indian Hindi Comedy
Ankahi Kahaniya,2021,https://en.wikipedia.org/wiki/Ankahi_Kahaniya,Ankahi Kahaniya,Abhishek ChaubeySaket ChaudharyAshwiny Iyer Tiwari,"Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",,,Netflix,,S A 2021 Indian Hindi-Language Anthology
Shiddat,2021,https://en.wikipedia.org/wiki/Shiddat,Shiddat,Kunal Deshmukh,"Sunny Kaushal, Radhika Madan, Mohit Raina, Diana Penty",,,Disney+ Hotstar,,021 Indian Hindi-Language Romantic Drama
Bhavai,2021,https://en.wikipedia.org/wiki/Bhavai_(film),Bhavai,Hardik Gajjar,"Pratik Gandhi, Aindrita Ray",,,,,Is A 2021 Indian Hindi-Language Romance
Sumeru,2021,https://en.wikipedia.org/wiki/Sumeru_(film),Sumeru,Avinash Dhyani,"Avinash Dhyani, Sanskriti Bhatt, Shagufta Ali",,,,Padmasiddhi Films,Sumeru Is A 2021 Indian Hindi-Language
Black Coffee,2021,https://en.wikipedia.org/wiki/Black_Coffee_(2021_film),Black Coffee,Baburaj,"Baburaj, Lal, Sunny Wayne, Oviya, Shwetha Menon",,,Vishwadeepti films,,1 Indian Malayalam-Language Comedy-Drama
Manasvi,2021,https://en.wikipedia.org/wiki/Manasvi_Kottachi,Manasvi Kottachi,,,,,,,Indian Child Actress Who Works In Tamil
The Rapist,2021,https://en.wikipedia.org/wiki/The_Rapist,The Rapist,Aparna Sen,"Konkona Sen Sharma, Arjun Rampal, Tanmay Dhanania",,,,,The Rapist Is A 2021 Indian Hindi Drama
Sardar Udham,2021,https://en.wikipedia.org/wiki/Sardar_Udham,Sardar Udham,Shoojit Sircar,Vicky Kaushal,,,Amazon Prime Video,,Language Biographical Historical Drama
Rashmi Rocket,2021,https://en.wikipedia.org/wiki/Rashmi_Rocket,Rashmi Rocket,Akarsh Khurana,"Taapsee Pannu, Priyanshu Painyuli, Abhishek Banerjee",,,ZEE5,,2021 Indian Hindi-Language Sports Drama
Sanak,2021,https://en.wikipedia.org/wiki/Sanak,Sanak,Kanishk Varma,"Vidyut Jammwal, Rukmini Maitra, Neha Dhupia, Chandan Roy Sanyal",,,Disney+ Hotstar,,21 Indian Hindi-Language Action Thriller
Babloo Bachelor,2021,https://en.wikipedia.org/wiki/Babloo_Bachelor,Babloo Bachelor,Agnidev Chatterjee,"Sharman Joshi, Pooja Chopra, Tejashri Pradhan",,,JAI VIRATRA ENTERTAINMENT LIMITED ( MANOJ NANDWANA ),Rafat Films,Bachelor Is A 2021 Indian Hindi-Language
Hum Do Hamare Do,2021,https://en.wikipedia.org/wiki/Hum_Do_Hamare_Do,Hum Do Hamare Do,Abhishek Jain,"Rajkummar Rao, Kriti Sanon, Paresh Rawal, Ratna Pathak Shah",,,Disney+ Hotstar,Maddock Originals,Is A 2021 Indian Hindi-Language Comedy
Aafat-e-Ishq,2021,https://en.wikipedia.org/wiki/Aafat-E-Ishq,Aafat-e-Ishq,Indrajit Nattoji,"Neha Sharma, Deepak Dobriyal, Namit Das",,,ZEE5,Zee Studios,2021 Indian Hindi-Language Black Comedy
Bekhudi,2021,https://en.wikipedia.org/wiki/Bekhudi_(2021_film),Bekhudi,Amit Kasaria,"Adhyayan Suman, Angel",,,,,Indian Hindi-Language Romantic Thriller
Sooryavanshi,2021,https://en.wikipedia.org/wiki/Sooryavanshi,Sooryavanshi,Rohit Shetty,"Akshay Kumar, Katrina Kaif, Jackie Shroff, Ajay Devgn, Ranveer Singh",₹ 160 crore ,est. ₹294.91 crore ,PVR Pictures,,2021 Indian Hindi-Language Action Drama
Meenakshi Sundareshwar,2021,https://en.wikipedia.org/wiki/Meenakshi_Sundareshwar,Meenakshi Sundareshwar,Vivek Soni,"Sanya Malhotra, Abhimanyu Dassani",,,Netflix,Dharmatic Entertainment,21 Indian Hindi-Language Romantic Comedy
Tryst with Destiny,2021,https://en.wikipedia.org/wiki/Jaideep_Ahlawat,Jaideep Ahlawat,,,,,,,Actor Known For His Work In Hindi
Bunty Aur Babli 2,2021,https://en.wikipedia.org/wiki/Bunty_Aur_Babli_2,Bunty Aur Babli 2,Varun V. Sharma,"Saif Ali Khan, Rani Mukerji, Siddhant Chaturvedi, Sharvari, Pankaj Tripathi",₹45 crore ,₹22.12 crore ,Yash Raj Films,Yash Raj Films,2021 Indian Hindi-Language Crime Comedy
Dhamaka,2021,https://en.wikipedia.org/wiki/Dhamaka_(2021_film),Dhamaka,Ram Madhvani,"Kartik Aaryan, Mrunal Thakur, Amruta Subhash",,,Netflix[2],,Is A 2021 Indian Hindi-Language Thriller
