title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Jurmana,1979,https://en.wikipedia.org/wiki/Jurmana_(1979_film),Jurmana,Hrishikesh Mukherjee,"Amitabh Bachchan, Raakhee, Vinod Mehra",,,,,Is A 1979 Hindi Romantic Drama
Kartavya,1979,https://en.wikipedia.org/wiki/Kartavya_(1979_film),Kartavya,Mohan Sehgal,"Dharmendra, Rekha, Vinod Mehra, Nirupa Roy, Aruna Irani, Ranjeet, Utpal Dutt, Suresh Oberoi",,,,Delux Films,1979 Indian Hindi-Language Action Drama
Meera,1979,https://en.wikipedia.org/wiki/Meera_(1979_film),Meera,Gulzar,"Hema Malini, Vinod Khanna, Shreeram Lagoo, Shammi Kapoor, Dina Pathak, Vidya Sinha, Bharat Bhushan, Amjad Khan",,,Suchitra International,,Meera Is A 1979 Hindi Language
Jaani Dushman,1979,https://en.wikipedia.org/wiki/Jaani_Dushman,Jaani Dushman,Rajkumar Kohli,"Sunil Dutt, Sanjeev Kumar, Jeetendra, Shatrughan Sinha, Reena Roy, Rekha, Neetu Singh, Vinod Mehra, Bindiya Goswami",₹ 13 million ,₹ 90 million ,,Shankar Movies,Is A 1979 Indian Hindi-Language Horror
Mr. Natwarlal,1979,https://en.wikipedia.org/wiki/Mr._Natwarlal,Mr. Natwarlal,Rakesh Kumar,"Amitabh Bachchan, Rekha, Ajit, Kader Khan, Amjad Khan",,,,Navjeevan Productions,Lal Is A 1979 Indian Hindi Action Comedy
Surakksha,1979,https://en.wikipedia.org/wiki/Surakksha,Surakksha,Raveekant Nagaich,"Mithun Chakravorty, Ranjeeta",,,Kailash Pictures Circuit,,Is A 1979 Hindi- Language
Gopal Krishna,1979,https://en.wikipedia.org/wiki/Gopal_Krishna_(1979_film),Gopal Krishna,Vijay Sharma,"Sachin, Zarina Wahab",,,,Rajshri Productions,Gopal Krishna Is A 1979 Hindi Fantasy
Khandaan,1979,https://en.wikipedia.org/wiki/Khandaan_(1979_film),Khandaan,Anil Ganguly,"Jeetendra, Sulakshana Pandit, Rakesh Roshan, Bindiya Goswami",,,,New World Enterprises,Is A 1979 Indian Hindi-Language Drama
Griha Pravesh,1979,https://en.wikipedia.org/wiki/Griha_Pravesh_(1979_film),Griha Pravesh,Basu Bhattacharya,"Sanjeev Kumar, Sharmila Tagore, Sarika",,,,,Is A 1979 Indian Hindi-Language Drama
Duniya Meri Jeb Mein,1979,https://en.wikipedia.org/wiki/Duniya_Meri_Jeb_Mein,Duniya Meri Jeb Mein,Tinnu Anand,"Shashi Kapoor, Rishi Kapoor, Neetu Singh, Ranjeet",,,,,Is A 1979 Indian Hindi-Language Action
Raadha Aur Seeta,1979,https://en.wikipedia.org/wiki/Raadha_Aur_Seeta,Raadha Aur Seeta,Vijay Kapoor,,,,,,Adha Aur Seeta Is A 1979 Bollywood Drama
Kaala Patthar,1979,https://en.wikipedia.org/wiki/Kaala_Patthar,Kaala Patthar,Yash Chopra,"Shashi Kapoor, Amitabh Bachchan, Rakhee Gulzar, Shatrughan Sinha, Parveen Babi, Neetu Singh, Prem Chopra, Mac Mohan",,,Yash Raj Films,,79 Indian Hindi-Language Action Thriller
Bin Phere Hum Tere,1979,https://en.wikipedia.org/wiki/Bin_Phere_Hum_Tere,Bin Phere Hum Tere,Rajat Rakshit,"Asha Parekh, Vinod Mehra",,,,,Is A 1979 Bollywood Drama
