title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Duniya Ka Mela,1974,https://en.wikipedia.org/wiki/Duniya_Ka_Mela,Duniya Ka Mela,Kundan Kumar,"Sanjay Khan, Rekha",,,,,Is A 1974 Indian Hindi-Language Drama
Parinay,1974,https://en.wikipedia.org/wiki/Parinay,Parinay,Kantilal Rathod,"Romesh Sharma, Shabana Azmi, Asha Sachdev, Dinesh Thakur, Preeti Ganguly, T.P. Jain",,,,,Is A 1974 Indian Hindi-Language
Hanuman Vijay,1974,https://en.wikipedia.org/wiki/Hanuman_Vijay,Hanuman Vijay,Babubhai Mistri,,,,,,Hanuman Vijay Is A 1974 Bollywood
Prem Shastra,1974,https://en.wikipedia.org/wiki/Prem_Shastra,Prem Shastra,B. R. Ishara,"Dev Anand, Zeenat Aman, Bindu",,,Nalanda Pictures,Nalanda Pictures,Is A 1974 Indian Hindi-Language
Jadu Ka Shankh,1974,https://en.wikipedia.org/wiki/Jadu_Ka_Shankh,Jadu Ka Shankh,Sai Paranjapye,,,,,,Jadu Ka Shankh Is A 1974 Bollywood Drama
Jeevan Sangram,1974,https://en.wikipedia.org/wiki/Jeevan_Sangram,Jeevan Sangram,Rajbans Khanna,"Shashi Kapoor, Radha Saluja, Padma Khanna",,,,,Is A 1974 Indian Hindi-Language Drama
Goonj,1974,https://en.wikipedia.org/wiki/Goonj_(1974_film),Goonj,S. U. Sayeed,"Rakesh Roshan, Reena Roy, Mahendra Sandhu",,,,,Is A 1974 Bollywood Suspense Thriller
Maa Bahen Aur Biwi,1974,https://en.wikipedia.org/wiki/Maa_Bahen_Aur_Biwi,Maa Bahen Aur Biwi (1974 film),Harbans Kumar,,,,,,Bahen Aur Biwi Is A 1974 Bollywood Drama
Balak Dhruv,1974,https://en.wikipedia.org/wiki/Balak_Dhruv,Balak Dhruv,Himmat Dave,,,,,,Balak Dhruv Is A 1974 Bollywood Drama
Faslah,1974,https://en.wikipedia.org/wiki/Faslah,Faslah,Khwaja Ahmad Abbas,Raman Khanna,,,,,Faslah Is A 1974 Bollywood Drama
Apne Rang Hazaar,1975,https://en.wikipedia.org/wiki/Apne_Rang_Hazaar,Apne Rang Hazaar,Ravi Tandon,"Sanjeev Kumar, Leena Chandavarkar",,,,,Pne Rang Hazaar Is A 1975 Hindi-Language
Vardaan,1975,https://en.wikipedia.org/wiki/Vardaan,Vardaan,Arun Bhatt,"Vinod Mehra, Reena Roy, Mehmood, Om Prakash",,,,,The
Toofan Aur Bijlee,1975,https://en.wikipedia.org/wiki/Toofan_Aur_Bijlee,Toofan Aur Bijlee,Homi Wadia,"Zaheera, Mohan Choti, Imtiaz Khan, Arvind Kumar",,,,Basant Studios,Is A 1975 Hindi Action
Mere Sartaj,1975,https://en.wikipedia.org/wiki/Mere_Sartaj,Mere Sartaj,Abdul Rashid Kardar,"Nazir Hussain, Alka",,,,,Mere Sartaj Is A 1975 Bollywood
Warrant,1975,https://en.wikipedia.org/wiki/Warrant_(film),Warrant,Pramod Chakravorty,"Dev Anand, Zeenat Aman, Dara Singh, Pran, Ajit",,,,,Warrant Is A 1975 Hindi-Language
Anari,1975,https://en.wikipedia.org/wiki/Anari_(1975_film),Anari,Asit Sen,"Shashi Kapoor, Sharmila Tagore, Moushumi Chatterjee, Kabir Bedi, Kader Khan",,,,,Anari Is A 1975 Hindi-Language Romance
Deewaar,1975,https://en.wikipedia.org/wiki/Deewaar,Deewaar,Yash Chopra,"Shashi Kapoor, Amitabh Bachchan, Nirupa Roy, Neetu Singh, Parveen Babi, Iftekhar, Madan Puri, Satyen Kappu, Manmohan Krishna",,,,Trimurti Films Pvt. Ltd.,Is A 1975 Indian Action Crime
Aandhi,1975,https://en.wikipedia.org/wiki/Aandhi,Aandhi,Gulzar,"Sanjeev Kumar, Suchitra Sen",,,,,Is A 1975 Indian Political Drama
Julie,1975,https://en.wikipedia.org/wiki/Julie_(1975_film),Julie,K. S. Sethumadhavan,"Lakshmi, Vikram Makandar",,,Vijaya Productions,Vijaya Productions,975 Indian Hindi-Language Romantic Drama
Amanush,1975,https://en.wikipedia.org/wiki/Amanush_(1974_film),Amanush,Shakti Samanta,"Uttam Kumar, Sharmila Tagore, Utpal Dutt, Anil Chatterjee",,,Shakti Films,Shakti Films,Is A 1974 Indian Bilingual Action
Zameer,1975,https://en.wikipedia.org/wiki/Zameer_(1975_film),Zameer,Ravi Chopra,"Shammi Kapoor, Saira Banu, Amitabh Bachchan",,,B. R. Films,,Is A 1975 Hindi Action-Drama
Anokha,1975,https://en.wikipedia.org/wiki/Anokha,Anokha,Jugal Kishore,"Shatrughan Sinha, Zarina Wahab, A.K. Hangal, Jeevan",,,,,Ha Is A 1975 Hindi-Language Action Drama
Andhera,1975,https://en.wikipedia.org/wiki/Andhera,Andhera,Tulsi RamsayShyam Ramsay,Sameer Khan,,,,Ramsay Films,Is A 1975 Indian Horror
Chupke Chupke,1975,https://en.wikipedia.org/wiki/Chupke_Chupke_(film),Chupke Chupke,Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bhaduri, Om Prakash",,,Shemaroo Entertainment,Rupam Chitra,Indian Hindi-Language Romantic-Comedy
Chori Mera Kaam,1975,https://en.wikipedia.org/wiki/Chori_Mera_Kaam,Chori Mera Kaam,Brij Sadanah,"Ashok Kumar, Shashi Kapoor, Zeenat Aman, Pran",,,,,Is A 1975 Bollywood Comedy
Khushboo,1975,https://en.wikipedia.org/wiki/Khushboo_(1975_film),Khushboo,Gulzar,"Jeetendra, Hema Malini",,,,Tirupati Pictures,Is A 1975 Hindi-Language Drama
Aakraman,1975,https://en.wikipedia.org/wiki/Aakraman,Aakraman,J. Om Prakash,"Ashok Kumar, Sanjeev Kumar, Rakesh Roshan, Rekha, Mumtaz Shanti",,,,,Is A 1975 Indian Hindi Language War
Zakhmee,1975,https://en.wikipedia.org/wiki/Zakhmee,Zakhmee translationhindi(wounded),Raja Thakur,"Sunil Dutt, Asha Parekh, Rakesh Roshan, Reena Roy, Tariq, Helen, Johnny Walker",,,,,The
Qaid,1975,https://en.wikipedia.org/wiki/Qaid_(film),Qaid,Atma Ram,"Vinod Khanna, Leena Chandavarkar, Kamini Kaushal",,,,,Qaid Is A 1975 Hindi Thriller Drama
Jai Santoshi Maa,1975,https://en.wikipedia.org/wiki/Jai_Santoshi_Maa,Jai Santoshi Maa,Vijay Sharma,"Kanan Kaushal, Bharat Bhushan, Ashish Kumar, Anita Guha, Trilok Kapoor, Kabbir Khan",₹ 2.5 million ,₹ 50 million ,Bhagyalakshmi Chitra Mandir,Bhagyalakshmi Chitra Mandir,A 1975 Indian Hindi-Language Devotional
Mili,1975,https://en.wikipedia.org/wiki/Mili_(1975_film),Mili,Hrishikesh Mukherjee,"Amitabh Bachchan, Jaya Bachchan, Ashok Kumar, Asrani, Aruna Irani, Parikshat Sahni, Suresh Chatwal",,,,Mohan Studios,975 Indian Hindi-Language Romantic Drama
Pratiggya,1975,https://en.wikipedia.org/wiki/Pratigya_(1975_film),Pratiggya,Dulal Guha,"Dharmendra, Hema Malini",,,Bikramjeet Films InternationalDigital Entertainment,,1975 Indian Hindi-Language Action Comedy
Geet Gaata Chal,1975,https://en.wikipedia.org/wiki/Geet_Gaata_Chal,Geet Gaata Chal,Hiren Nag,"Sachin, Sarika, Madan Puri",,,Rajshri Productions,,Is A 1975 Indian Hindi
Ek Mahal Ho Sapno Ka,1975,https://en.wikipedia.org/wiki/Ek_Mahal_Ho_Sapno_Ka,Ek Mahal Ho Sapno Ka,Devendra Goel,"Ashok Kumar, Dharmendra, Sharmila Tagore, Leena Chandavarkar, Deven Verma",,,,,Is A 1975 Indian Hindi-Language Drama
Dharmatma,1975,https://en.wikipedia.org/wiki/Dharmatma,Dharmatma,Feroz Khan,"Feroz Khan, Hema Malini, Rekha, Nazir Hussain, Premnath, Imtiaz Khan, Farida Jalal, Ranjeet, Danny Denzongpa, Madan Puri, Iftekhar, Dara Singh",,₹ 2.5 crore,,,Is A 1975 Indian Hindi-Language Thriller
Kaala Sona,1975,https://en.wikipedia.org/wiki/Kaala_Sona,Kaala Sona,Ravikant Nagaich,"Feroz Khan, Parveen Babi, Prem Chopra, Danny Denzongpa",,,,,Is A 1975 Hindi-Language Curry Western
Rani Aur Lalpari,1975,https://en.wikipedia.org/wiki/Rani_Aur_Lalpari,Rani Aur Lalpari,Ravikant Nagaich,"Rajendra Kumar, Asha Parekh, Baby Raani, Reena Roy",,,,Guru Enterprising Movies,S Fantasy
Sholay,1975,https://en.wikipedia.org/wiki/Sholay,Sholay,Ramesh Sippy,"Dharmendra, Sanjeev Kumar, Hema Malini, Amitabh Bachchan, Jaya Bhaduri, Amjad Khan",₹ 30 million ,est. ₹350 million (India) ,Sippy Films,,Is A 1975 Indian Epic Action-Adventure
Nishant,1975,https://en.wikipedia.org/wiki/Nishant_(film),Nishant,Shyam Benegal,"Girish Karnad, Shabana Azmi, Anant Nag, Amrish Puri, Smita Patil, Naseeruddin Shah",,,,,Is A 1975 Hindi Drama
Chaitali,1975,https://en.wikipedia.org/wiki/Chaitali_(film),Chaitali,Hrishikesh Mukherjee,"Dharmendra, Saira Banu, Pradeep Kumar",,,,,Chaitali  Is A 1975 Hindi
Zinda Dil,1975,https://en.wikipedia.org/wiki/Zinda_Dil,Zinda Dil,Sikandar Khanna,"Rishi Kapoor, Neetu Singh",,,,,Zinda Dil Is A 1975 Bollywood
Apne Dushman,1975,https://en.wikipedia.org/wiki/Apne_Dushman,Apne Dushman,Kailash Bandari,"Dharmendra, Sanjeev Kumar",,,,Jeetendra Enterprises,Apne Dushman Is A 1975 Bollywood Drama
Faraar,1975,https://en.wikipedia.org/wiki/Faraar_(1975_film),Faraar (1975),Shankar Mukherjee,"Amitabh Bachchan, Sharmila Tagore, Sanjeev Kumar",,,Alankar ChitraTrimurti Films Pvt. Ltd.,,Is A 1975 Bollywood Crime
Dharam Karam,1975,https://en.wikipedia.org/wiki/Dharam_Karam,Dharam Karam,Randhir Kapoor,"Raj Kapoor, Randhir Kapoor, Rekha, Dara Singh, Jagdish Raj",,,R.K. Films Ltd.Yash Raj Films,,Dharam Karam Is A 1975 Hindi Drama
Mausam,1975,https://en.wikipedia.org/wiki/Mausam_(1975_film),Mausam,Gulzar[1],"Sharmila Tagore, Sanjeev Kumar, Dina Pathak, Om Shivpuri, Satyen Kappu, C.S.Dubey, Lily Chakravarty",,,,,75 Indian Hindi-Language Musical Romance
Sanyasi,1975,https://en.wikipedia.org/wiki/Sanyasi_(1975_film),Sanyasi,Sohanlal Kanwar,"Manoj Kumar, Hema Malini, Premnath, Prem Chopra",,,Filmnagar,Filmnagar,Is A 1975 Hindi
Ponga Pandit,1975,https://en.wikipedia.org/wiki/Ponga_Pandit,Ponga Pandit,Prayag Raj,"Randhir Kapoor, Neeta Mehta, Danny Denzongpa",,,,,The
Uljhan,1975,https://en.wikipedia.org/wiki/Uljhan,Uljhan,Raghunath Jhalani,"Ashok Kumar, Sanjeev Kumar, Sulakshana Pandit, Ranjeet",,,,,Is A 1975 Hindi Suspense Thriller
Saazish,1975,https://en.wikipedia.org/wiki/Saazish_(1975_film),Saazish,Kalidas J,"Dharmendra, ,, Saira Banu",,,Maya Movietone,,Saazish Is A 1975 Bollywood Action
Prem Kahani,1975,https://en.wikipedia.org/wiki/Prem_Kahani_(1975_film),Prem Kahani,Raj Khosla,"Shashi Kapoor, Rajesh Khanna, Mumtaz",,,,Khosla Enterprises,Is A 1975 Indian Hindi-Language
Kaagaz Ki Nao,1975,https://en.wikipedia.org/wiki/Kaagaz_Ki_Nao,Kaagaz Ki Nao,B. R. Ishara,,,,,,Kaagaz Ki Nao Is A 1975 Bollywood
Mazaaq,1975,https://en.wikipedia.org/wiki/Mazaaq,Mazaaq,Haidar Ali,"Vinod Mehra, Moushumi Chatterjee, Aruna Irani, Mehmood",,,,,Mazaaq Is A 1975 Bollywood Comedy
Himalay Se Ooncha,1975,https://en.wikipedia.org/wiki/Himalay_Se_Ooncha,Himalay Se Ooncha,B.S. Thapa,Sunil Dutt,,,,,Is A 1975 Indian Hindi-Language Action
Sunehra Sansar,1975,https://en.wikipedia.org/wiki/Sunehra_Sansar,Sunehra Sansar,Adurthi Subba Rao,"Rajendra Kumar, Mala Sinha, Hema Malini",,,,,Sunehra Sansar Is A 1975 Bollywood
Raaja,1975,https://en.wikipedia.org/wiki/Raaja,Raaja,K. Shankar,"Rishi Kapoor, Sulakshana Pandit, Prem Chopra, Asrani, Aruna Irani, David Abraham Cheulkar, Swaraj Kumar Gupta, Jagdeep, Shashi Kiran, Om Prakash, Ghanshyam Rohera",,,,,Raaja Is A 1975 Indian Bollywood
Dhoti Lota Aur Chowpatty,1975,https://en.wikipedia.org/wiki/Dhoti_Lota_Aur_Chowpatty,Dhoti Lota Aur Chowpatty,Mohan Choti,Nazir Hussain,,,,,Aur Chowpatty Is A 1975 Bollywood Comedy
Sankalp,1975,https://en.wikipedia.org/wiki/Sankalp,Sankalp,Ramesh Saigal,"Sulakshana Pandit, Bipin Gupta, Farida Jalal",,,,,Sankalp Is A 1975 Bollywood Drama
