title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Uttar Dakshin,1987,https://en.wikipedia.org/wiki/Uttar_Dakshin,Uttar Dakshin,Prabhat Khanna,"Rajnikanth, Jackie Shroff, Madhuri Dixit, Bharathi",,,,,Is A 1987 Hindi-Language Action Drama
Param Dharam,1987,https://en.wikipedia.org/wiki/Param_Dharam,Param Dharam,Swaroop Kumar,"Mithun Chakraborty, Mandakini, Divya Rana, Amrish Puri",,,,,M Dharam Is A 1987 Indian Hindi-Language
Aaj,1987,https://en.wikipedia.org/wiki/Aaj_(film),Aaj,Mahesh Bhatt,"Smita Patil, Kumar Gaurav, Raj Babbar, Raj Kiran",,,,Vishesh Films,Is A 1987 Indian Hindi-Language
Himmat Aur Mehanat,1987,https://en.wikipedia.org/wiki/Himmat_Aur_Mehanat,Himmat Aur Mehanat,K. Bapaiah,"Shammi Kapoor, Jeetendra, Sridevi",,,,Brar Productions,Is A 1987 Indian Hindi-Language Drama
Insaf Ki Pukar,1987,https://en.wikipedia.org/wiki/Insaf_Ki_Pukar,Insaf Ki Pukar,T. Rama Rao,"Dharmendra, Jeetendra, Anita Raj, Bhanupriya",,,,Shivkala Movies,Is A  1987 Indian Hindi-Language Action
Susman,1987,https://en.wikipedia.org/wiki/Susman_(film),Susman,Shyam Benegal,"Shabana Azmi, Om Puri, Kulbhushan Kharbanda",,,,,Is A 1987 Hindi
Superman,1987,https://en.wikipedia.org/wiki/Superman_(1987_film),Superman,B. Gupta,"Puneet Issar, Preeti Ganguli, Bob Christo, Sonia Sahni, Ranjeeta Kaur, Urmila Bhatt, Dharmendra",,,,Fine Art Pictures,S A 1987 Indian Hindi-Language Superhero
Khazana,1987,https://en.wikipedia.org/wiki/Khazana_(1987_film),Khazana,Harmesh Malhotra,"Randhir Kapoor, Rekha",,,,Subhash International,7 Indian Hindi-Language Action-Adventure
Apne Apne,1987,https://en.wikipedia.org/wiki/Apne_Apne,Apne Apne,Ramesh Behl,"Jeetendra, Rekha, Hema Malini",,,,Rose Movies[1],Is A 1987 Hindi-Language Drama
Aulad,1987,https://en.wikipedia.org/wiki/Aulad_(1987_film),Auladऔलाद,Vijay Sadanah,"Jeetendra, Sridevi, Jaya Prada",,,,Sadanah Brothers[1],Is A 1987 Indian Hindi-Language Drama
Kalyug Aur Ramayan,1987,https://en.wikipedia.org/wiki/Kalyug_Aur_Ramayan,Kalyug Aur Ramayan,Babubhai Mistri,"Manoj Kumar, Madhavi, Rajiv Goswami, Prem Chopra, Om Prakash, Bindu, Satish Shah, Sonika Gill, Abhi Bhattacharya, Huma Khan, Urmila Bhatt, Parikshat Sahni",,,,,Is A 1987 Indian Hindi-Language Drama
Daku Hasina,1987,https://en.wikipedia.org/wiki/Daku_Hasina,Daku Hasina,Ashok Rao,"Zeenat Aman, Rakesh Roshan, Roshini, Raza Murad, Joginder",,,,,Daku Hasina Is A 1987 Bollywood Action
Inaam Dus Hazaar,1987,https://en.wikipedia.org/wiki/Inaam_Dus_Hazaar,Inaam Dus Hazaar,Jyotin Goel,"Sanjay Dutt, Meenakshi Sheshadri",,,,,Azaar Is A  1987 Bollywood Action Comedy
Mard Ki Zabaan,1987,https://en.wikipedia.org/wiki/Mard_Ki_Zabaan,Mard Ki Zabaan,K. Bapaiah,"Dharmendra, Jackie Shroff, Poonam Dhillon, Kimi Katkar",,,,Shree Shankar Productions,Rd Ki Zabaan  Is A 1987 Bollywood Action
Dil Tujhko Diya,1987,https://en.wikipedia.org/wiki/Dil_Tujhko_Diya,Dil Tujhko Diya,Rakesh Kumar,"Kumar Gaurav, Rati Agnihotri, Mala Sinha, Parikshit Sahni, Amrish Puri",,,,,Is A 1987 Indian Bollywood
Mera Yaar Mera Dushman,1987,https://en.wikipedia.org/wiki/Mera_Yaar_Mera_Dushman,Mera Yaar Mera Dushman,Anil Ganguly,"Rakesh Roshan, Mithun Chakraborty, Bindiya Goswami, Zarina Wahab",,,,,1987 Indian Hindi-Language Action Drama
Pyar Ki Jeet,1987,https://en.wikipedia.org/wiki/Pyar_Ki_Jeet_(1987_film),Pyar Ki Jeet,Sawan Kumar Tak,"Ashok Kumar, Shashi Kapoor, Vinod Mehra, Rekha",,,,,Pyar Ki Jeet Is A 1987 Indian Bollywood
Naam O Nishan,1987,https://en.wikipedia.org/wiki/Naam_O_Nishan,Naam O Nishan,Ajay Kashyap,"Sanjay Dutt, Amrita Singh",,,,,87 Indian Hindi-Language Action Thriller
Deewana Tere Naam Ka,1987,https://en.wikipedia.org/wiki/Deewana_Tere_Naam_Ka,Deewana Tere Naam Ka,Deepak Bahry,"Mithun Chakraborty, Vijayeta Pandit, Danny Denzongpa",,,,,Ka Is A 1987 Indian Hindi Romantic Drama
Honhaar Bachchey,1987,https://en.wikipedia.org/wiki/Mayur_Vyas,Mayur Vyas,,,,,,,Ce Actor Who Does Dubbing Into Hindi For
Mulzim,1988,https://en.wikipedia.org/wiki/Mulzim_(1988_film),Mulzim,K. S. R. Das,"Jeetendra, Shatrughan Sinha, Hema Malini, Amrita Singh, Kimi Katkar",,,,Padmalaya Studios,Is A 1988 Hindi-Language Action
Aurat Teri Yehi Kahani,1988,https://en.wikipedia.org/wiki/Aurat_Teri_Yehi_Kahani,Aurat Teri Yehi Kahani,Mohanji Prasad,"Raj Babbar, Meenakshi Seshadri",,,,,Is A 1988 Indian Hindi-Language
Bahaar,1988,https://en.wikipedia.org/wiki/Bahaar,Bahaar,Suraj Prakash,"Raj Kiran, Rupini",,,,,Bahaar Is A 1988 Indian Hindi-Language
Ghar Mein Ram Gali Mein Shyam,1988,https://en.wikipedia.org/wiki/Ghar_Mein_Ram_Gali_Mein_Shyam,Ghar Mein Ram Gali Mein Shyam,Subhash Sonik,"Govinda, Neelam",,,,,Is A 1988 Indian Hindi-Language
Hum Farishte Nahin,1988,https://en.wikipedia.org/wiki/Hum_Farishte_Nahin,Hum Farishte Nahin,Jatin Kumar,"Raj Babbar, Poonam Dhillon, Om Puri, Rameshwari, Kulbhushan Kharbanda, Amrish Puri",,,,,Te Nahin Is A 1988 Indian Hindi-Language
Sagar Sangam,1988,https://en.wikipedia.org/wiki/Sagar_Sangam,Sagar Sangam,Dulal Guha,"Raakhee, Asha Parekh, Shatrughan Sinha, Mithun Chakraborty, Padmini Kolhapure, Anita Raj, Nana Patekar, Johnny Walker, Prem Chopra, Utpal Dutt",,,,,Sagar Sangam Is A 1988 Hindi-Language
