title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Love Khichdi,2009,https://en.wikipedia.org/wiki/Love_Khichdi,Love Khichdi,Srinivas Bhashyam,"Randeep Hooda, Rituparna Sengupta, Sadha, Divya Dutta, Sonali Kulkarni, Riya Sen",,,,Pittie Group,09 Indian Hindi-Language Romantic Comedy
Daddy Cool: Join the Fun,2009,https://en.wikipedia.org/wiki/Daddy_Cool_(2009_Hindi_film),Daddy Cool,K. Murali Mohana Rao,"Sunil Shetty, Javed Jaffrey, Aftab Shivdasani, Aarti Chabria, Ashish Chaudhary, Kim Sharma, Sophie Choudry, Rajpal Yadav, Tulip Joshi, Chunky Pandey, Prem Chopra",,,BIG Pictures[1],,Is A 2009 Indian Hindi-Language Comedy
Well Done Abba!,2009,https://en.wikipedia.org/wiki/Well_Done_Abba,Well Done Abba,Shyam Benegal,"Boman Irani, Minissha Lamba, Ravi Kishan, Sammir Dattani",,,,,Is A 2010 Indian Political Satire Hindi
Aagey Se Right,2009,https://en.wikipedia.org/wiki/Aagey_Se_Right,Aagey Se Right,Indrajit Nattoji,"Shreyas Talpade, Kay Kay Menon, Mahie Gill, Shenaz Treasurywala, Shiv Panditt",,,UTV Motion Pictures,,Is A 2009 Indian Hindi-Language Comedy
Fox,2009,https://en.wikipedia.org/wiki/Fox_(film),Fox,Deepak Tijori,"Sunny Deol, Arjun Rampal, Udita Goswami, Sagarika Ghatge, Kurush Deboo, Vipul Gupta",,,Excel Entertainment,,Is A 2009 Indian Hindi-Language Thriller
Chintu Ji,2009,https://en.wikipedia.org/wiki/Chintu_Ji,Chintu Ji,Ranjit Kapoor,"Rishi Kapoor, Kulraj Randhawa, Priyanshu Chatterjee",,,Eros International,Kaleidoscope Entertainment,Chintu Ji Is A Bollywood
Baabarr,2009,https://en.wikipedia.org/wiki/Baabarr,Baabaarrr,Ashu Trikha,"Sohum Shah, Mithun Chakraborty, Urvashi Sharma, Mukesh Tiwari, Govind Namdeo, Om Puri",,,Ridhi Sidhi Films,,Baabarr Is A 2009 Gangster Hindi
Vaada Raha... I Promise,2009,https://en.wikipedia.org/wiki/Vaada_Raha,Vaada Raha,Samir Karnik,"Bobby Deol, Kangana Ranaut, Dwij Yadav, Atul Agnihotri",,,,,-Language
Aadmi Ki Aurat Aur Anya Kahaniya,2009,https://en.wikipedia.org/wiki/Manesh_Madhavan,Manesh Madhavan,,,,,,,He Graduated From
Dil Bole Hadippa!,2009,https://en.wikipedia.org/wiki/Dil_Bole_Hadippa!,Dil Bole Hadippa!,Anurag Singh[1],"Rani Mukerji, Shahid Kapoor, Sherlyn Chopra, Anupam Kher, Dalip Tahil",,₹ 46.12 crore ,,Yash Raj Films,2009 Indian Hindi-Language Sports Comedy
Wanted,2009,https://en.wikipedia.org/wiki/Wanted_(2009_film),Wanted,Prabhu Deva,"Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna, Mahesh Manjrekar",₹ 35 crore ,₹ 90.21 crore ,Sahara One Motion Pictures,,09 Indian Hindi-Language Action Thriller
Blue Oranges,2009,https://en.wikipedia.org/wiki/Blue_Oranges,Blue Oranges,Rajesh Ganguly[1],"Rajit Kapur, Harsh Chhaya, Aham Sharma, Rati Agnihotri",,,,,Oranges Is A 2009 Indian Hindi-Language
What's Your Raashee?,2009,https://en.wikipedia.org/wiki/What's_Your_Raashee?,What's Your Raashee?,Ashutosh Gowariker,"Harman Baweja, Priyanka Chopra",₹ 32 crore ,₹ 17 crore ,UTV Motion Pictures,,09 Indian Hindi-Language Romantic Comedy
Wake Up Sid,2009,https://en.wikipedia.org/wiki/Wake_Up_Sid,Wake Up Sid,Ayan Mukerji,"Ranbir Kapoor, Konkana Sen Sharma",₹ 18 crore ,₹ 47.10 crore ,UTV Motion Pictures,Dharma Productions,Coming-Of-Age Comedy-Drama
Do Knot Disturb,2009,https://en.wikipedia.org/wiki/Do_Knot_Disturb,Do Knot Disturb,David Dhawan,"Govinda, Sushmita Sen, Lara Dutta, Ritesh Deshmukh, Sohail Khan, Rajpal Yadav",,,BIG Pictures,Pooja Entertainment,Do Knot Disturb Is A 2009 Indian Comedy
Acid Factory,2009,https://en.wikipedia.org/wiki/Acid_Factory,Acid Factory,Suparn Verma,"Fardeen Khan, Irrfan Khan, Manoj Bajpayee, Dino Morea, Aftab Shivdasani, Dia Mirza, Danny Denzongpa",₹ 21 crore ,₹ 5.20 crore ,Mumbai Mantra,,09 Indian Hindi-Language Action Thriller
Blue,2009,https://en.wikipedia.org/wiki/Blue_(2009_film),Blue,Anthony D'Souza,"Sanjay Dutt, Akshay Kumar, Lara Dutta, Katrina Kaif, Zayed Khan, Rahul Dev",₹750 million ,₹639 million ,Shree Ashtavinayak Cine Vision,Shree Ashtavinayak Cine Vision,9 Indian Hindi-Language Action-Adventure
All the Best: Fun Begins,2009,https://en.wikipedia.org/wiki/All_the_Best:_Fun_Begins,All The Best: Fun Begins,Rohit Shetty,"Ajay Devgn, Sanjay Dutt, Fardeen Khan, Bipasha Basu, Mugdha Godse",₹ 41 crore ,₹ 61 crore ,Yash Raj Films,,S Is A 2009 Indian Hindi-Language Comedy
Main Aurr Mrs Khanna,2009,https://en.wikipedia.org/wiki/Main_Aurr_Mrs_Khanna,Main Aurr Mrs Khanna,Prem Soni,"Salman Khan, Kareena Kapoor, Sohail Khan",₹ 38 crore ,"₹ 14.60
 crore ",UTV Motion Pictures,,Is A 2009 Indian Romance
