title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Yamraaj,1998,https://en.wikipedia.org/wiki/Yamraaj,Yamraaj,Rajiv Babbar,"Mithun Chakraborty, Jackie Shroff, Mink",,,Aabha Films,,Yamraaj Is A 1998 Released Indian Action
Main Solah Baras Ki,1998,https://en.wikipedia.org/wiki/Main_Solah_Baras_Ki,Main Solah Baras Ki,Dev Anand,"Shaista Usta, Dev Anand, Jas Arora, Deepak Tijori, Neeru Bajwa, A. K. Hangal",,,,Navketan Films,Is A 1998 Hindi-Language
Barood,1998,https://en.wikipedia.org/wiki/Barood_(1998_film),Barood,Pramod Chakravorty,"Raakhee, Akshay Kumar, Raveena Tandon",₹5.50 crore ,₹8.59 crore ,,,Is A 1998 Indian Hindi-Language Masala
Gunda,1998,https://en.wikipedia.org/wiki/Gunda_(1998_film),Gunda,Kanti Shah,"Mithun Chakraborty, Mukesh Rishi, Ishrat Ali, Shakti Kapoor",,,Goldmines Telefilms,Maruti Films,Is A 1990 Indian Hindi-Language Action
Maharaja,1998,https://en.wikipedia.org/wiki/Maharaja_(1998_film),Maharaja,Anil Sharma,"Govinda, Manisha Koirala, Raj Babbar, Shakti Kapoor",₹ 5.75 crore ,₹ 11.22 crore ,Navchitra Productions,,Aharaja Is A 1998 Indian Hindi Superhero
Chhota Chetan,1998,https://en.wikipedia.org/wiki/Chetan_(name),,,,,,,,
Earth,1998,https://en.wikipedia.org/wiki/Earth_(1998_film),1947 Earth,Deepa Mehta,"Aamir Khan, Rahul Khanna, Nandita Das, Maia Sethna",,,,,1999 Indo-Canadian Period Romance Drama
Zulm-O-Sitam,1998,https://en.wikipedia.org/wiki/Zulm-O-Sitam,Zulm-O-Sitam,K. C. Bokadia,"Dharmendra, Shatrughan Sinha, Jaya Prada, Arjun, Madhoo, Mukesh Khanna, Danny Denzongpa",,,B. M. B. Pictures,,M Is A 1998 Indian Hindi-Language Action
Bandhan,1998,https://en.wikipedia.org/wiki/Bandhan_(1998_film),Bandhan,K. Murali Mohana RaoRajesh Malik,"Salman Khan, Rambha",₹ 5.75 crore ,₹ 21.45 crore ,Eros International,Siddhivinayak Creations,Romantic Drama Action
Kuch Kuch Hota Hai,1998,https://en.wikipedia.org/wiki/Kuch_Kuch_Hota_Hai,Kuch Kuch Hota Hai,Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji, Salman Khan, Sana Saeed",₹ 100 million ,est. ₹ 1.07 billion ,Yash Raj Films,Dharma Productions,Romantic Comedy-Drama
Bade Miyan Chote Miyan,1998,https://en.wikipedia.org/wiki/Bade_Miyan_Chote_Miyan_(1998_film),Bade Miyan Chote Miyan,David Dhawan,"Amitabh Bachchan, Govinda, Ramya Krishnan, Raveena Tandon, Paresh Rawal, Anupam Kher, Satish Kaushik, Sharat Saxena",₹12 crore ,₹ 35.21 crore (equivalent to ₹ 159 crore or US$19 million in 2023) ,,Pooja Entertainment,1998 Indian Hindi-Language Action Comedy
Hero Hindustani,1998,https://en.wikipedia.org/wiki/Hero_Hindustani,Hero Hindustani,Aziz Sejawal,"Arshad Warsi, Namrata Shirodkar, Kader Khan, Paresh Rawal",,,,,98 Indian Hindi-Language Romantic Comedy
Prem Aggan,1998,https://en.wikipedia.org/wiki/Prem_Aggan,Prem Aggan,Feroz Khan,"Fardeen Khan, Meghna Kothari, Anupam Kher",,₹6.05 crore ,,,Is A 1998 Indian Hindi-Language Romantic
Train to Pakistan,1998,https://en.wikipedia.org/wiki/Train_to_Pakistan_(film),Train to Pakistan,Pamela Rooks,"Nirmal Pandey, Rajit Kapur, Mohan Agashe, Smriti Mishra",,,,,Train To Pakistan Is A 1998 Indian Hindi
Pardesi Babu,1998,https://en.wikipedia.org/wiki/Pardesi_Babu,Pardesi Babu,Manoj Agrawal,"Govinda, Raveena Tandon, Shilpa Shetty",₹ 5.50 crore ,₹ 9.44 crore ,K. B. Pictures,,1998 Indian Hindi-Language Comedy Drama
Mehndi,1998,https://en.wikipedia.org/wiki/Mehndi_(1998_film),Mehndi,Chetan Prakash,"Rani Mukherji, Faraaz Khan",,,NH Studioz,Aftab Pictures Pvt. Ltd.,Mehndi Is A 1998 Bollywood Drama
