title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Barefoot to Goa,2015,https://en.wikipedia.org/wiki/Barefoot_to_Goa,Barefoot to Goa,Praveen Morchhale,,,₹ 3 lakh ,,,Foot To Goa Is A 2015 Indian Hindi Drama
Mr. X,2015,https://en.wikipedia.org/wiki/Mr._X_(2015_film),Mr. X,Vikram Bhatt,"Emraan Hashmi, Amyra Dastur, Arunoday Singh, Tanmay Bhat",₹ 370 million ,₹ 900 million ,Fox Star Studios,Vishesh Films,X Is A 2015 Indian Superhero
Nanak Shah Fakir,2015,https://en.wikipedia.org/wiki/Nanak_Shah_Fakir,Nanak Shah Fakir,,,,,Viacom 18 Motion Pictures,,015 Indian Punjabi-Language Biographical
NH-8: Road to Nidhivan,2015,https://en.wikipedia.org/wiki/NH-8:_Road_to_Nidhivan,NH-8 Road to Nidhivan,Munindra Gupta,"Auroshikha Dey, Ravneet Kaur, Satyakaam Anand, Arjun Fauzdar, Tarun Foujdar, Swaroopa Ghosh",,,Sunny Khanna,,Indian Psychological- Suspense Thriller
Jai Ho! Democracy,2015,https://en.wikipedia.org/wiki/Jai_Ho_Democracy,Jai Ho Democracy,Ranjit Kapoor & Bikramjeet Singh Bhullar,"Om Puri, Annu Kapoor, Satish Kaushik, Seema Biswas, Adil Hussain, Aamir Bashir, Grusha Kapoor, Rajni Gujral, Benjamin Gilani",INR 3 Crore,,Multimedia Combines,Indian Production House,Is A 2015 Indian Comedy
Kaagaz Ke Fools,2015,https://en.wikipedia.org/wiki/Kaagaz_Ke_Fools,Kaagaz Ke Fools,Anil Kumar Chaudhary,"Vinay Pathak, Mugdha Godse, Raima Sen, Saurabh Shukla, Rajendra Sethi, Amit Behl, Nishikant Dixit",,,Globe Filmy Entertainment,Globe Filmy Entertainment,Is A 2015 Indian Comedy
Ishq Ke Parindey,2015,https://en.wikipedia.org/wiki/Ishq_Ke_Parindey,Ishq Ke Parindey,Shakir Khan,"Rishi Verma, Priyanka Mehta, Manjul Aazad, Abid Yunus Khan, Yasir Iftikhar Khan",,,VIP Cinema,Shyam Motion Pictures,Is A Hindi-Language
Rang-E-Ishq,2015,https://en.wikipedia.org/wiki/Kavya_Keeran,Kavya Keeran,,,,,,,Ho Has Mostly Appeared In Odia And Hindi
Gabbar Is Back,2015,https://en.wikipedia.org/wiki/Gabbar_Is_Back,Gabbar Is Back,Krish Jagarlamudi,"Akshay Kumar, Kareena Kapoor, Shruti Haasan",₹ 79 crore ,₹ 135.81 crore ,Panorama Studios(India)Eros International[1](Overseas),,Vigilante Action Thriller
Sabki Bajegi Band,2015,https://en.wikipedia.org/wiki/Sabki_Bajegi_Band,Sabki Bajegi Band,Anirudh Chawla,,,,,,Is The First Indian Reality
Piku,2015,https://en.wikipedia.org/wiki/Piku,Piku,Shoojit Sircar,"Amitabh Bachchan, Deepika Padukone, Irrfan Khan",₹ 42 crore ( US$ 5.3 million ) ,₹ 141 crore (US$17 million) ,Yash Raj Films,,2015 Indian Hindi-Language Comedy Drama
Kuch Kuch Locha Hai,2015,https://en.wikipedia.org/wiki/Kuch_Kuch_Locha_Hai,Kuch Kuch Locha Hai,Devang Dholakia,"Sunny Leone, Ram Kapoor, Evelyn Sharma, Navdeep Chhabra, Suchita Trivedi",₹150 million,₹32.6 million,Alumbra EntertainmentPanorama Studios,,Is A 2015 Indian Hindi-Language Comedy
Bombay Velvet,2015,https://en.wikipedia.org/wiki/Bombay_Velvet,Bombay Velvet,Anurag Kashyap,"Ranbir Kapoor, Anushka Sharma, Karan Johar, Kay Kay Menon",₹ 118 crore ,₹ 43.13 crore ,Fox Star Studios,Phantom Films,015 Indian Hindi-Language Neo-Noir Crime
Ishqedarriyaan,2015,https://en.wikipedia.org/wiki/Ishqedarriyaan,Ishqedarriyaan,V. K. Prakash,"Mahaakshay Chakraborty, Evelyn Sharma, Mohit Dutta",Rs. 100 million,,,,Is A 2015 Bollywood Romance
Masaan,2015,https://en.wikipedia.org/wiki/Masaan,Masaan,Neeraj Ghaywan,"Richa Chadda, Vicky Kaushal, Shweta Tripathi, Sanjay Mishra",,,,,Indian Hindi-Language Independent Drama
Tanu Weds Manu Returns,2015,https://en.wikipedia.org/wiki/Tanu_Weds_Manu_Returns,Tanu Weds Manu Returns,Aanand L. Rai,"R. Madhavan, Kangana Ranaut, Jimmy Sheirgill, Swara Bhaskar, Deepak Dobriyal",₹40 crore ,est. ₹255.3 crore ,Eros International,Colour Yellow Productions,Returns Is A 2015 Indian Romantic Comedy
Chaar Cutting,2015,https://en.wikipedia.org/wiki/Guru_Gobind_Singh,Guru Gobind Singh,,,,,,,Indian
P Se PM Tak,2015,https://en.wikipedia.org/wiki/P_Se_PM_Tak,P Se PM Tak,Kundan Shah,"Meenakshi Dixit, Bharat Jadhav, Yashpal Sharma, Chinmay Jadhav, Aanjjan Srivastav, Akhilendra Mishra",,,,,Is A Bollywood
Chor Bazaari,2015,https://en.wikipedia.org/wiki/Ipsita_Pati,Ipsita Pati,,,,,,,Pati Has Also Acted In Hindi
Beyond Blue: An Unnerving Tale of a Demented Mind,2015,https://en.wikipedia.org/wiki/Zanane_Rajsingh,Zanane Rajsingh,,,,,,,Is An Indian
Dil Dhadakne Do,2015,https://en.wikipedia.org/wiki/Dil_Dhadakne_Do,Dil Dhadakne Do,Zoya Akhtar,"Anil Kapoor, Shefali Shah, Priyanka Chopra, Ranveer Singh, Anushka Sharma, Farhan Akhtar",₹ 550 million ,₹ 1.44 billion ,AA FilmsEros International,,Family Comedy Drama
Hamari Adhuri Kahani,2015,https://en.wikipedia.org/wiki/Hamari_Adhuri_Kahani,Hamari Adhuri Kahani,Mohit Suri,"Emraan Hashmi, Vidya Balan, Rajkummar Rao, Madhurima Tuli",₹ 35 crore (US$4.1 million) ,est. ₹ 58 crore (US$6.9 million) ,Fox Star Studios,Vishesh Films,Musical Romantic Drama
Any Body Can Dance 2,2015,https://en.wikipedia.org/wiki/ABCD_2,ABCD 2,Remo D'Souza,"Prabhu Deva, Varun Dhawan, Shraddha Kapoor, Sushant Pujari, Lauren Gottlieb, Raghav Juyal, Punit Pathak, Dharmesh Yelande",₹50 crore ,est. ₹167 crore ,UTV Motion Pictures,Walt Disney Pictures,Is A 2015 Indian Hindi-Language Dance
Uvaa,2015,https://en.wikipedia.org/wiki/Uvaa,Uvaa,Jasbir Bhatti,"Sanjay Mishra, Jimmy Sheirgill, Om Puri, Vikrant Rai, Archana Puran Singh, Sangram Singh, Aarun Nagar",,,,Dhanraj Films,Is A 2015 Indian Comedy And Social Drama
Miss Tanakpur Haazir Ho,2015,https://en.wikipedia.org/wiki/Miss_Tanakpur_Haazir_Ho,Miss Tanakpur Haazir Ho,Vinod Kapri,"Annu Kapoor, Om Puri, Ravi Kishan, Rahul Bagga, Hrishita Bhatt, Tarun Foujdar",,,Fox Star Studios,,Is A 2015 Indian Hindi Political Satire
All Is Well,2015,https://en.wikipedia.org/wiki/All_Is_Well_(2015_film),All is Well,Umesh Shukla,"Abhishek Bachchan, Asin, Rishi Kapoor, Supriya Pathak",,₹ 180.2 million ,Magic Cloud Media & Entertainment(Overseas),,Romantic Comedy-Drama
Second Hand Husband,2015,https://en.wikipedia.org/wiki/Second_Hand_Husband,Second Hand Husband,Smeep Kang,"Gippy Grewal, Tina Ahuja, Dharmendra, Ravi Kishan",,,,Gakhal Brothers Entertainment Pvt.Ltd.,Husband Is A 2015 Indian Romantic Comedy
Guddu Rangeela,2015,https://en.wikipedia.org/wiki/Guddu_Rangeela,Guddu Rangeela,Subhash Kapoor,"Ronit Roy, Arshad Warsi, Amit Sadh, Aditi Rao Hydari, [, 1, ]",₹ 150 million (US$1.8 million) ,,,Fox Star Studios,Angeela Is An Indian Action Black Comedy
Madmast Barkhaa,2015,https://en.wikipedia.org/wiki/Madmast_Barkhaa,Madmast Barkhaa,Jaspal Singh,"Leena Kapoor, Ekaansh Bhaardwaaj, Ashish Joshi, Zoya Rathore, Mushtaq Khan, Mithilesh Chaturvedi, Farida Dadi, Prakash B kashyap",,,,Singh Multimedia Creation,Dmast Barkhaa  Is A 2015 Indian Thriller
Bezubaan Ishq,2015,https://en.wikipedia.org/wiki/Bezubaan_Ishq,Bezubaan Ishq,Jashwant Gangani,"Mugdha Godse, Sneha Ullal, Nishant Singh Malkani",,,,Gangani Motion Pictures,Is A 2015 Hindi Romantic
I Love NY,2015,https://en.wikipedia.org/wiki/I_Love_New_Year,I Love NY,Radhika RaoVinay Sapru,"Sunny Deol, Kangana Ranaut, Tannishtha Chatterjee",,,T-Series,T-Series,15 Indian Hindi-Language Romantic Comedy
Thoda Lutf Thoda Ishq,2015,https://en.wikipedia.org/wiki/Thoda_Lutf_Thoda_Ishq,Thoda Lutf Thoda Ishq,Sachin Gupta,"Hiten Tejwani, Rajpal Yadav, Sanjay Misra, Neha Pawar, Bhavita Anand, Rakesh Bedi",,,,,Ve Is A 2015 Hindi-Language Comedy Drama
Do Chehre,2015,https://en.wikipedia.org/wiki/Ek_Bar_Mooskura_Do,Ek Bar Mooskura Do,Ram Mukherjee,"Joy Mukherjee, Tanuja, Deb Mukherjee",,,,,Is A 1972 Hindi Language Drama
Bajrangi Bhaijaan,2015,https://en.wikipedia.org/wiki/Bajrangi_Bhaijaan,Bajrangi Bhaijaan,Kabir Khan,"Salman Khan, Harshaali Malhotra, Kareena Kapoor Khan, Nawazuddin Siddiqui",₹ 75 crore ,₹918.18 crore ,Eros International,,2015 Indian Hindi-Language Comedy-Drama
Drishyam,2015,https://en.wikipedia.org/wiki/Drishyam_(2015_film),Drishyam,Nishikant Kamat,"Ajay Devgn, Tabu, Shriya Saran",₹ 62 crore ,est. ₹197 crore ,Viacom18 Motion Pictures,Panorama Studios,015 Indian Hindi-Language Crime Thriller
Bangistan,2015,https://en.wikipedia.org/wiki/Bangistan,Bangistan,Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat, Jacqueline Fernandez, Arya Babbar, Tomasz Karolak, Chandan Roy Sanyal",,,AA Films,,Is A 2015 Indian Black Comedy Satirical
Jaanisaar,2015,https://en.wikipedia.org/wiki/Jaanisaar,Jaanisaar,Muzaffar Ali,"Imran Abbas, Pernia Qureshi",,,,,5 Indian Hindi-Language Historical Drama
Brothers,2015,https://en.wikipedia.org/wiki/Brothers_(2015_film),Brothers,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jacqueline Fernandez",₹ 110 crore,₹ 140.3 crore ,Fox Star Studios,,2015 Hindi-Language Sports Action Drama
I Am Mr Mother,2015,https://en.wikipedia.org/wiki/I_(2015_film),I,S. Shankar,"Vikram, Amy Jackson, Suresh Gopi",₹ 100 crore ,₹227–240 crore ,Aascar Films Pvt. Ltd.Global United Media(Kerala)AA Films(Hindi),Aascar Films Pvt. Ltd.,Tamil-Language Romantic Action Thriller
Aakhri Pal,2015,https://en.wikipedia.org/wiki/Aakhri_Daku,Aakhri Daku,Prakash Mehra,"Randhir Kapoor, Vinod Khanna, Rekha, Reena Roy",,,,,The
Manjhi: The Mountain Man,2015,https://en.wikipedia.org/wiki/Manjhi_–_The_Mountain_Man,Manjhi – The Mountain Man,Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte, Urmila Mahanta, Tigmanshu Dhulia, Gaurav Dwivedi",,est. ₹ 18 crore (US$2.1 million) 50 weeks ,Viacom 18 Motion Pictures,,2015 Indian Hindi-Language Biographical
