title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Shuruaat Ka Interval,2014,https://en.wikipedia.org/wiki/Shuruaat_Ka_Interval,Shuruaa Ka Interval,"Aarti S. Bagdi,Amrit Raj Gupta,Atanu Mukherjee,Ankit Tripathi,Krishan Hooda,Palash Vaswani,Rukshana Tabassum,Shishir Jha",,,,,,Erval Is A 2014 Indian Anthology Feature
DOA: Death of Amar,2014,https://en.wikipedia.org/wiki/DOA:_Death_of_Amar,DOA: Death of Amar,Param Gill[1],"Rajeev Khandelwal, Zareen Khan, Prashant Narayanan",,,,Remo D'Souza Entertainment,Amar Is A 2014 Hindi-Language Bollywood
Mardaani,2014,https://en.wikipedia.org/wiki/Mardaani,Mardaani,Pradeep Sarkar,"Rani Mukerji, Tahir Raj Bhasin, Jisshu Sengupta, Saanand Verma, Avneet Kaur",₹ 21 crore ,₹ 59.55 crore ,Yash Raj Films,Yash Raj Films,14 Indian Hindi-Language Action Thriller
Life Is Beautiful,2014,https://en.wikipedia.org/wiki/Life_Is_Beautiful_(2014_film),Life Is Beautiful,Manoj Amarnani,,,,Shotformats Digital Production[1],,Life Is Beautiful Is A 2014 Bollywood
Raja Natwarlal,2014,https://en.wikipedia.org/wiki/Raja_Natwarlal,Raja Natwarlal,Kunal Deshmukh,"Emraan Hashmi, Humaima Malik, Paresh Rawal, Kay Kay Menon, Deepak Tijori, Prasad Oak, Prachi Shah",₹ 470 million ,₹ 268 million ,UTV Motion Pictures,UTV Motion Pictures,014 Indian Hindi-Language Crime Thriller
Trip to Bhangarh: Asia's Most Haunted Place,2014,https://en.wikipedia.org/wiki/Trip_to_Bhangarh,Trip to Bhangarh,Jitendra Pawar,"Manish Chaudhary, Suzanna Mukherjee, Piyush Raina, Rachit Behl, Rohit Chaudhury, Vikram Kochhar, Parree Pande",,,,,Lace Is A 2014 Bollywood Horror-Thriller
Mary Kom,2014,https://en.wikipedia.org/wiki/Mary_Kom_(film),Mary Kom,Omung Kumar,"Priyanka Chopra, Darshan Kumaar, Sunil Thapa",₹ 38 crore ,est. ₹ 86.19 crore ,STV Networks (India)Eros International(International),,Biographical Sports
Daawat-e-Ishq,2014,https://en.wikipedia.org/wiki/Daawat-e-Ishq,Daawat-e-Ishq,Habib Faisal,"Parineeti Chopra, Aditya Roy Kapur, Anupam Kher",₹ 32 crore ,est. ₹ 35.58 crore ,Yash Raj Films,Yash Raj Films,14 Indian Hindi-Language Romantic Comedy
Dirty Marriage,2014,https://en.wikipedia.org/wiki/The_Dirty_Picture,The Dirty Picture,Milan Luthria,"Vidya Balan, Emraan Hashmi, Naseeruddin Shah, Tusshar Kapoor",₹ 18 crore (US$2.1 million),₹ 117 crore (US$14 million) ,AA Films,,2011 Indian Hindi-Language Musical Drama
Margarita with a Straw,2014,https://en.wikipedia.org/wiki/Margarita_with_a_Straw,Margarita with a Straw,Shonali Bose,"Kalki Koechlin, Revathi, Sayani Gupta, William Moseley",₹ 65 million ,₹ 74 million ,,,Aw Is A 2014 Indian Hindi-Language Drama
Creature,2014,https://en.wikipedia.org/wiki/Creature_3D,Creature 3D,Vikram Bhatt,"Bipasha Basu, Imran Abbas",₹ 25 crore (US$3.0 million),₹ 32 crore (US$3.8 million) ,,T-Series Films,Indian Hindi-Language 3D Monster Horror
Desi Kattey,2014,https://en.wikipedia.org/wiki/Desi_Kattey,Desi Kattey,Anand Kumar,"Sunil Shetty, Jay Bhanushali, Akhil Kapur, Sasha Agha",,,,Anand Kumar Productions,2014 Indian Hindi-Language Action Drama
Khoobsurat,2014,https://en.wikipedia.org/wiki/Khoobsurat_(2014_film),Khoobsurat,Shashanka Ghosh[1],"Sonam Kapoor, Fawad Khan, [, 2, ]",₹ 23 crore (US$2.7 million) ,est. ₹ 79.43 crore (US$9.4 million) ,UTV Motion Pictures,,Romantic Comedy-Drama
Bang Bang,2014,https://en.wikipedia.org/wiki/Bang_Bang!,Bang Bang!,Siddharth Anand,"Hrithik Roshan, Katrina Kaif",₹ 140 crore ,₹332.43 crore ,Fox Star Studios,Fox International Productions India,014 Indian Hindi-Language  Action Comedy
Meinu Ek Ladki Chaahiye,2014,https://en.wikipedia.org/wiki/Meinu_Ek_Ladki_Chaahiye,Meinu Ek Ladki Chaahiye,Abhishek Bindal[1],"Raghubir Yadav, Puru Chibber, Reecha Sinha, Rashee, Zakir Hussain",,,Armstrong Media,BVM Films Pvt. Ltd.,S A 2014 Indian Hindi-Language Satirical
Balwinder Singh Famous Ho Gaya,2014,https://en.wikipedia.org/wiki/Balwinder_Singh_Famous_Ho_Gaya,Balwinder Singh Famous Ho Gaya,Sunil Agnihotri,"Shaan, Mika Singh, Gabriela Bertante, Anupam Kher, Rajpal Yadav, Asrani, Vindu Dara Singh",,,,,2014 Indian Hindi-Language Comedy Drama
