title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Chamku,2008,https://en.wikipedia.org/wiki/Chamku,Chamku,Kabeer Kaushik,"Bobby Deol, Priyanka Chopra, Irrfan Khan, Riteish Deshmukh, Danny Denzongpa",₹ 10 crore ,₹ 3.09 crore ,Zee Motion Pictures,Vijayta Films,Chamku Is A 2008 Indian Action Thriller
C Kkompany,2008,https://en.wikipedia.org/wiki/C_Kkompany,C Kkompany,Sachin Yardi,"Tusshar Kapoor, Anupam Kher, Rajpal Yadav, Raima Sen, Mithun Chakraborty",,,Balaji Motion PicturesLtd.,,Is A 2008 Indian Hindi-Language Comedy
A Wednesday,2008,https://en.wikipedia.org/wiki/A_Wednesday!,A Wednesday,Neeraj Pandey,"Naseeruddin Shah, Anupam Kher, Jimmy Sheirgill, Aamir Bashir, Deepal Shaw",,₹ 12 crore ,UTV Motion Pictures,,008 Indian Hindi-Language Crime Thriller
Firaaq,2008,https://en.wikipedia.org/wiki/Firaaq,Firaaq,Nandita Das,"Naseeruddin Shah, Sanjay Suri, Raghubir Yadav, Inaamulhaq, Deepti Naval, Paresh Rawal, Shahana Goswami, Nawazuddin Siddiqui, Tisca Chopra, Dilip Joshi, Amruta Subhash",,,,Percept Picture Company,Is A 2008 Indian Hindi-Language Drama
Hijack,2008,https://en.wikipedia.org/wiki/Hijack_(2008_film),Hijack,Kunal Shivdasani,"Shiney Ahuja, Esha Deol, Ishita Chauhan, K K Raina, Mona Ambegaonkar",,,,Eros International,Hijack Is A 2008 Indian Action Thriller
1920,2008,https://en.wikipedia.org/wiki/1920_(film_series),1920 series,"Vikram Bhatt(1920,1921,1920: Haunted London)Bhushan Patel(1920: Evil Returns,1920: Haunted London)Tinu Suresh Desai(1920 London)Krishna Bhatt(1920: Horrors of the Heart)",see below,₹90 crore,₹144.49 crore,"Reliance Entertainment(1920,1920: Evil Returns,1920 London,1921,1920 Haunted London)Laxmi Ganpathy Films(1920: Horrors of the Heart)",,1920 Is A Series Of Indian Horror
Ru-Ba-Ru,2008,https://en.wikipedia.org/wiki/Ru_Ba_Ru,Ru Ba Ru,Arjun Bali,"Randeep Hooda, Shahana Goswami, Rati Agnihotri, Kulbhushan Kharbanda, Jayant Kripalani, Avinesh Rekhi",,,,,Ru Ba Ru Is A 2008 Indian Drama
Welcome to Sajjanpur,2008,https://en.wikipedia.org/wiki/Welcome_to_Sajjanpur,Welcome to Sajjanpur,Shyam Benegal,"Shreyas Talpade, Amrita Rao, Kunal Kapoor, Ravi Kishan, Ravi Jhankal",₹ 90 million (US$1.1 million),₹ 147 million (US$1.7 million),UTV Motion Pictures,,R Is A 2008 Indian Hindi-Language Comedy
Saas Bahu Aur Sensex,2008,https://en.wikipedia.org/wiki/Saas_Bahu_Aur_Sensex,Saas Bahu Aur Sensex,Shona Urvashi,"Tanushree Dutta, Ankur Khanna, Kirron Kher, Farooq Sheikh",,2.38 Crores,Warner Bros. Pictures[1],PLA Entertainment,Saas Bahu Aur Sensex Is An Indian Hindi
Hulla,2008,https://en.wikipedia.org/wiki/Hulla,Hulla,Jaideep Varma,"Rajat Kapoor, Sushant Singh, Kartika Rane, Vrajesh Hirjee",,,BIG Pictures,Handmade Films,Is A 2008 Bollywood
Hari Puttar: A Comedy of Terrors,2008,https://en.wikipedia.org/wiki/Hari_Puttar:_A_Comedy_of_Terrors,Hari Puttar,Lucky Kohli & Rajesh Bajaj,"Sarika, Zain Khan, Swini Khara, Jackie Shroff, Saurabh Shukla, Vijay Raaz, Shamita Shetty",,,Mirchi Movies,,Hari Puttar Is A 2008 Indian Comedy
Kidnap,2008,https://en.wikipedia.org/wiki/Kidnap_(2008_film),Kidnap,Sanjay Gadhvi,"Sanjay Dutt, Imran Khan, Minissha Lamba, Vidya Malvade, Ankita Makwana",₹ 310 million ,₹ 356 million ,Indian Films[1],Shree Ashtavinayak Cine Vision Limited,2008 Indian Hindi-Language Action Drama
Drona,2008,https://en.wikipedia.org/wiki/Drona_(2008_film),Drona,Goldie Behl,"Abhishek Bachchan, Priyanka Chopra, Kay Kay Menon, Jaya Bachchan",₹ 43 crore ,₹ 15 crore ,Eros International,Rose Audio Visuals,S A 2008 Indian Hindi-Language Superhero
Hello,2008,https://en.wikipedia.org/wiki/Hello_(2008_film),Hello,Atul Agnihotri,"Sharman Joshi, Sohail Khan, Isha Koppikar, Gul Panag, Amrita Arora, Sharat Saxena, Arbaaz Khan","₹ 14, crore ",₹ 17.96 crore ,,,Hello Is A 2008 Indian Hindi Thriller
Karzzzz,2008,https://en.wikipedia.org/wiki/Karzzzz,Karz,Satish Kaushik,"Urmila Matondkar, Himesh Reshammiya, Shweta Kumar, Dino Morea, Gulshan Grover, Danny Denzongpa, Rohini Hattangadi",,,BIG Pictures,T-Series Films,Is A 2008 Indian Hindi-Language Action
Roadside Romeo,2008,https://en.wikipedia.org/wiki/Roadside_Romeo,Roadside Romeo,Jugal Hansraj,"Saif Ali Khan, Kareena Kapoor, Jaaved Jaaferi, Vrajesh Hirjee, Sanjai Mishra",,₹ 82.3 million ,"Walt Disney Studios Motion Pictures(India, United States and United Kingdom)Yash Raj Films (International)",,Animation Musical Romantic Comedy
Heroes,2008,https://en.wikipedia.org/wiki/Hero_(2008_film),Hero,G. V. Sudhakar Naidu,"Nithiin, Bhavana, Ramya Krishna, Kota Srinivasa Rao, Brahmanandam, Nagendra Babu",,,,,008 Indian Telugu-Language Action Comedy
Fashion,2008,https://en.wikipedia.org/wiki/Fashion_(2008_film),Fashion,Madhur Bhandarkar,"Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arjan Bajwa, Samir Soni, Arbaaz Khan",₹ 20 crore ,₹ 39.29 crore ,UTV Motion PicturesBhandarkar Entertainment,,Female Empowerment Drama
Golmaal Returns,2008,https://en.wikipedia.org/wiki/Golmaal_Returns,Golmaal Returns,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Arshad Warsi, Shreyas Talpade, Tusshar Kapoor, Amrita Arora, Celina Jaitley, Anjana Sukhani",₹25 crore,₹ 80 crore ,Indian Films[1],Shree Ashtavinayak Cine Vision,Is A 2008 Indian Hindi-Language Comedy
Rang Rasiya,2008,https://en.wikipedia.org/wiki/Rang_Rasiya,Rang Rasiya,Ketan Mehta,"Randeep Hooda, Nandana Sen",₹12 crore ,,,,Is A 2014 Indian Drama
Ek Vivaah... Aisa Bhi,2008,https://en.wikipedia.org/wiki/Ek_Vivaah..._Aisa_Bhi,Ek Vivaah... Aisa Bhi,Kaushik Ghatak,"Isha Koppikar, Sonu Sood, Alok Nath, Vallabh Vyas",₹ 35 million ,₹ 23.55 million ,Rajshri Productions,,008 Indian Hindi-Language Romantic Drama
Dasvidaniya,2008,https://en.wikipedia.org/wiki/Dasvidaniya,Dasvidaniya,Shashant Shah,"Vinay Pathak, Sarita Joshi, Neha Dhupia, Rajat Kapoor, Brijendra Kala",,₹ 1.87 crore,,,2008 Indian Hindi-Language Comedy Drama
EMI: Liya Hai To Chukana Padega,2008,https://en.wikipedia.org/wiki/EMI_(film),E.M.I,Saurabh Kabra,"Sanjay Dutt, Neha Mehta, Arjun Rampal, Urmila Matondkar, Malaika Arora",,,Balaji Motion PicturesPopcorn Motion PicturesSahara One Motion Pictures,,2008 Indian Hindi-Language Social Comedy
Friendship,2008,https://en.wikipedia.org/wiki/Dostana_(2008_film),Dostana,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra",₹ 40 crore ,₹ 87.15 crore ,Yash Raj Films,Dharma Productions,08 Indian Hindi-Language Romantic Comedy
Deshdrohi,2008,https://en.wikipedia.org/wiki/Deshdrohi,Deshdrohi,Jagdish A. Sharma,"Kamaal Rashid Khan, Manoj Tiwari, Hrishitaa Bhatt, Gracy Singh, Zulfi Syed, Aman Verma",₹ 3 crore ,₹ 8.90 million ,O.K. International,,08 Indian Hindi-Language Action Thriller
Yuvvraaj,2008,https://en.wikipedia.org/wiki/Yuvvraaj,Yuvvraaj,Subhash Ghai,"Salman Khan, Katrina Kaif, Anil Kapoor, Zayed Khan",₹ 48 crore ,₹ 31.22 crore ,Eros InternationalShree Ashtavinayak Cine Vision[1],Mukta Arts,Musical Romantic Family Drama
Oye Lucky! Lucky Oye!,2008,https://en.wikipedia.org/wiki/Oye_Lucky!_Lucky_Oye!,Oye Lucky! Lucky Oye!,Dibakar Banerjee,"Abhay Deol, Paresh Rawal, Neetu Chandra",INR 1 crore,₹6.1 crore,UTV Motion Pictures,UTV Motion Pictures,2008 Indian Hindi-Language Crime Comedy
Sorry Bhai!,2008,https://en.wikipedia.org/wiki/Sorry_Bhai!,Sorry Bhai!,Onir,"Sharman Joshi, Chitrangada Singh, Sanjay Suri, Shabana Azmi, Boman Irani",,,Anticlock Films,,008 Indian Hindi-Language Romantic Drama
Maharathi,2008,https://en.wikipedia.org/wiki/Maharathi_(2008_film),Maharathi,Shivam Nair,"Paresh Rawal, Naseeruddin Shah, Neha Dhupia, Om Puri, Boman Irani, Tara Sharma",,,,,Is A 2008 Indian Hindi-Language Thriller
Gumnaam: The Mystery,2008,https://en.wikipedia.org/wiki/Gumnaam_–_The_Mystery,Gumnaam – The Mystery,Neeraj Pathak,"Mahima Chaudhry, Dino Morea, Suman Ranganathan, Irrfan Khan",,₹55 lakh ,Sony Music,,Is A 2008 Indian Hindi-Language Thriller
Meerabai Not Out,2008,https://en.wikipedia.org/wiki/Meerabai_Not_Out,Meerabai Not Out,Chandrakant Kulkarni,"Mandira Bedi, Mahesh Manjrekar, Anupam Kher",,,Sony Pictures Networks India[1],,Erabai Not Out Is A 2008 Hindi Bollywood
Rab Ne Bana Di Jodi,2008,https://en.wikipedia.org/wiki/Rab_Ne_Bana_Di_Jodi,Rab Ne Bana Di Jodi,Aditya Chopra,"Shah Rukh Khan, Anushka Sharma, Vinay Pathak",₹ 31 crore ,est. ₹ 157 crore ,Yash Raj Films,Yash Raj Films,08 Indian Hindi-Language Romantic Comedy
Wafaa,2008,https://en.wikipedia.org/wiki/Wafa:_A_Deadly_Love_Story,Wafaa: A Deadly Love Story,Rakesh Sawant,"Sahib Chopra, Rajesh Khanna, Laila Khan",,,Dimension Pictures,,Ve Story Is A 2008 Indian Hindi-Language
Ghajini,2008,https://en.wikipedia.org/wiki/Ghajini_(2008_film),Ghajini,A R Murugadoss,"Aamir Khan, Asin, Jiah Khan, Pradeep Rawat",₹ 52 crore ,est. ₹194.58 crore ,Indian Films[1](India)BIG Pictures(International)[2],Geetha Arts,08 Indian Hindi-Language Action Thriller
Jumbo,2008,https://en.wikipedia.org/wiki/Jumbo_(2008_film),Jumbo,Kompin Kemgumnird,"Akshay Kumar, Rajpal Yadav, Lara Dutta, Asrani, Gulshan Grover",₹ 32 crore (US$3.8 million) ,₹ 21 crore (US$2.5 million) ,Shemaroo Entertainment,Percept Picture Company,Umbo Is A 2008 Indian Animated Adventure
