title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Wake Up India,2013,https://en.wikipedia.org/wiki/Wake_Up_India,Wake Up India,Babloo Seshadri,"Sai Tamhankar, Manoj Joshii, Anjjan Srivastav, Mukesh Tiwari, Mohan Joshi, Milind Gunaji, Anant Jog, Adi Irani, Mushtaq Khan, Atul Parchure, Asrani, Elisha Kriis",,,,,13 Indian Hindi-Language Political Drama
Mickey Virus,2013,https://en.wikipedia.org/wiki/Mickey_Virus,Mickey Virus,Saurabh Varma,"Manish Paul, Elli AvrRam, Manish Choudhary, Varun Badola, Puja Gupta, Nitesh Pandey",₹ 110 million (US$1.3 million) ,,,DAR Motion Pictures,13 Indian Hindi-Language Comedy Thriller
Satya 2,2013,https://en.wikipedia.org/wiki/Satya_2,Satya 2,Ram Gopal Varma,"Puneet Singh Ratn, Sharwanand, Anaika Soti",₹ 15 crore (US$1.8 million) ,,Mammoth Media Entertainment Private Limited,,Is A 2013 Indian Crime
Huff! It's Too Much,2013,https://en.wikipedia.org/wiki/Huff!_It's_Too_Much,Huff! It's Too Much,Pushkar Jog,"Pushkar Jog, Armeena Khan",,,,Goosebumps Entertainment,S Too Much Is A 2013 Hindi
Ishk Actually,2013,https://en.wikipedia.org/wiki/Vikas_Kumar,Vikash Kumar Singh,,,,,,,For His Work As Dialogue Coach In Hindi
Sooper Se Ooper,2013,https://en.wikipedia.org/wiki/Sooper_Se_Ooper,Sooper Se Ooper,Shekhar Ghosh,"Vir Das, Kirti Kulhari, Gulshan Grover, Deepak Dobriyal, Yashpal Sharma, Mohan Kapoor",,,,,Is A 2013 Hindi
Dilli Gang,2013,https://en.wikipedia.org/wiki/Dilli_Gang,Dilli Gang,Ashish Tyagi,"Darshan Jariwala, Neena Kulkarni, Yashpal Sharma, Aamir Dalvi, Asif Basra, Asif Ali",,,Radha Creations,Radha Creations,Is A 2013 Indian Crime
Krrish 3,2013,https://en.wikipedia.org/wiki/Krrish_3,Krrish 3,Rakesh Roshan,"Hrithik Roshan, Vivek Oberoi, Priyanka Chopra, Kangana Ranaut",₹100 crore ,est. ₹393.37 crore ,Filmkraft Productions Pvt. Ltd (Domestic)Eros International(Overseas),Filmkraft Productions Pvt. Ltd,Superhero Action Thriller
Mastram,2013,https://en.wikipedia.org/wiki/Mastram,Mastram,Akhilesh Jaiswal,"Rahul Bagga, Tara Alisha, Soul Balaji, Vinod Nahardih, Istiyak Khan, Aakash Dahiya",₹ 6 crore ,est. ₹ 4.5 crore ,,,2014 Indian Hindi-Language Biographical
Rajjo,2013,https://en.wikipedia.org/wiki/Rajjo,Rajjo,Vishwas Patil,"Kangana Ranaut, Paras Arora, Prakash Raj, Mahesh Manjrekar",₹ 12 crores ,₹ 2 crores ,,Four Pillars Entertainment,13 Indian Hindi-Language Romantic Comedy
Kaand Black Scandal,2013,https://en.wikipedia.org/wiki/Kaand:_Black_Scandal,Kaand: Black Scandal,Santosh K. Gupta,"Suraj K. Shah, J. B. Rana, Dipanshi, Mahimaa",,,Dilsa Distributors Mumbai,,Is A 2013 Bollywood
Gori Tere Pyaar Mein!,2013,https://en.wikipedia.org/wiki/Gori_Tere_Pyaar_Mein,Gori Tere Pyaar Mein,Punit Malhotra,"Imran Khan, Kareena Kapoor Khan",₹30 crore ,est. ₹32.80 crore,AA Films(India)Reliance Entertainment[2](Overseas),Dharma Productions,13 Indian Hindi-Language Romantic Comedy
Singh Saab the Great,2013,https://en.wikipedia.org/wiki/Singh_Saab_the_Great,Singh Saab the Great,Anil Sharma,"Sunny Deol, Urvashi Rautela, Prakash Raj, Amrita Rao",₹ 25 crore ,₹ 40.67 crore ,Eros International,,2013 Indian Hindi-Language Action Drama
Kaafiron Ki Namaaz,2013,https://en.wikipedia.org/wiki/A._Vasanth,A. Vasanth Kumar,,,,,,,Government
