title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre
Yakeen,2005,https://en.wikipedia.org/wiki/Yakeen_(2005_film),Yakeen,Girish Dhamija,"Arjun Rampal, Priyanka Chopra",,,Shreya CreationsP R Films,,Language Romantic Mystery Thriller
Fareb,2005,https://en.wikipedia.org/wiki/Fareb_(2005_film),Fareb,Deepak Tijori,"Shilpa Shetty, Shamita Shetty, Manoj Bajpai",₹ 3.50 crore ,₹ 1.08 crore ,Dayal Creations,,Indian Hindi-Language Romantic Thriller
Double Cross: Ek Dhoka,2005,https://en.wikipedia.org/wiki/Double_Cross_(2005_film),Double Cross,Vicky Tejwani,"Negar Khan, Sahil Khan, Ayesha Jhulka",,,,,Ek Dhoka Is A 2005 Indian Drama
Maine Pyaar Kyun Kiya,2005,https://en.wikipedia.org/wiki/Maine_Pyaar_Kyun_Kiya?,Maine Pyaar Kyun Kiya,David Dhawan,"Salman Khan, Sushmita Sen, Katrina Kaif, Sohail Khan, Arshad Warsi, Isha Koppikar",₹ 15 crore ,₹ 55 crore ,Shree Ashtavinayak Cine Vision Ltd,,05 Indian Hindi-Language Romantic Comedy
Mazaa Mazaa,2005,https://en.wikipedia.org/wiki/Mazaa_Mazaa,Mazaa Mazaa,T. L. V. Prasad,,,,,Shagun Film Creations,Mazaa Mazaa Is A 2005 Hindi Comedy-Drama
Viruddh... Family Comes First,2005,https://en.wikipedia.org/wiki/Sharmila_Tagore,Sharmila Tagore,,,,,,,Ver Six Decades Across Hindi And Bengali
Kasak,2005,https://en.wikipedia.org/wiki/Kasak_(2005_film),Kasak,Rajiv Babbar,"Lucky Ali, Meera, Puneet Issar, Mukesh Tiwari",,,,Archana Media Pvt. Ltd.,Is A 2005 Indian Hindi-Language Drama
Sehar,2005,https://en.wikipedia.org/wiki/Sehar,Sehar,Kabeer Kaushik,"Arshad Warsi, Mahima Chaudhry, Sushant Singh, Pankaj Kapur",₹ 40 million ,₹ 20.4 crores ,,,A 2005 Indian Hindi-Language Crime Drama
...Yahaan,2005,https://en.wikipedia.org/wiki/Yahaan,Yahaan,Shoojit Sircar,"Jimmy Sheirgill, Minissha Lamba, Yashpal Sharma, Mukesh Tiwari",₹ 3.5 crore ,,,,Is A 2005 Indian Hindi-Language War
7 1/2 Phere: More Than a Wedding,2005,https://en.wikipedia.org/wiki/7½_Phere,7+1⁄2Phere: More Than a Wedding,Ishaan Trivedi,"Juhi Chawla, Irfan Khan, Manoj Pahwa, Neena Kulkarni, Anang Desai, Ninad Kamat, Vallabh Vyas, Manini De, Chahat Khanna",,,,Epitome Entertainment Pvt. Ltd.,2005 Indian Hindi-Language Black Comedy
Mangal Pandey: The Rising,2005,https://en.wikipedia.org/wiki/Mangal_Pandey:_The_Rising,Mangal Pandey: The Rising,Ketan Mehta,"Aamir Khan, Toby Stephens, Rani Mukerji, Ameesha Patel, Kirron Kher",₹ 37 crore ,₹ 52.57 crore ,Kaleidoscope EntertainmentTfk FilmsINOX Leisure LimitedYash Raj Films,,2005 Indian Bio-Historical Action Drama
A Sublime Love Story: Barsaat,2005,https://en.wikipedia.org/wiki/Barsaat_(2005_film),Barsaat,Suneel Darshan,"Bobby Deol, Priyanka Chopra, Bipasha Basu",₹ 10 crore ,₹ 19.56 crore ,,Shree Krishna International,005 Indian Hindi-Language Romantic Drama
My Wife's Murder,2005,https://en.wikipedia.org/wiki/My_Wife's_Murder,My Wife's Murder,Jiji Philip,"Anil Kapoor, Suchitra Krishnamurti, Boman Irani, Nandana Sen, Rajesh Tandon",,,,RGV Film Company,Is A 2005 Indian Hindi-Language Thriller
Iqbal,2005,https://en.wikipedia.org/wiki/Iqbal_(film),Iqbal,Nagesh Kukunoor,"Shreyas Talpade, Naseeruddin Shah, Girish Karnad, Shweta Basu Prasad, Yatin Karyekar, Prateeksha Lonkar",₹2.25 crore ,₹5.60 crore ,Mukta Searchlight Films,,Coming-Of-Age Sports Drama
No Entry,2005,https://en.wikipedia.org/wiki/No_Entry,No Entry,Anees Bazmee,"Anil Kapoor, Salman Khan, Fardeen Khan, Bipasha Basu, Esha Deol, Lara Dutta, Celina Jaitley",₹ 20 crore ,₹ 74 crore ,Sahara Motion Pictures (India)Eros International(Overseas),,Buddy Romantic Comedy
Ramji Londonwaley,2005,https://en.wikipedia.org/wiki/Ramji_Londonwaley,Ramji Londonwaley,Sanjay Dayma,"R. Madhavan, Samita Bangargi",₹ 4 crore ,₹ 2.95 crore ,,,2005 Indian Hindi-Language Comedy-Drama
Aashiq Banaya Aapne: Love Takes Over,2005,https://en.wikipedia.org/wiki/Aashiq_Banaya_Aapne,Aashiq Banaya Aapne,Aditya Datt,"Emraan Hashmi, Sonu Sood, Tanushree Dutta, Navin Nischol",₹ 45 million ,₹ 93 million ,Shagun Film Creations,,Indian Hindi-Language Romantic Thriller
Pyaar Mein Twist,2005,https://en.wikipedia.org/wiki/Pyaar_Mein_Twist,Pyaar Mein Twist,Hriday Shetty,"Rishi Kapoor, Dimple Kapadia, Sammir Dattani, Soha Ali Khan, Kishori Shahane, Vikas Bhalla, Emma Bunton",,₹ 1.320 crore ,,Percept Picture Company,Is A 2005 Hindi-Language Romantic Comedy
