box_uniform,title,Title_wiki,Cast,Director,Distributor,Genre,bud_uniform,ROI,Profit margin,new_box_office,Genre_new,Tag,Year,Multiplier,IMDB_id,WIKI_url
104,Kahaani,Kahaani,"Vidya Balan, Parambrata Chatterjee, Nawazuddin Siddiqui, Indraneil Sengupta, Saswata Chatterjee",Sujoy Ghosh,"Viacom 18 Motion Pictures, Wave Cinemas",action thriller film,8,12,96,198.5,Thriller,,2012,1.91,tt1821480,https://en.wikipedia.org/wiki/Kahaani
101.1,Raaz 3,Raaz 3: The Third Dimension,"Bipasha Basu, Emraan Hashmi, Esha Gupta",Vikram Bhatt,Fox Star Studios,Supernatural Horror,25,3.04,76.1,193,Horror,,2012,1.91,tt2140315,https://en.wikipedia.org/wiki/Raaz_3:_The_Third_Dimension
68.32,Vicky Donor,Vicky Donor,"Ayushmann Khurrana, Yami Gautam, Annu Kapoor, Dolly Ahluwalia",Shoojit Sircar[1][2],Eros Entertainment,12 Indian Hindi-Language Romantic Comedy,4,16.08,64.32,130.4,,,2012,1.91,tt2317337,https://en.wikipedia.org/wiki/Vicky_Donor
252.99,Bodyguard,Bodyguard,"Salman Khan, Kareena Kapoor",Siddique,Reliance Entertainment,11 Indian Hindi-Language Romantic Action,60,3.22,192.99,528.7,Romance,,2011,2.09,tt1729637,https://en.wikipedia.org/wiki/Bodyguard_(2011_Hindi_film)
186.02,Ready,Ready,"Salman Khan, Asin",Anees Bazmee,Wave CinemasOne Up Entertainment (India)Eros International(Overseas),2011 Indian Hindi-Language Action Comedy,30,5.2,156.02,388.7,Action,,2011,2.09,tt1708532,https://en.wikipedia.org/wiki/Ready_(2011_film)
157.89,Singham,Singham,"Ajay Devgn, Kajal Aggarwal, Prakash Raj",Rohit Shetty,Reliance Entertainment,M Is A 2011 Indian Hindi-Language Action,40,2.95,117.89,330,Action,,2011,2.09,tt1948150,https://en.wikipedia.org/wiki/Singham
153,Zindagi Na Milegi Dobara,Zindagi Na Milegi Dobara,"Hrithik Roshan, Abhay Deol, Farhan Akhtar, Katrina Kaif, Kalki Koechlin",Zoya Akhtar,Eros International,Indian Hindi-Language Road Comedy Drama,45,2.4,108,319.7,Comedy-drama,,2011,2.09,tt1562872,https://en.wikipedia.org/wiki/Zindagi_Na_Milegi_Dobara
117,The Dirty Picture,The Dirty Picture,"Vidya Balan, Emraan Hashmi, Naseeruddin Shah, Tusshar Kapoor",Milan Luthria,AA Films,2011 Indian Hindi-Language Musical Drama,18,5.5,99,244.5,Drama,,2011,2.09,tt1954206,https://en.wikipedia.org/wiki/The_Dirty_Picture
87.6,Delhi Belly,Delhi Belly,"Imran Khan, Vir Das, Kunaal Roy Kapur, Poorna Jagannathan, Shenaz Treasurywala, Vijay Raaz",Abhinay Deo,UTV Motion Pictures,Lhi Belly Is A 2011 Indian Action Comedy,23,2.81,64.6,183.1,,,2011,2.09,#N/A,https://en.wikipedia.org/wiki/Delhi_Belly_(film)
67.84,Murder 2,Murder 2,"Emraan Hashmi, Jacqueline Fernandez",Mohit Suri,Wave Cinemas (India)Eros International(overseas),Is A 2011 Indian Hindi-Language Thriller,13,4.22,54.84,141.8,,,2011,2.09,tt1918965,https://en.wikipedia.org/wiki/Murder_2
56,Tanu Weds Manu,Tanu Weds Manu,"R. Madhavan, Kangana Ranaut, Jimmy Sheirgill, Swara Bhaskar, Deepak Dobriyal",Aanand L. Rai,Eros International,Returns Is A 2015 Indian Romantic Comedy,17.5,2.2,38.5,117,,,2011,2.09,tt1694542,https://en.wikipedia.org/wiki/Tanu_Weds_Manu
221.14,Dabangg,Dabangg,"Salman Khan, Sonakshi Sinha, Arbaaz Khan, Sonu Sood",Abhinav Singh Kashyap,Shree Ashtavinayak Cine Vision,2010 Indian Hindi-Language Action Comedy,41,4.39,180.14,503.3,Action,,2010,2.28,tt1620719,https://en.wikipedia.org/wiki/Dabangg
167,Golmaal 3,Golmaal 3,"Ajay Devgn, Arshad Warsi, Kareena Kapoor, Mithun Chakraborty, Tusshar Kapoor, Shreyas Talpade, Kunal Khemu",Rohit Shetty,,2010 Indian Hindi-Language Action Comedy,40,3.18,127,380.1,Comedy,,2010,2.28,tt1562859,https://en.wikipedia.org/wiki/Golmaal_3
145.5,Raajneeti,Raajneeti,"Ajay Devgn, Nana Patekar, Ranbir Kapoor, Katrina Kaif, Arjun Rampal, Manoj Bajpayee, Sarah Thompson, Naseeruddin Shah",Prakash Jha,UTV Motion Pictures,Political Thriller,45,2.23,100.5,331.2,Political,,2010,2.28,tt1291465,https://en.wikipedia.org/wiki/Raajneeti
124.5,Housefull,Housefull,"Akshay Kumar, Ritesh Deshmukh, Arjun Rampal, Lara Dutta, Deepika Padukone, Jiah Khan",Sajid Khan,Eros International,L Is A 2010 Indian Hindi-Language Comedy,30,3.15,94.5,283.4,Comedy,,2010,2.28,tt1573072,https://en.wikipedia.org/wiki/Housefull_(2010_film)
101.89,Tees Maar Khan,Tees Maar Khan,"Akshay Kumar, Akshaye Khanna, Katrina Kaif",Farah Khan,UTV Motion Pictures,2010 Indian Hindi-Language Heist Comedy,45,1.26,56.89,231.9,Comedy,Maybe,2010,2.28,tt1572311,https://en.wikipedia.org/wiki/Tees_Maar_Khan_(2010_film)
85.2,Once Upon a Time in Mumbaai,Once Upon a Time in Mumbai,"Ajay Devgn, Emraan Hashmi, Prachi Desai, Kangana Ranaut, Randeep Hooda",Milan Luthria,,Neo-Noir Crime Thriller,38,1.24,47.2,193.9,,Maybe,2010,2.28,tt1395054,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Mumbaai
72.52,I Hate Luv Storys,I Hate Luv Storys,"Imran Khan, Sonam Kapoor",Punit Malhotra,UTV Motion Pictures,10 Indian Hindi-Language Romantic Comedy,25,1.9,47.52,165.1,,,2010,2.28,tt1667838,https://en.wikipedia.org/wiki/I_Hate_Luv_Storys
53,Badmaash Company,Badmaash Company,"Shahid Kapoor, Anushka Sharma, Vir Das, Meiyang Chang",Parmeet Sethi,Yash Raj Films,2010 Indian Hindi-Language Crime Comedy,21,1.52,32,120.6,,,2010,2.28,tt1602476,https://en.wikipedia.org/wiki/Badmaash_Company
400.61,3 Idiots,3 Idiots,"Aamir Khan, R. Madhavan, Sharman Joshi",Rajkumar Hirani,Reliance BIG Pictures,Coming-Of-Age Satirical Comedy-Drama,55,6.28,345.61,1021.1,Comedy-drama,,2009,2.55,tt1187043,https://en.wikipedia.org/wiki/3_Idiots
120,Love Aaj Kal,Love Aaj Kal,"Saif Ali Khan, Deepika Padukone, Giselli Monteiro, Rishi Kapoor",Imtiaz Ali,Eros International,Romantic Comedy-Drama,35,2.43,85,305.9,Rom-com,,2009,2.55,tt1275863,https://en.wikipedia.org/wiki/Love_Aaj_Kal_(2009_film)
90.21,Wanted,Wanted,"Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna, Mahesh Manjrekar",Prabhu Deva,Sahara One Motion Pictures,09 Indian Hindi-Language Action Thriller,35,1.58,55.21,229.9,Action,,2009,2.55,tt1084972,https://en.wikipedia.org/wiki/Wanted_(2009_film)
74.63,New York,New York's,"John Abraham, Neil Nitin Mukesh, Katrina Kaif, Irrfan Khan",Kabir Khan,Yash Raj Films,Is A 2009 Indian Hindi-Language Thriller,28,1.67,46.63,190.2,,,2009,2.55,tt1328634,https://en.wikipedia.org/wiki/New_York_(2009_film)
47.1,Wake Up Sid,Wake Up Sid,"Ranbir Kapoor, Konkana Sen Sharma",Ayan Mukerji,UTV Motion Pictures,Coming-Of-Age Comedy-Drama,18,1.62,29.1,120.1,,,2009,2.55,tt1324059,https://en.wikipedia.org/wiki/Wake_Up_Sid
194.58,Ghajini,Ghajini,"Aamir Khan, Asin, Jiah Khan, Pradeep Rawat",A R Murugadoss,Indian Films[1](India)BIG Pictures(International)[2],08 Indian Hindi-Language Action Thriller,52,2.74,142.58,549.9,,,2008,2.83,tt1166100,https://en.wikipedia.org/wiki/Ghajini_(2008_film)
157,Rab Ne Bana Di Jodi,Rab Ne Bana Di Jodi,"Shah Rukh Khan, Anushka Sharma, Vinay Pathak",Aditya Chopra,Yash Raj Films,08 Indian Hindi-Language Romantic Comedy,31,4.06,126,443.7,,,2008,2.83,tt1182937,https://en.wikipedia.org/wiki/Rab_Ne_Bana_Di_Jodi
136,Singh Is Kinng,Singh Is Kinng,"Akshay Kumar, Katrina Kaif, Om Puri, Ranvir Shorey, Neha Dhupia, Javed Jaffrey, Sonu Sood",Anees Bazmee,Indian Films[1]BIG Pictures[2],2008 Indian Hindi-Language Action Comedy,30,3.53,106,384.4,,,2008,2.83,tt1146325,https://en.wikipedia.org/wiki/Singh_Is_Kinng
120,Jodhaa Akbar,Jodhaa Akbar,"Hrithik Roshan, Aishwarya Rai Bachchan",Ashutosh Gowariker,UTV Motion Pictures,Epic Historical Drama,40,2,80,339.2,,,2008,2.83,tt0449994,https://en.wikipedia.org/wiki/Jodhaa_Akbar
103.45,Race,Race,"Anil Kapoor, Saif Ali Khan, Akshaye Khanna, Bipasha Basu, Katrina Kaif, Sameera Reddy",Abbas–Mustan,UTV Motion Pictures,Neo-Noir Action Crime,46,1.25,57.45,292.4,,,2008,2.83,tt1017456,https://en.wikipedia.org/wiki/Race_(2008_film)
84,Jaane Tu... Ya Jaane Na,Jaane Tu... Ya Jaane Na,"Imran Khan, Genelia D'Souza, Prateik Babbar, Manjari Fadnis, Ayaz Khan, Paresh Rawal, Naseeruddin Shah, Ratna Pathak Shah, Karan Makhija, Alishka Varde, Nirav Mehta, Sugandha Garg, Arbaaz Khan, Sohail Khan, Renuka Kunzru",Abbas Tyrewala,PVR Pictures,Coming-Of-Age Romantic Comedy,15,4.6,69,237.4,,Maybe,2008,2.83,tt0473367,https://en.wikipedia.org/wiki/Jaane_Tu..._Ya_Jaane_Na
80,Golmaal Returns,Golmaal Returns,"Ajay Devgn, Kareena Kapoor, Arshad Warsi, Shreyas Talpade, Tusshar Kapoor, Amrita Arora, Celina Jaitley, Anjana Sukhani",Rohit Shetty,Indian Films[1],Is A 2008 Indian Hindi-Language Comedy,25,2.2,55,226.1,,Maybe,2008,2.83,tt1092005,https://en.wikipedia.org/wiki/Golmaal_Returns
61.57,Bachna Ae Haseeno,Bachna Ae Haseeno,"Ranbir Kapoor, Bipasha Basu, Deepika Padukone, Minissha Lamba",Siddharth Anand,Yash Raj Films,08 Indian Hindi-Language Romantic Comedy,23,1.68,38.57,174,,,2008,2.83,tt1182972,https://en.wikipedia.org/wiki/Bachna_Ae_Haseeno
41.5,Jannat: In Search of Heaven...,Jannat,"Emraan Hashmi, Sonal Chauhan",Kunal Deshmukh,Percept Picture Company,008 Indian Hindi-Language Romantic Crime,10,3.15,31.5,117.3,,,2008,2.83,tt1216300,https://en.wikipedia.org/wiki/Jannat_(2008_film)
36,Rock On!!,Rock On!!,"Farhan Akhtar, Arjun Rampal, Shahana Goswami, Prachi Desai, Purab Kohli, Koel Purie, Luke Kenny, Nicolette Bird, Daizy Ingall",Abhishek Kapoor,BIG Pictures,2008 Indian Hindi-Language Musical Drama,8,3.5,28,101.8,,,2008,2.83,tt1230165,https://en.wikipedia.org/wiki/Rock_On!!
152,Om Shanti Om,Om Shanti Om,"Shah Rukh Khan, Deepika Padukone, Shreyas Talpade, Kirron Kher, Arjun Rampal",Farah Khan,Eros International,Is A 2007 Hindi-Language Masala,40,2.8,112,465.5,,,2007,3.06,tt1024943,https://en.wikipedia.org/wiki/Om_Shanti_Om
117.91,Welcome,Welcome,"Feroz Khan, Anil Kapoor, Nana Patekar, Akshay Kumar, Katrina Kaif, Paresh Rawal, Mallika Sherawat",Anees Bazmee,UTV Motion PicturesIndian Films[1],2007 Hindi-Language Buddy Comedy Drama,32,2.68,85.91,361.1,,,2007,3.06,tt0488798,https://en.wikipedia.org/wiki/Welcome_(2007_film)
109,Chak De! India,Chak De! India,"Shah Rukh Khan, Vidya Malvade, Shilpa Shukla, Sagarika Ghatge, Chitrashi Rawat, Anjan Srivastav, Vibha Chibber",Shimit Amin,Yash Raj Films,Is A 2007 Indian Sports Drama,20,4.45,89,333.8,,,2007,3.06,tt0871510,https://en.wikipedia.org/wiki/Chak_De!_India
100.91,Partner,Partner,"Govinda, Salman Khan, Lara Dutta, Katrina Kaif",David Dhawan,Eros International,07 Indian Hindi-Language Romantic Comedy,28,2.6,72.91,309,,,2007,3.06,tt0807758,https://en.wikipedia.org/wiki/Partner_(2007_film)
98.48,Taare Zameen Par,Taare Zameen Par,"Darsheel Safary, Aamir Khan, Tisca Chopra, Vipin Sharma, Tanay Chheda",Aamir Khan,PVR Pictures,Is A 2007 Indian Hindi-Language Drama,12,7.21,86.48,301.6,,Maybe,2007,3.06,tt0986264,https://en.wikipedia.org/wiki/Taare_Zameen_Par
83.67,Guru,Guru,"Abhishek Bachchan, Aishwarya Rai, Mithun Chakraborty, R. Madhavan, Vidya Balan",Mani Ratnam,Madras TalkiesAdlabs[1],Is A 2007 Indian Hindi-Language   Drama,22,2.8,61.67,256.2,,Maybe,2007,3.06,tt0097466,https://en.wikipedia.org/wiki/Guru_(2007_film)
83,Heyy Babyy,Heyy Babyy,"Akshay Kumar, Fardeen Khan, Riteish Deshmukh, Vidya Balan, Boman Irani, Juanna Sanghvi",Sajid Khan,Shree Ashtavinayak Cine Vision[1]Eros International,Y Is A 2007 Indian Hindi-Language Comedy,36,1.31,47,254.2,,Maybe,2007,3.06,tt0806088,https://en.wikipedia.org/wiki/Heyy_Babyy
82.84,Bhool Bhulaiyaa,Bhool Bhulaiyaa,"Akshay Kumar, Vidya Balan, Shiney Ahuja, Ameesha Patel",Priyadarshan,Balaji Motion PicturesEros International,Psychological Horror Comedy,32,1.59,50.84,253.7,,Maybe,2007,3.06,tt0995031,https://en.wikipedia.org/wiki/Bhool_Bhulaiyaa
72,Ta Ra Rum Pum,Ta Ra Rum Pum,"Saif Ali Khan, Rani Mukerji, Angelina Idnani, Ali Haji, Javed Jaffrey",Siddharth Anand,Yash Raj Films,2007 Indian Hindi-Language Sports Drama,28,1.57,44,220.5,,Maybe,2007,3.06,tt0833553,https://en.wikipedia.org/wiki/Ta_Ra_Rum_Pum
71.4,Namastey London,Namastey London,"Rishi Kapoor, Akshay Kumar, Katrina Kaif, Nina Wadia, Upen Patel, Clive Standen",Vipul Amrutlal Shah,Adlabs FilmsBlockbuster Movie EntertainersEros International,Is A 2007 Indian Romantic Comedy,21,2.4,50.4,218.6,,Maybe,2007,3.06,tt0795434,https://en.wikipedia.org/wiki/Namastey_London
69.28,Apne,Apne,"Dharmendra, Sunny Deol, Bobby Deol, Katrina Kaif, Shilpa Shetty, Kirron Kher, Kunal Rajbhatt",Anil Sharma,Vijayta Films,2007 Indian Hindi-Language Sports Drama,20,2.46,49.28,212.2,,Maybe,2007,3.06,tt0814014,https://en.wikipedia.org/wiki/Apne
50.9,Jab We Met,Jab We Met,"Kareena Kapoor, Shahid Kapoor",Imtiaz Ali,Indian Films[1],07 Indian Hindi-Language Romantic Comedy,15,2.39,35.9,155.9,,,2007,3.06,tt1093370,https://en.wikipedia.org/wiki/Jab_We_Met
50.73,Dhamaal,Dhamaal,"Sanjay Dutt, Ritesh Deshmukh, Arshad Warsi, Aashish Chaudhary, Jaaved Jaaferi, Asrani, Sanjay Mishra, Vijay Raaz, Manoj Pahwa, Tiku Talsania, Prem Chopra",Indra Kumar,Shemaroo Entertainment,Is A 2007 Indian Hindi-Language Comedy,19,1.67,31.73,155.4,,,2007,3.06,tt0845448,https://en.wikipedia.org/wiki/Dhamaal
46.04,Shootout at Lokhandwala,Shootout at Lokhandwala,"Amitabh Bachchan, Sanjay Dutt, Suniel Shetty, Vivek Oberoi, Abhishek Bachchan, Arbaaz Khan, Tusshar Kapoor, Rohit Roy, Aditya Lakhia, Shabbir Ahluwalia",Apoorva Lakhia,White Feather FilmsBalaji Motion Pictures,07 Indian Hindi-Language Action Thriller,18,1.56,28.04,141,,,2007,3.06,tt0811066,https://en.wikipedia.org/wiki/Shootout_at_Lokhandwala
162,Dhoom 2,Dhoom 2,"Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai, Uday Chopra, Bipasha Basu",Sanjay Gadhvi,Yash Raj Films,Caper Action Thriller,35,3.63,127,527.7,,,2006,3.26,tt0441048,https://en.wikipedia.org/wiki/Dhoom_2
126.55,Krrish,Krrish,"Hrithik Roshan, Priyanka Chopra, Naseeruddin Shah, Rekha, Sharat Saxena, Manini Mishra",Rakesh Roshan,Yash Raj Films(India)Adlabs(International)[1],Superhero Action Thriller,40,2.16,86.55,412.2,,,2006,3.26,tt0432637,https://en.wikipedia.org/wiki/Krrish
106.34,Don,Don: The Chase Begins Again,"Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Isha Koppikar, Boman Irani, Pavan Malhotra, Rajesh Khattar, Om Puri, Kareena Kapoor",Farhan Akhtar,Excel Entertainment[1](India)UTV Motion Pictures[1](International),06 Indian Hindi-Language Action Thriller,38,1.8,68.34,346.4,,,2006,3.26,tt0077451,https://en.wikipedia.org/wiki/Don_(2006_Hindi_film)
105.48,Fanaa,Fanaa,"Aamir Khan, Kajol",Kunal Kohli,,Indian Hindi-Language Romantic-Thriller,30,2.52,75.48,343.6,,,2006,3.26,tt0439662,https://en.wikipedia.org/wiki/Fanaa_(2006_film)
97.9,Rang De Basanti,Rang De Basanti,"Aamir Khan, Siddharth, Atul Kulkarni, Sharman Joshi, Kunal Kapoor, Alice Patten, Soha Ali Khan, Waheeda Rehman, Kirron Kher, Om Puri",Rakeysh Omprakash Mehra,UTV Motion Pictures,Epic Coming-Of-Age Socio-Political Drama,25,2.92,72.9,318.9,,,2006,3.26,tt0405508,https://en.wikipedia.org/wiki/Rang_De_Basanti
69.12,Phir Hera Pheri,Phir Hera Pheri,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Bipasha Basu, Rimi Sen, Sharat Saxena, Johnny Lever, Rajpal Yadav, Milind Gunaji, Manoj Joshi, Razak Khan",Neeraj Vora,,Is A 2006 Indian Hindi-Language Comedy,18,2.84,51.12,225.2,,,2006,3.26,tt0419058,https://en.wikipedia.org/wiki/Phir_Hera_Pheri
